
1,"Lonstein, Henry",SO-2,Gordon,11.43,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.6
2,"McCluskey, Matthew",FR-1,Gordon,11.46,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
3,"Sorensen, Brady",SO-2,Suffolk,11.73,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
4,"Herbert, Griffin",SO-2,Roger Williams,11.77,Corsair Classic Track & Field Invitational,"Apr 1, 2023",2.2
5,"Chewning, Daniel",FR-1,Gordon,11.80,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
5,"Mason, Jared",SR-4,Nichols,11.80,BSU Invite,"Mar 25, 2023",-0.2
7,"Oren, Andy",JR-3,Roger Williams,11.92,Corsair Classic Track & Field Invitational,"Apr 1, 2023",2.2
8,"Bolduc, Cole",SO-2,Suffolk,11.94,BSU Invite,"Mar 25, 2023",1.1
9,"Nalesnik, Stephen",SO-2,Roger Williams,11.96,Corsair Classic Track & Field Invitational,"Apr 1, 2023",2.2
9,"Mitchell, Matthew",SO-2,Suffolk,11.96,BSU Invite,"Mar 25, 2023",1.1
11,"Grogan, Luke",SO-2,Nichols,11.97,BSU Invite,"Mar 25, 2023",-0.1
12,"Tibbles, Joseph",SR-4,Gordon,12.04,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
13,"DeCollibus, Kevin",FR-1,Wentworth,12.07,Tufts Snowflake Classic,"Apr 1, 2023",-0.9
13,"David, Mason",JR-3,Nichols,12.07,BSU Invite,"Mar 25, 2023",-0.2
15,"Stewart, William",FR-1,Wentworth,12.08,Tufts Snowflake Classic,"Apr 1, 2023",-0.9
15,"Bowes, David",FR-1,Suffolk,12.08,Tufts Snowflake Classic,"Apr 1, 2023",-0.2
17,"Ward, Jacob",FR-1,Roger Williams,12.09,BSU Invite,"Mar 25, 2023",-0.1
18,"Deluca, Joey",SO-2,Roger Williams,12.14,Corsair Classic Track & Field Invitational,"Apr 1, 2023",2.2
19,"Stewart, Jacob",SO-2,Wentworth,12.18,Tufts Snowflake Classic,"Apr 1, 2023",-0.9
20,"Durand, Joshua",SO-2,Suffolk,12.19,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
21,"Juscen, Max",SR-4,Wentworth,12.36,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
22,"Truman, Brendan",SR-4,Roger Williams,12.40,BSU Invite,"Mar 25, 2023",-0.6
23,"Erikson, Daniel",JR-3,Gordon,12.41,Tufts Snowflake Classic,"Apr 1, 2023",-0.9
24,"Avakian, John",SO-2,Suffolk,12.55,BSU Invite,"Mar 25, 2023",-0.6
25,"Catino, Joshua",FR-1,Suffolk,12.73,Tufts Snowflake Classic,"Apr 1, 2023",-0.2
26,"Colas, Andre",SR-4,Wentworth,12.89,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
27,"Mohammed, Kai",FR-1,Suffolk,12.91,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
28,"Berman, Ben",SO-2,Suffolk,13.21,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
29,"Sutton, Eli",FR-1,Gordon,13.41,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.5
30,"Gandron, Bennett",SO-2,Nichols,13.98,BSU Invite,"Mar 25, 2023",0.1

1,"Walden, Amanda",SO-2,Suffolk,12.47,2023 Colonial Relays,"Mar 30, 2023",1.2
2,"Goodwin, Amaris",SO-2,Gordon,12.82,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
3,"DelMaestro, Bianca",SR-4,Endicott,12.99,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
4,"Wood, Lauren",SO-2,Suffolk,13.03,BSU Invite,"Mar 25, 2023",0.7
5,"Buchter, Emily",FR-1,U. of New England,13.37,Wesleyan Swanson Invite,"Mar 26, 2023",3.1
6,"Williams, Jordan",SR-4,Endicott,13.55,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
7,"Lopez, Alicia",SR-4,Salve Regina,13.64,Corsair Classic Track & Field Invitational,"Apr 1, 2023",1.5
8,"DAngelo, Nicole",SR-4,Endicott,13.65,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
9,"Groom, Kaylie",FR-1,Suffolk,13.68,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
10,"McLaughlin, Colleen",SR-4,Endicott,13.76,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
11,"Rodriguez, Alyssa",SO-2,Suffolk,13.87,Tufts Snowflake Classic,"Apr 1, 2023",-0.7
12,"Dickens, Kinneal",SO-2,Endicott,13.93,Tufts Snowflake Classic,"Apr 1, 2023",-0.7
13,"Merritt, Ceirra",FR-1,U. of New England,13.95,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
14,"Aylwin, Sarah",SO-2,Endicott,13.97,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
15,"Ang, Dionne",JR-3,Wentworth,14.06,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
16,"Subat, Allison",SO-2,Gordon,14.18,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.1
17,"Dukas, Deanna",FR-1,Endicott,14.24,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
18,"Dennis, Maura",SO-2,Roger Williams,14.34,BSU Invite,"Mar 25, 2023",0.1
19,"Forrister, Sarah",FR-1,Suffolk,14.39,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
20,"Goswami, Meena",FR-1,Salve Regina,14.41,Corsair Classic Track & Field Invitational,"Apr 1, 2023",2.4
21,"Walsh, Amanda",FR-1,Roger Williams,14.43,Corsair Classic Track & Field Invitational,"Apr 1, 2023",1.5
22,"Kester, Lara",JR-3,Roger Williams,14.53,Corsair Classic Track & Field Invitational,"Apr 1, 2023",2.4
23,"Slocum, Isabelle",SO-2,Suffolk,14.65,Tufts Snowflake Classic,"Apr 1, 2023",+0.0
24,"Jimenez, Irissa",SO-2,Nichols,15.16,BSU Invite,"Mar 25, 2023",-0.6
24,"McHugh, Olivia",JR-3,Salve Regina,15.16,Corsair Classic Track & Field Invitational,"Apr 1, 2023",2.4
26,"Laurens, Hannah",SO-2,Nichols,20.82,BSU Invite,"Mar 25, 2023",-0.6

