
1,"Traore, Cheickna",SR-4,Ramapo,10.46,Hurricane Invitational,"Mar 17, 2023",2.1
2,"Shelton, Jacob",JR-3,Salisbury,10.67,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4
3,"Beard, Ryan",SR-4,Westminster (Pa.),10.75,Dave Labor Invt,"Mar 31, 2023",5.5
4,"Summers, Cameron",SR-4,Stevenson,10.84,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3
5,"Gregory, Eric",JR-3,Gallaudet,10.87,Seahawk Invitational,"Apr 1, 2023",1.9
6,"Say, Conrad",JR-3,Johns Hopkins,10.88,2023 Towson Spring Open,"Mar 31, 2023",1.8
7,"Scott, Michael",SO-2,Springfield,10.98,AIC Yellowjacket Invitational,"Apr 1, 2023",0.1
8,"Neuwirth, Russell",SR-4,Muhlenberg,10.99,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2
9,"Hadasz, Andrew",JR-3,Utica,11.01,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2
10,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2
10,"Regan, Seth",JR-3,Springfield,11.02,AIC Yellowjacket Invitational,"Apr 1, 2023",-0.1
12,"Frye, Sherrod",SR-4,Salisbury,11.06,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.5
13,"Elmogi, Ahmed",SO-2,Johns Hopkins,11.08,2023 Towson Spring Open,"Mar 31, 2023",0.6
14,"Mathews, Isaiah",SR-4,Waynesburg,11.09,Dave Labor Invt,"Mar 31, 2023",6.1
14,"Dunbar, Kyle",JR-3,DeSales,11.09,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9
16,"Hauf, William",SO-2,St. Lawrence,11.11,Saints Ice Broken Open,"Apr 1, 2023",4.7
17,"Ellington, Evan",JR-3,Hood,11.14,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.9
18,"Weber, Evan",JR-3,Springfield,11.15,AIC Yellowjacket Invitational,"Apr 1, 2023",0.1
18,"Coleman, Oral-Anthony",SO-2,McDaniel,11.15,2023 Colonial Relays,"Mar 30, 2023",1.6
