
1,"Fowler, Brady",SO-2,Roanoke,6.84,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
2,"Crowder, William",SO-2,Shenandoah,6.86,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
2,"Jones, Jahari",SO-2,Berry,6.86,Emory Crossplex Showdown 2023,"Jan 15, 2023"
4,"Clanton, Kyle",SR-4,Bridgewater (Va.),6.88,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
4,"Fox, Daniel",SO-2,Christopher Newport,6.88,South Region Final Qualifier & Multi,"Mar 3, 2023"
6,"Jones, Jaylen",SO-2,Lynchburg,6.89,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
7,"Clark, Isaiah",SO-2,Ferrum,6.92,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
8,"Moore, Miles",JR-3,Shenandoah,6.94,Kaye & JJ Smith Invitational,"Jan 15, 2023"
9,"Moon, Aaron",SO-2,Bridgewater (Va.),6.95,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
10,"Johnson, Alijah",SR-4,Eastern Mennonite,6.96,VMI Invitational,"Jan 13, 2023"
10,"Gregory, Eric",JR-3,Gallaudet,6.96,South Region Final Qualifier & Multi,"Mar 3, 2023"
10,"Campbell, Keyshawn",SR-4,Pfeiffer,6.96,DIII Atlantic Indoor Championships,"Feb 24, 2023"
13,"Ryba, Sam",SO-2,Emory,6.97,UAA Indoor Track & Field Championships,"Feb 25, 2023"
13,"Jackson, Andre",JR-3,Shenandoah,6.97,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
15,"Gerzon, Luke",SR-4,Rhodes,6.98,Samford January Open 2023,"Jan 21, 2023"
15,"Singleton, Kelsey",FR-1,Belhaven,"6.98
(55)",Tiger Indoor Invitational,"Jan 28, 2023"
17,"Price, Jackson",SO-2,Emory,6.99,BSC Indoor Icebreaker 2022,"Dec 2, 2022"
18,"Davis, Tommy",SR-4,Emory,7.02,UAA Indoor Track & Field Championships,"Feb 25, 2023"
19,"McLean, Clarence",FR-1,Maryville (Tenn.),"7.03
(55)",Sewanee Indoor Invitational,"Feb 18, 2023"
19,"Donsereaux, Chris",JR-3,Piedmont,7.03,Finn Pincus Invitational,"Jan 20, 2023"
21,"Morgan, Damon",SO-2,Eastern Mennonite,"7.04
(55)",6th Annual Larry Sharpe Memorial Indoor Invitational,"Feb 18, 2023"
21,"Lopez, Sebastian",SO-2,Catholic,7.04,Youree Spence-Garcia Invitational,"Dec 3, 2022"
21,"Nash, Aaron",SO-2,Methodist,7.04,DIII Atlantic Indoor Championships,"Feb 24, 2023"
24,"Clayton, TJ",JR-3,Rhodes,7.05,Samford January Open 2023,"Jan 21, 2023"
24,"Hamm, Michael",SO-2,Ferrum,7.05,VMI Invitational,"Jan 13, 2023"
26,"Cornish, Isaiah",SR-4,Lynchburg,7.06,ODAC Indoor Track & Field Championships,"Feb 25, 2023"
26,"Ashton, Gareth",JR-3,Gallaudet,7.06,Fastrack Last Chance Meet,"Feb 24, 2023"
28,"Compton, Sam",SO-2,Catholic,7.07,Patriot Games 2023,"Jan 27, 2023"
29,"Crawford, Samuel",SR-4,Roanoke,7.10,Bast Cregger-Multi Invitational,"Dec 9, 2022"
29,"Santiago, Steven",JR-3,Mary Baldwin,7.10,Blue Marlin Invitational,"Jan 21, 2023"
29,"Haworth, Javi",FR-1,Christopher Newport,7.10,Coast-To-Coast Athletic Conference Indoor Championships,"Feb 17, 2023"
32,"Kidd, Matthew",SO-2,Guilford,7.12,JDL Early Bird Invitational,"Dec 4, 2022"
32,"Fraierson, Kemar",FR-1,Virginia Wesleyan,7.12,CNU Holiday Open,"Dec 3, 2022"
32,"Smith, Donovan",FR-1,North Carolina Wesleyan,7.12,DIII Atlantic Indoor Championships,"Feb 24, 2023"
32,"Mack, Danorie",FR-1,Methodist,7.12,Visit Winston-Salem College Kick-off,"Dec 3, 2022"
