
1,"Harrison, Jordan",FR-1,Amherst,6.91,Tufts National Qualifying Meet,"Mar 4, 2023"
2,"Weber, Evan",JR-3,Springfield,6.93,Springfield College Home Opener,"Dec 3, 2022"
2,"Anderson, Jackson",JR-3,Williams,6.93,Dartmouth Quad Indoor,"Dec 9, 2022"
4,"Scott, Michael",SO-2,Springfield,6.95,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023"
4,"Motroni, Marco",SO-2,Middlebury,6.95,Middlebury Winter Classic,"Jan 20, 2023"
6,"Bailin, Kai",JR-3,Trinity (Conn.),6.96,Mary Grinaker Invitational,"Dec 3, 2022"
7,"Doss , Steven",FR-1,RIC,6.98,Little East Indoor Track & Field Championship,"Feb 18, 2023"
7,"Montville, Brexton",JR-3,Plattsburgh St.,6.98,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
9,"Regan, Seth",JR-3,Springfield,7.00,AARTFC Indoor Track & Field Championships,"Mar 3, 2023"
10,"Castanon, Aidan",FR-1,Middlebury,7.01,New England Division III Indoor Track & Field Championships,"Feb 24, 2023"
11,"Penta, Anthony",JR-3,Springfield,7.02,2023 Bomber Invitational,"Feb 4, 2023"
12,"Ahern, Sam",SO-2,Union (N.Y.),7.04,Liberty League Indoor Track Championships,"Feb 24, 2023"
13,"Newman, Oscar",SO-2,Williams,7.05,Little 3 Indoor Meet 2023,"Jan 14, 2023"
14,"Ihegihu, Josh",FR-1,RPI,7.07,Liberty League Indoor Track Championships,"Feb 24, 2023"
14,"Lingley, Dante",JR-3,Springfield,7.07,Springfield College Home Opener,"Dec 3, 2022"
16,"Davis, Jack",JR-3,Williams,7.08,Little 3 Indoor Meet 2023,"Jan 14, 2023"
16,"Warren, Darren",JR-3,Trinity (Conn.),7.08,Middlebury's New England Small College Invitational,"Jan 29, 2023"
18,"Dole, Anik",JR-3,Springfield,7.10,Springfield College Home Opener,"Dec 3, 2022"
19,"Liu, Max",FR-1,RPI,7.11,Liberty League Indoor Track Championships,"Feb 24, 2023"
20,"Nichols, Alexander",FR-1,Amherst,7.12,Tufts Cupid Challenge,"Feb 4, 2023"
21,"Bell, Benjamin",JR-3,Amherst,7.13,Little 3 Indoor Meet 2023,"Jan 14, 2023"
21,"Brown, Brenden",JR-3,Springfield,7.13,Springfield College Home Opener,"Dec 3, 2022"
21,"Williams, Jordan",FR-1,Plattsburgh St.,7.13,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
24,"Chen, Kensei",SO-2,RPI,7.17,Liberty League Indoor Track Championships,"Feb 24, 2023"
25,"Hoven, Fletcher",FR-1,Williams,7.18,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022"
25,"Bogan, Terrance",SO-2,Trinity (Conn.),7.18,Mary Grinaker Invitational,"Dec 3, 2022"
25,"Wilson, Colby",SR-4,Springfield,7.18,Springfield College Home Opener,"Dec 3, 2022"
28,"Geier, Erik",JR-3,St. Lawrence,7.21,SLU Indoor Invitational,"Jan 28, 2023"
28,"Klein, Sam",FR-1,Eastern Conn. St.,7.21,Little East Indoor Track & Field Championship,"Feb 18, 2023"
30,"Clark, Richard",FR-1,Middlebury,7.22,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023"
30,"Gladstone, Jon",SO-2,Roger Williams,7.22,Pre Post-Season,"Feb 18, 2023"
30,"Cohen, Jacob",JR-3,Williams,7.22,Springfield College Triangle Classic,"Feb 18, 2023"
33,"Quiet, Connor",SO-2,Trinity (Conn.),7.23,Middlebury's New England Small College Invitational,"Jan 29, 2023"
34,"Martinez, Angel",JR-3,Springfield,7.24,Springfield College Home Opener,"Dec 3, 2022"
34,"Henrickson, Giovanni",SO-2,Springfield,7.24,Tufts Jumbo Invitational,"Jan 14, 2023"
36,"Kim, Yeob",SO-2,Amherst,7.25,Middlebury's New England Small College Invitational,"Jan 29, 2023"
36,"Phongsa, Eric",SO-2,Eastern Conn. St.,"7.25
(55)",CGA Winter invite #2,"Feb 3, 2023"
36,"Edwards, Daryl",SO-2,Middlebury,7.25,Middlebury Snowflake Invitational,"Jan 14, 2023"
39,"Cypress, Charles",FR-1,Plattsburgh St.,7.26,Middlebury Winter Classic,"Jan 20, 2023"
39,"Hauf, William",SO-2,St. Lawrence,7.26,Saints Holiday Relays,"Dec 3, 2022"
41,"Ililau, Adrian",FR-1,Coast Guard,"7.27
(55)",CGA Winter invite #2,"Feb 3, 2023"
41,"Karweh, Izaiah",FR-1,RIC,7.27,Beacon Invitational,"Dec 10, 2022"
