
1,"Fadden, Lucas",FR-1,Grinnell,10.90,D3 Challenge,"Mar 25, 2023",1.4
2,"Pierce, Tyrell",JR-3,Knox,10.98,2023 Millikin Alumni Invite,"Apr 1, 2023",4.2
3,"Hiser, Alexander",JR-3,Grinnell,11.13,D3 Challenge,"Mar 25, 2023",1.2
4,"Douglas, Jack",SO-2,Illinois College,11.16,Wash U 5 Way,"Mar 25, 2023",3.0
5,"Joseph, Ajani",SR-4,Beloit,11.17,Alan Connie Shamrock Invitational,"Mar 16, 2023",3.0
6,"Vander Galien, Logan",SO-2,Ripon,11.21,Wisconsin Private College Championships,"Apr 2, 2023",1.7
7,"Ballman, Kendall",JR-3,Knox,11.37,2023 Millikin Alumni Invite,"Apr 1, 2023",3.1
8,"Bryant, Max",SO-2,Ripon,11.42,Wisconsin Private College Championships,"Apr 2, 2023",1.8
9,"Greiner, Doniel",SO-2,Cornell College,11.52,Mustang Open,"Apr 1, 2023",0.4
10,"Anderson, Jacob",SO-2,Knox,11.56,2023 Millikin Alumni Invite,"Apr 1, 2023",5.7
11,"Walcher, Kyler",JR-3,Grinnell,11.59,Mustang Open,"Apr 1, 2023",1.3
12,"DeGeorge, Daniel",FR-1,Beloit,11.64,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.9
13,"Weddington, Miles",FR-1,Illinois College,11.67,Wash U 5 Way,"Mar 25, 2023",1.7
14,"McNair, Keon",FR-1,Ripon,11.92,Wisconsin Private College Championships,"Apr 2, 2023",2.5
15,"Bhandari, Vanshith",FR-1,Beloit,11.96,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.9
16,"Manning, Finley",FR-1,Ripon,12.02,Wisconsin Private College Championships,"Apr 2, 2023",2.0
17,"Grice, Lane",FR-1,Monmouth (Ill.),12.07,St. Ambrose Spring Opener,"Apr 1, 2023",1.8
18,"Wright, Mason",FR-1,Lake Forest,12.12,ONU Outdoor Open 2023,"Apr 1, 2023",3.0
19,"Kishi, Brian",SR-4,Knox,12.13,2023 Millikin Alumni Invite,"Apr 1, 2023",2.7
20,"Robinson, Jermaine",FR-1,Lake Forest,12.18,ONU Outdoor Open 2023,"Apr 1, 2023",3.0
21,"Alade, Michael",FR-1,Lake Forest,12.22,ONU Outdoor Open 2023,"Apr 1, 2023",3.0
22,"Forrest, Tucker",FR-1,Lake Forest,12.26,ONU Outdoor Open 2023,"Apr 1, 2023",3.3
23,"Wilkins, Austin",FR-1,Cornell College,12.32,Mustang Open,"Apr 1, 2023",+0.0
24,"Tavernier, Fred",FR-1,Cornell College,12.57,Mustang Open,"Apr 1, 2023",1.1
25,"Tyson, Trentyn",FR-1,Lake Forest,12.65,ONU Outdoor Open 2023,"Apr 1, 2023",3.3

1,"Boyance, T'Aira",SR-4,Beloit,12.30,Wisconsin Private College Championships,"Apr 2, 2023",1.5
2,"McDonald, Jordyn",SR-4,Beloit,12.58,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.1
3,"Nichols, Lakeida",SR-4,Illinois College,12.70,Wash U 5 Way,"Mar 25, 2023",3.5
4,"Erickson, Jenna",SO-2,Ripon,13.33,Wisconsin Private College Championships,"Apr 2, 2023",2.0
5,"Royster, Darcel",JR-3,Beloit,13.37,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.4
6,"Cross, Morgan",FR-1,Lawrence,13.44,Wisconsin Private College Championships,"Apr 2, 2023",0.5
7,"Sugiyama, Emily",JR-3,Lawrence,13.47,Wisconsin Private College Championships,"Apr 2, 2023",2.0
8,"Jones, Fynesse",FR-1,Illinois College,13.53,Wash U 5 Way,"Mar 25, 2023",1.9
9,"Mar, Caitlyne",SO-2,Cornell College,13.60,Mustang Open,"Apr 1, 2023",1.2
10,"Villarreal, Alyssa",SR-4,Monmouth (Ill.),13.69,St. Ambrose Spring Opener,"Apr 1, 2023",2.0
11,"Sifuentez-Lewis, Marissa",SR-4,Illinois College,13.74,2023 Millikin Alumni Invite,"Apr 1, 2023",3.2
