Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Fox, Daniel",JR-3,Christopher Newport,10.42,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.4,100 Meters,Coast-to-Coast Outdoor Performance List,Men
2,"Shelton, Jacob",JR-3,Salisbury,10.67,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4,100 Meters,Coast-to-Coast Outdoor Performance List,Men
3,"Jones II, Jacinto",FR-1,Mary Washington,10.91,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.2,100 Meters,Coast-to-Coast Outdoor Performance List,Men
4,"Frye, Sherrod",SR-4,Salisbury,11.02,2023 NSU Track & Field Invitational,"Apr 15, 2023",1.8,100 Meters,Coast-to-Coast Outdoor Performance List,Men
5,"Stenger, Jonathan",SO-2,UC Santa Cruz,11.07,Johnny Mathis Track & Field Meet,"Apr 14, 2023",1.6,100 Meters,Coast-to-Coast Outdoor Performance List,Men
6,"Chapman, Ian",SO-2,Mary Washington,11.13,Battleground Relays,"Apr 1, 2023",1.2,100 Meters,Coast-to-Coast Outdoor Performance List,Men
7,"Creadon, Reese",JR-3,Mary Washington,11.17,Dennis Craddock Coaches Classic,"Apr 14, 2023",+0.0,100 Meters,Coast-to-Coast Outdoor Performance List,Men
8,"Douge, Emmanuel",SO-2,St. Mary's (Md.),11.21,Seahawk Invitational,"Apr 1, 2023",2.1,100 Meters,Coast-to-Coast Outdoor Performance List,Men
9,"Kibort, Jack",SO-2,UC Santa Cruz,11.22,Stanislaus State Invite 2023,"Apr 7, 2023",2.5,100 Meters,Coast-to-Coast Outdoor Performance List,Men
10,"Markman, Rashawn",SO-2,Salisbury,11.25,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.1,100 Meters,Coast-to-Coast Outdoor Performance List,Men
11,"Vo, Tyler",FR-1,UC Santa Cruz,11.27,Stanislaus State Invite 2023,"Apr 7, 2023",2.5,100 Meters,Coast-to-Coast Outdoor Performance List,Men
12,"Bizzack, Ethan",SR-4,UC Santa Cruz,11.29,Kim Duyst Invitational 2023,"Mar 3, 2023",2.0,100 Meters,Coast-to-Coast Outdoor Performance List,Men
13,"Kramer, Ryan",JR-3,Salisbury,11.31,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.1,100 Meters,Coast-to-Coast Outdoor Performance List,Men
14,"Lesko, Kyle",FR-1,Christopher Newport,11.40,New Captains Classic & Combined Events,"Apr 7, 2023",0.8,100 Meters,Coast-to-Coast Outdoor Performance List,Men
15,"Walton, Rajai",SR-4,Mary Washington,11.56,Battleground Relays,"Apr 1, 2023",1.2,100 Meters,Coast-to-Coast Outdoor Performance List,Men
16,"Laser, John",FR-1,Christopher Newport,11.67,New Captains Classic & Combined Events,"Apr 7, 2023",0.8,100 Meters,Coast-to-Coast Outdoor Performance List,Men
17,"Rose, Matthew",JR-3,Mary Washington,11.68,Doc Jopson Track & Field Invitational,"Mar 25, 2023",2.6,100 Meters,Coast-to-Coast Outdoor Performance List,Men
18,"Bowie, Tyson",SR-4,Salisbury,11.69,2023 Lloyd Sigler Spring Meet,"Mar 4, 2023",0.8,100 Meters,Coast-to-Coast Outdoor Performance List,Men
19,"Alicea, Jon",FR-1,Salisbury,11.70,2023 Towson Spring Open,"Mar 31, 2023",0.4,100 Meters,Coast-to-Coast Outdoor Performance List,Men
20,"Dhillon, Kareem",SO-2,Mary Washington,11.78,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.2,100 Meters,Coast-to-Coast Outdoor Performance List,Men
21,"McMillon, Tyler",FR-1,Mary Washington,11.79,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.1,100 Meters,Coast-to-Coast Outdoor Performance List,Men
22,"Wissler, Shea",SR-4,UC Santa Cruz,11.82,Stanislaus State Multi 2023,"Apr 6, 2023",1.4,100 Meters,Coast-to-Coast Outdoor Performance List,Men
23,"Young, Ethan",JR-3,Mary Washington,11.85,Doc Jopson Track & Field Invitational,"Mar 25, 2023",+0.0,100 Meters,Coast-to-Coast Outdoor Performance List,Men
23,"Wamley, Zion",SR-4,Salisbury,11.85,2023 Lloyd Sigler Spring Meet,"Mar 4, 2023",1.6,100 Meters,Coast-to-Coast Outdoor Performance List,Men
25,"Eng, Tetsuo",FR-1,UC Santa Cruz,11.87,Kim Duyst Invitational 2023,"Mar 3, 2023",0.4,100 Meters,Coast-to-Coast Outdoor Performance List,Men
1,"Trussell, Sydney",SO-2,Christopher Newport,12.07,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.8,100 Meters,Coast-to-Coast Outdoor Performance List,Women
2,"Redmond, Sophia",FR-1,Mary Washington,12.49,Washington & Lee Carnival,"Mar 17, 2023",0.7,100 Meters,Coast-to-Coast Outdoor Performance List,Women
3,"Cummins, Amaya",SO-2,UC Santa Cruz,12.71,Mike Fanelli Track Classic,"Mar 30, 2023",1.2,100 Meters,Coast-to-Coast Outdoor Performance List,Women
4,"Forvil, Karia",FR-1,Salisbury,12.88,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.9,100 Meters,Coast-to-Coast Outdoor Performance List,Women
5,"Haack, Marlyse",FR-1,Salisbury,12.89,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.4,100 Meters,Coast-to-Coast Outdoor Performance List,Women
6,"Byrd, Haileigh",SR-4,Mary Washington,12.90,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.1,100 Meters,Coast-to-Coast Outdoor Performance List,Women
7,"Hill, Mia",FR-1,Salisbury,12.94,2023 Lloyd Sigler Spring Meet,"Mar 4, 2023",2.9,100 Meters,Coast-to-Coast Outdoor Performance List,Women
7,"Sujitno, Siena",JR-3,Pratt Institute,12.94,The Big Hurt,"Apr 1, 2023",0.9,100 Meters,Coast-to-Coast Outdoor Performance List,Women
9,"Stirling, Lindsey",JR-3,Christopher Newport,13.05,New Captains Classic & Combined Events,"Apr 7, 2023",2.1,100 Meters,Coast-to-Coast Outdoor Performance List,Women
10,"Rivers, Chay'La",FR-1,St. Mary's (Md.),13.26,Seahawk Invitational,"Apr 1, 2023",1.8,100 Meters,Coast-to-Coast Outdoor Performance List,Women
11,"Kasanagottu, Isha",FR-1,UC Santa Cruz,13.45,Stanislaus State Invite 2023,"Apr 7, 2023",0.6,100 Meters,Coast-to-Coast Outdoor Performance List,Women
12,"Jones, Mackenzie",SO-2,UC Santa Cruz,13.74,Mike Fanelli Track Classic,"Mar 30, 2023",0.6,100 Meters,Coast-to-Coast Outdoor Performance List,Women
13,"Ortega, Joceline",FR-1,UC Santa Cruz,13.76,Johnny Mathis Track & Field Meet,"Apr 14, 2023",1.8,100 Meters,Coast-to-Coast Outdoor Performance List,Women
14,"Saini, Ria",SO-2,UC Santa Cruz,13.84,Johnny Mathis Track & Field Meet,"Apr 14, 2023",1.8,100 Meters,Coast-to-Coast Outdoor Performance List,Women
15,"Eungard, Eleanor",FR-1,Christopher Newport,13.87,Washington & Lee Carnival,"Mar 17, 2023",0.7,100 Meters,Coast-to-Coast Outdoor Performance List,Women
16,"Dasalla, Alicia",FR-1,UC Santa Cruz,13.96,Stanislaus State Invite 2023,"Apr 7, 2023",0.6,100 Meters,Coast-to-Coast Outdoor Performance List,Women
17,"Kaplan, Alex",FR-1,UC Santa Cruz,14.14,Johnny Mathis Track & Field Meet,"Apr 14, 2023",1.8,100 Meters,Coast-to-Coast Outdoor Performance List,Women
18,"Snell-Ostendorf, Addie",SO-2,St. Mary's (Md.),14.34,Seahawk Invitational,"Apr 1, 2023",2.2,100 Meters,Coast-to-Coast Outdoor Performance List,Women
19,"Thompson, Alana",SO-2,St. Mary's (Md.),14.39,WCU Bill Butler Invitational,"Apr 15, 2023",-2.1,100 Meters,Coast-to-Coast Outdoor Performance List,Women
20,"Borzellino, Jenna",SO-2,UC Santa Cruz,14.46,Stanislaus State Invite 2023,"Apr 7, 2023",2.0,100 Meters,Coast-to-Coast Outdoor Performance List,Women
21,"Mobray, Tray",FR-1,St. Mary's (Md.),14.55,WCU Bill Butler Invitational,"Apr 15, 2023",-1.6,100 Meters,Coast-to-Coast Outdoor Performance List,Women
