Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Arthur, Kevin",SO-2,St. John's (Minn.),10.63,Wartburg Outdoor Select,"Apr 1, 2023",2.6,100 Meters,MIAC Outdoor Performance List,Men
2,"Eben Ebai, Samuel",SR-4,St. Scholastica,10.84,St Thomas Tomcat Invitational,"Apr 7, 2023",0.8,100 Meters,MIAC Outdoor Performance List,Men
3,"Morical, Nolan",SO-2,Concordia-Moorhead,10.86,USD Early Bird,"Apr 7, 2023",5.5,100 Meters,MIAC Outdoor Performance List,Men
4,"Lord, Demetri",JR-3,St. Olaf,11.02,2023 Bryan Clay Invitational,"Apr 13, 2023",0.3,100 Meters,MIAC Outdoor Performance List,Men
5,"McConnell, Cameron",SO-2,Bethel (Minn.),11.05,Bethel Invitational,"Apr 15, 2023",0.5,100 Meters,MIAC Outdoor Performance List,Men
6,"Conneh, Varney",SR-4,Augsburg,11.19,Ross and Sharon Irwin meet,"Mar 18, 2023",0.6,100 Meters,MIAC Outdoor Performance List,Men
7,"Schaffer, Dawson",JR-3,Concordia-Moorhead,11.25,SMU Cardinal Invitational,"Apr 15, 2023",-0.5,100 Meters,MIAC Outdoor Performance List,Men
8,"Simon, Godsword",SO-2,Bethel (Minn.),11.26,St Thomas Tomcat Invitational,"Apr 7, 2023",0.8,100 Meters,MIAC Outdoor Performance List,Men
9,"Popoca, Emanuel",SO-2,St. John's (Minn.),11.27,Wartburg Outdoor Select,"Apr 1, 2023",2.4,100 Meters,MIAC Outdoor Performance List,Men
10,"McNearny, Devin",SO-2,St. Olaf,11.33,St Thomas Tomcat Invitational,"Apr 7, 2023",2.1,100 Meters,MIAC Outdoor Performance List,Men
11,"Schegel, Abe",JR-3,Bethel (Minn.),11.34,Bethel Invitational,"Apr 15, 2023",0.5,100 Meters,MIAC Outdoor Performance List,Men
12,"Skelly, Matthew",SO-2,Gustavus Adolphus,11.36,Bethel Invitational,"Apr 15, 2023",0.5,100 Meters,MIAC Outdoor Performance List,Men
13,"Alfaro Diedrich, Sean",SO-2,St. Scholastica,11.37,St Thomas Tomcat Invitational,"Apr 7, 2023",0.8,100 Meters,MIAC Outdoor Performance List,Men
14,"Smith, Albert",JR-3,Bethel (Minn.),11.40,St Thomas Tomcat Invitational,"Apr 7, 2023",2.4,100 Meters,MIAC Outdoor Performance List,Men
15,"Thomas, Reece",SO-2,Hamline,11.44,Dutch Invitational 2023,"Apr 7, 2023",1.6,100 Meters,MIAC Outdoor Performance List,Men
16,"Rhonemus, Wade",JR-3,Concordia-Moorhead,11.45,USD Early Bird,"Apr 7, 2023",3.9,100 Meters,MIAC Outdoor Performance List,Men
17,"Karngar, Trokon",JR-3,Bethel (Minn.),11.47,St Thomas Tomcat Invitational,"Apr 7, 2023",2.2,100 Meters,MIAC Outdoor Performance List,Men
18,"Adamson, Oliver",SO-2,Saint Mary's (Minn.),11.48,SMU Cardinal Invitational,"Apr 15, 2023",-0.5,100 Meters,MIAC Outdoor Performance List,Men
19,"Arnold, Dylan",SO-2,St. Olaf,11.52,Bethel Invitational,"Apr 15, 2023",-0.9,100 Meters,MIAC Outdoor Performance List,Men
20,"Petron, Jordan",SO-2,Concordia-Moorhead,11.53,USD Early Bird,"Apr 7, 2023",5.3,100 Meters,MIAC Outdoor Performance List,Men
21,"Moo, Eh Ler",SO-2,St. Olaf,11.54,St Thomas Tomcat Invitational,"Apr 7, 2023",2.1,100 Meters,MIAC Outdoor Performance List,Men
22,"Korum, Levi",SO-2,Bethel (Minn.),11.55,St Thomas Tomcat Invitational,"Apr 7, 2023",2.2,100 Meters,MIAC Outdoor Performance List,Men
23,"Kritsberg, Ben",FR-1,Saint Mary's (Minn.),11.57,SMU Cardinal Invitational,"Apr 15, 2023",0.9,100 Meters,MIAC Outdoor Performance List,Men
24,"Robinson, Ozzie",FR-1,Hamline,11.64,Bethel Invitational,"Apr 15, 2023",0.3,100 Meters,MIAC Outdoor Performance List,Men
25,"Smith, Kpeweh",SR-4,Augsburg,11.69,St Thomas Tomcat Invitational,"Apr 7, 2023",2.2,100 Meters,MIAC Outdoor Performance List,Men
26,"Cisewski, Antonio",SO-2,Saint Mary's (Minn.),11.70,Good Friday Open,"Apr 7, 2023",2.0,100 Meters,MIAC Outdoor Performance List,Men
27,"Sletta, Josh",SO-2,St. John's (Minn.),11.72,Wartburg Outdoor Select,"Apr 1, 2023",2.4,100 Meters,MIAC Outdoor Performance List,Men
28,"Morey, Aidan",FR-1,St. John's (Minn.),11.74,Wartburg Outdoor Select,"Apr 1, 2023",2.2,100 Meters,MIAC Outdoor Performance List,Men
28,"Redig, Kaedyn",SO-2,St. Scholastica,11.74,St Thomas Tomcat Invitational,"Apr 7, 2023",2.9,100 Meters,MIAC Outdoor Performance List,Men
30,"Fochtman, Jack",FR-1,St. Olaf,11.76,Bethel Invitational,"Apr 15, 2023",0.3,100 Meters,MIAC Outdoor Performance List,Men
1,"Nelson, Birgen",SO-2,Gustavus Adolphus,"12.26
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",1.7,100 Meters,MIAC Outdoor Performance List,Women
2,"Stellmach, Sarah",SO-2,Bethel (Minn.),12.48,St Thomas Tomcat Invitational,"Apr 7, 2023",0.8,100 Meters,MIAC Outdoor Performance List,Women
3,"Rengo, Emily",FR-1,Concordia-Moorhead,12.50,USD Early Bird,"Apr 7, 2023",4.6,100 Meters,MIAC Outdoor Performance List,Women
4,"Babalola, Jireh",JR-3,Bethel (Minn.),12.53,Bethel Invitational,"Apr 15, 2023",-0.5,100 Meters,MIAC Outdoor Performance List,Women
5,"Carlson, Kate",SO-2,Gustavus Adolphus,12.56,Bethel Invitational,"Apr 15, 2023",-0.5,100 Meters,MIAC Outdoor Performance List,Women
6,"Stinson, Makayla",FR-1,St. Catherine (Minn.),12.74,St Thomas Tomcat Invitational,"Apr 7, 2023",0.3,100 Meters,MIAC Outdoor Performance List,Women
