Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Storm, Jared",SO-2,Mount Union,10.53,Cherry Blossom Invitational,"Apr 15, 2023",1.2,100 Meters,OAC Outdoor Performance List,Men
2,"McVicker, Andrew",SO-2,Mount Union,10.60,Cherry Blossom Invitational,"Apr 15, 2023",1.2,100 Meters,OAC Outdoor Performance List,Men
3,"Mcentyre, Jake",FR-1,Heidelberg,10.67,Alan Connie Shamrock Invitational,"Mar 16, 2023",3.0,100 Meters,OAC Outdoor Performance List,Men
4,"Clark, Garrett",JR-3,John Carroll,10.72,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.1,100 Meters,OAC Outdoor Performance List,Men
5,"Kartsonas, Jimmy",SO-2,John Carroll,10.88,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.1,100 Meters,OAC Outdoor Performance List,Men
6,"Zeren, Vincent",SO-2,Otterbein,10.89,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",2.0,100 Meters,OAC Outdoor Performance List,Men
7,"Klauke, Cameron",JR-3,John Carroll,10.95,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.2,100 Meters,OAC Outdoor Performance List,Men
7,"Dean, Jordan",SO-2,Ohio Northern,10.95,Manchester University Invitational,"Apr 8, 2023",0.6,100 Meters,OAC Outdoor Performance List,Men
9,"Doyle, Mick",JR-3,John Carroll,10.99,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.4,100 Meters,OAC Outdoor Performance List,Men
10,"Burrey, Brady",FR-1,Mount Union,11.00,Cherry Blossom Invitational,"Apr 15, 2023",1.3,100 Meters,OAC Outdoor Performance List,Men
11,"Trammell, Jalen",JR-3,Heidelberg,11.04,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4,100 Meters,OAC Outdoor Performance List,Men
12,"Malloy, Aiden",SO-2,Mount Union,11.06,Cherry Blossom Invitational,"Apr 15, 2023",1.3,100 Meters,OAC Outdoor Performance List,Men
13,"Shannon, Tylir",JR-3,Mount Union,11.09,2023 Mount Union John Homon Open,"Apr 6, 2023",1.2,100 Meters,OAC Outdoor Performance List,Men
14,"Paydock, Samuel",SO-2,Mount Union,11.10,Cherry Blossom Invitational,"Apr 15, 2023",1.3,100 Meters,OAC Outdoor Performance List,Men
15,"Greer, Brett",FR-1,Ohio Northern,11.12,Manchester University Invitational,"Apr 8, 2023",0.6,100 Meters,OAC Outdoor Performance List,Men
16,"Kuklica, Elijah",FR-1,Marietta,11.13,Amy Adams Memorial,"Mar 24, 2023",-1.9,100 Meters,OAC Outdoor Performance List,Men
17,"Lehrer, Carson",SO-2,Heidelberg,11.17,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.5,100 Meters,OAC Outdoor Performance List,Men
17,"Young, Ishmael",SO-2,Capital,11.17,Vertklasse,"Mar 31, 2023",0.5,100 Meters,OAC Outdoor Performance List,Men
19,"Souza, Vini",SR-4,Ohio Northern,11.20,Manchester University Invitational,"Apr 8, 2023",+0.0,100 Meters,OAC Outdoor Performance List,Men
19,"Jacobs, Ollie",SR-4,Ohio Northern,11.20,Manchester University Invitational,"Apr 8, 2023",-0.8,100 Meters,OAC Outdoor Performance List,Men
21,"Gast, Tyler",FR-1,John Carroll,11.21,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.2,100 Meters,OAC Outdoor Performance List,Men
21,"Cline, Michael",FR-1,Mount Union,11.21,Cherry Blossom Invitational,"Apr 15, 2023",1.6,100 Meters,OAC Outdoor Performance List,Men
23,"Hiser, Daniel",SO-2,Capital,11.24,Vertklasse,"Mar 31, 2023",1.5,100 Meters,OAC Outdoor Performance List,Men
24,"Paige, Brandon",SO-2,Mount Union,11.25,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",1.3,100 Meters,OAC Outdoor Performance List,Men
25,"Washington Jr., Rodney",FR-1,Baldwin Wallace,11.32,Amy Adams Memorial,"Mar 24, 2023",-2.7,100 Meters,OAC Outdoor Performance List,Men
1,"Wayt, Kenadee",SO-2,Mount Union,12.02,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.6,100 Meters,OAC Outdoor Performance List,Women
2,"Krichbaum, Kendra",SO-2,Ohio Northern,12.22,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",3.6,100 Meters,OAC Outdoor Performance List,Women
3,"Roncone, Lauren",SO-2,Mount Union,12.39,2023 Mount Union John Homon Open,"Apr 6, 2023",2.5,100 Meters,OAC Outdoor Performance List,Women
4,"Anthony, Taylor",JR-3,John Carroll,12.47,2023 Mount Union John Homon Open,"Apr 6, 2023",2.3,100 Meters,OAC Outdoor Performance List,Women
5,"Dietz, Madison",SR-4,Wilmington (Ohio),12.50,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",2.7,100 Meters,OAC Outdoor Performance List,Women
6,"Agbor-Nkongho, Larissa",JR-3,Capital,12.60,Vertklasse,"Mar 31, 2023",2.8,100 Meters,OAC Outdoor Performance List,Women
7,"Arnold, Genevieve",SO-2,John Carroll,12.66,2023 Mount Union John Homon Open,"Apr 6, 2023",1.4,100 Meters,OAC Outdoor Performance List,Women
8,"Neiger, Hannah",FR-1,Mount Union,12.73,2023 Mount Union John Homon Open,"Apr 6, 2023",3.2,100 Meters,OAC Outdoor Performance List,Women
9,"Samuels, Cece",SO-2,Capital,12.75,Vertklasse,"Mar 31, 2023",2.6,100 Meters,OAC Outdoor Performance List,Women
10,"Klonowski, Jessica",FR-1,Baldwin Wallace,12.80,Amy Adams Memorial,"Mar 24, 2023",-0.6,100 Meters,OAC Outdoor Performance List,Women
11,"Scott, Mia",SO-2,John Carroll,12.81,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.7,100 Meters,OAC Outdoor Performance List,Women
12,"Cannon, Haley",FR-1,Ohio Northern,12.82,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",2.7,100 Meters,OAC Outdoor Performance List,Women
13,"Murray, Rosie",FR-1,John Carroll,12.87,Tiffin Track Carnival 2023,"Apr 14, 2023",+0.0,100 Meters,OAC Outdoor Performance List,Women
14,"Pratt, Carlie",SO-2,Mount Union,12.89,Cherry Blossom Invitational,"Apr 15, 2023",1.3,100 Meters,OAC Outdoor Performance List,Women
15,"Wallace, Averi",FR-1,Muskingum,12.90,Amy Adams Memorial,"Mar 24, 2023",-1.0,100 Meters,OAC Outdoor Performance List,Women
16,"Gibson, Chloe",SO-2,Ohio Northern,12.93,Manchester University Invitational,"Apr 8, 2023",1.3,100 Meters,OAC Outdoor Performance List,Women
17,"Nash, Dae Dae",FR-1,Mount Union,12.98,Cherry Blossom Invitational,"Apr 15, 2023",1.3,100 Meters,OAC Outdoor Performance List,Women
18,"Donley, Micah",SO-2,Mount Union,13.06,2023 Mount Union John Homon Open,"Apr 6, 2023",1.9,100 Meters,OAC Outdoor Performance List,Women
19,"Zambruno, Ella",FR-1,John Carroll,13.14,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.4,100 Meters,OAC Outdoor Performance List,Women
20,"Edenfield, Eden",FR-1,Otterbein,13.21,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.2,100 Meters,OAC Outdoor Performance List,Women
21,"Andrykovitch, Massey",SO-2,John Carroll,13.22,2023 Mount Union John Homon Open,"Apr 6, 2023",2.3,100 Meters,OAC Outdoor Performance List,Women
22,"McNamara, Kaleigh",FR-1,John Carroll,13.27,2023 Mount Union John Homon Open,"Apr 6, 2023",2.5,100 Meters,OAC Outdoor Performance List,Women
23,"Grinnell, Jacquelynn",SO-2,Muskingum,13.30,Amy Adams Memorial,"Mar 24, 2023",-1.0,100 Meters,OAC Outdoor Performance List,Women
23,"Fieseler, Emily",SR-4,Muskingum,13.30,Amy Adams Memorial,"Mar 24, 2023",-0.6,100 Meters,OAC Outdoor Performance List,Women
25,"Hurd, Julia",FR-1,Baldwin Wallace,13.31,Tiffin Track Carnival 2023,"Apr 14, 2023",-0.4,100 Meters,OAC Outdoor Performance List,Women
1,"Clark, Garrett",JR-3,John Carroll,21.47,Tiffin Track Carnival 2023 (SECOND CHANCE Meet),"Apr 15, 2023",-0.4,200 Meters,OAC Outdoor Performance List,Men
2,"Dean, Jordan",SO-2,Ohio Northern,21.52,Tiffelberg Collegiate Open,"Apr 1, 2023",3.8,200 Meters,OAC Outdoor Performance List,Men
3,"Storm, Jared",SO-2,Mount Union,21.61,2023 Mount Union John Homon Open,"Apr 6, 2023",1.7,200 Meters,OAC Outdoor Performance List,Men
4,"McVicker, Andrew",SO-2,Mount Union,21.64,Cherry Blossom Invitational,"Apr 15, 2023",0.8,200 Meters,OAC Outdoor Performance List,Men
5,"Zeren, Vincent",SO-2,Otterbein,21.91,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",0.2,200 Meters,OAC Outdoor Performance List,Men
6,"Faggs, Kaedan",FR-1,Baldwin Wallace,21.96,OWU Marv Frye Invitational,"Apr 8, 2023",-0.8,200 Meters,OAC Outdoor Performance List,Men
7,"Shannon, Tylir",JR-3,Mount Union,22.04,Cherry Blossom Invitational,"Apr 15, 2023",0.8,200 Meters,OAC Outdoor Performance List,Men
8,"Gill, Tyler",JR-3,Mount Union,22.09,Cherry Blossom Invitational,"Apr 15, 2023",0.8,200 Meters,OAC Outdoor Performance List,Men
9,"McBride, Matt",SO-2,Mount Union,22.10,2023 Mount Union John Homon Open,"Apr 6, 2023",1.7,200 Meters,OAC Outdoor Performance List,Men
10,"Burrey, Brady",FR-1,Mount Union,22.16,Cherry Blossom Invitational,"Apr 15, 2023",0.8,200 Meters,OAC Outdoor Performance List,Men
11,"Mcentyre, Jake",FR-1,Heidelberg,22.25,OWU Marv Frye Invitational,"Apr 8, 2023",-0.8,200 Meters,OAC Outdoor Performance List,Men
12,"Souza, Vini",SR-4,Ohio Northern,22.28,Manchester University Invitational,"Apr 8, 2023",0.5,200 Meters,OAC Outdoor Performance List,Men
13,"Fouche, Josh",SO-2,Mount Union,22.38,Cherry Blossom Invitational,"Apr 15, 2023",0.8,200 Meters,OAC Outdoor Performance List,Men
14,"Barker, Tyrese",SO-2,Ohio Northern,22.45,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",0.7,200 Meters,OAC Outdoor Performance List,Men
15,"Kuklica, Elijah",FR-1,Marietta,22.48,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",3.8,200 Meters,OAC Outdoor Performance List,Men
15,"Horner, Dustin",FR-1,John Carroll,22.48,Tiffin Track Carnival 2023 (SECOND CHANCE Meet),"Apr 15, 2023",0.3,200 Meters,OAC Outdoor Performance List,Men
17,"Irwin, Ryan",FR-1,Muskingum,22.55,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",3.8,200 Meters,OAC Outdoor Performance List,Men
18,"Greer, Brett",FR-1,Ohio Northern,22.58,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",0.7,200 Meters,OAC Outdoor Performance List,Men
19,"O'Neill, Zach",FR-1,Ohio Northern,22.59,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",0.7,200 Meters,OAC Outdoor Performance List,Men
20,"Deshuk, Dominic",SO-2,Mount Union,22.61,2023 Mount Union John Homon Open,"Apr 6, 2023",2.9,200 Meters,OAC Outdoor Performance List,Men
21,"Cline, Michael",FR-1,Mount Union,22.69,Cherry Blossom Invitational,"Apr 15, 2023",0.8,200 Meters,OAC Outdoor Performance List,Men
21,"Gast, Tyler",FR-1,John Carroll,22.69,Bob Kahn Invitational,"Mar 31, 2023",-0.9,200 Meters,OAC Outdoor Performance List,Men
23,"Young, Ishmael",SO-2,Capital,22.71,Vertklasse,"Mar 31, 2023",0.3,200 Meters,OAC Outdoor Performance List,Men
24,"Malloy, Aiden",SO-2,Mount Union,22.74,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",1.2,200 Meters,OAC Outdoor Performance List,Men
25,"Hiser, Daniel",SO-2,Capital,22.76,Vertklasse,"Mar 31, 2023",1.5,200 Meters,OAC Outdoor Performance List,Men
1,"Wayt, Kenadee",SO-2,Mount Union,24.77,2023 Mount Union John Homon Open,"Apr 6, 2023",1.6,200 Meters,OAC Outdoor Performance List,Women
2,"Miles, Madison",SO-2,Mount Union,25.12,2023 Mount Union John Homon Open,"Apr 6, 2023",1.6,200 Meters,OAC Outdoor Performance List,Women
3,"Collier, Abby",SO-2,Baldwin Wallace,25.25,Tiffin Track Carnival 2023 (SECOND CHANCE Meet),"Apr 15, 2023",-0.1,200 Meters,OAC Outdoor Performance List,Women
4,"Schafer, Kylee",SO-2,Wilmington (Ohio),25.46,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",2.6,200 Meters,OAC Outdoor Performance List,Women
