
1,"Holland, Myron",JR-3,Elizabethtown,10.54,40th Millersville Metrics,"Mar 31, 2023",2.9
2,"Gray, Trevor",SO-2,Moravian,10.83,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2
3,"Santos, Jared",JR-3,Moravian,11.14,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2
4,"Masser, Joey",JR-3,Susquehanna,11.16,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.2
5,"Fenstermaker, Jacob",FR-1,Moravian,11.19,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2
6,"Bulger, Ben",SO-2,Susquehanna,11.20,2023 Susquehanna Easter Invite,"Apr 8, 2023",3.0
7,"Dyson, Ian",SR-4,Susquehanna,11.26,2023 Susquehanna Easter Invite,"Apr 8, 2023",0.4
7,"Fearwell, Jevontae",SO-2,Catholic,11.26,2023 Towson Spring Open,"Mar 31, 2023",3.6
9,"Davis, Elliott",SO-2,Susquehanna,11.32,2023 Susquehanna Easter Invite,"Apr 8, 2023",-1.0
10,"Sabastro, Owen",SO-2,Moravian,11.36,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9

1,"Davis, Helen",SR-4,Moravian,12.44,Lehigh Games 2023,"Apr 7, 2023",1.8
2,"Yoder, Chloe",JR-3,Susquehanna,12.56,2023 Susquehanna Easter Invite,"Apr 8, 2023",-0.1
3,"Krempa, Alayna",SO-2,Susquehanna,12.73,2023 Susquehanna Easter Invite,"Apr 8, 2023",-0.2
4,"Bakare, Tahira",JR-3,Goucher,12.85,Emory Spring Break Classic 2023,"Mar 17, 2023",1.4
5,"Rine, Alexa",JR-3,Susquehanna,12.88,2023 Susquehanna Easter Invite,"Apr 8, 2023",-0.2
6,"Ferullo, Molly",SO-2,Scranton,13.02,Misericordia Twilight 2023,"Apr 4, 2023",0.2
7,"Robinson, Crystal",SR-4,Moravian,13.10,2023 Lafayette Open,"Mar 25, 2023",4.2
8,"Burke, Fiona",SR-4,Scranton,13.24,Misericordia Twilight 2023,"Apr 4, 2023",0.2
9,"Knight, Shai",FR-1,Moravian,13.26,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.8
10,"Wagner, Jarrett",JR-3,Elizabethtown,13.29,40th Millersville Metrics,"Mar 31, 2023",2.1

1,"Holland, Myron",JR-3,Elizabethtown,22.09,40th Millersville Metrics,"Mar 31, 2023",4.1
2,"Davis, Elliott",SO-2,Susquehanna,22.23,2023 Danny Curran Invitational,"Mar 30, 2023",+0.0
3,"Fearwell, Jevontae",SO-2,Catholic,22.52,Doc Jopson Track & Field Invitational,"Mar 25, 2023",2.4
4,"Gray, Trevor",SO-2,Moravian,22.58,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.7
5,"Schwab, Evan",SR-4,Elizabethtown,22.90,40th Millersville Metrics,"Mar 31, 2023",4.1
6,"Dyson, Ian",SR-4,Susquehanna,22.93,2023 Jim Taylor Invite,"Mar 24, 2023",-0.2
7,"Santos, Jared",JR-3,Moravian,22.96,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.7
8,"Osai, Chilowe",SO-2,Catholic,23.00,Doc Jopson Track & Field Invitational,"Mar 25, 2023",NWI
9,"Shea, Matt",JR-3,Moravian,23.12,Lehigh Games 2023,"Apr 7, 2023",1.0
10,"Galang, James",SO-2,Catholic,23.17,2023 Towson Spring Open,"Mar 31, 2023",-0.6

1,"Robinson, Crystal",SR-4,Moravian,25.38,Muhlenberg Outdoor Invitational,"Apr 1, 2023",1.1
2,"Giamoni, Abby",SO-2,Moravian,25.65,Muhlenberg Outdoor Invitational,"Apr 1, 2023",1.1
3,"Krempa, Alayna",SO-2,Susquehanna,25.77,2023 Susquehanna Easter Invite,"Apr 8, 2023",1.2
4,"Gonzalez, Noelle",SR-4,Scranton,25.83,Muhlenberg Outdoor Invitational,"Apr 1, 2023",1.1
5,"Davis, Helen",SR-4,Moravian,25.85,Lehigh Games 2023,"Apr 7, 2023",0.5
6,"Yoder, Chloe",JR-3,Susquehanna,25.89,2023 Susquehanna Easter Invite,"Apr 8, 2023",1.1
7,"Alderfer, Hannah",SO-2,Susquehanna,26.11,2023 Susquehanna Easter Invite,"Apr 8, 2023",1.0
8,"Bixenman, Ellie",JR-3,Catholic,26.66,Doc Jopson Track & Field Invitational,"Mar 25, 2023",2.2
9,"Sharrow, Samantha",FR-1,Scranton,26.97,Misericordia Twilight 2023,"Apr 4, 2023",0.6
10,"Newman, Ashley",FR-1,Susquehanna,27.09,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.0

1,"Davis, Elliott",SO-2,Susquehanna,48.90,2023 Danny Curran Invitational,"Mar 30, 2023"
2,"DuPree, Kendrick",FR-1,Catholic,50.35,Doc Jopson Track & Field Invitational,"Mar 25, 2023"
3,"Brown, Matthew",SO-2,Catholic,50.74,Doc Jopson Track & Field Invitational,"Mar 25, 2023"
4,"Fearwell, Jevontae",SO-2,Catholic,50.75,Doc Jopson Track & Field Invitational,"Mar 25, 2023"
5,"Novak, Rob",SR-4,Catholic,51.60,2023 Towson Spring Open,"Mar 31, 2023"
6,"Schwab, Evan",SR-4,Elizabethtown,51.62,40th Millersville Metrics,"Mar 31, 2023"
7,"Bulger, Ben",SO-2,Susquehanna,51.77,2023 Susquehanna Easter Invite,"Apr 8, 2023"
8,"Henning, Bradshaw",SR-4,Susquehanna,51.80,2023 Danny Curran Invitational,"Mar 30, 2023"
9,"Reice, Andrew",SO-2,Elizabethtown,51.83,40th Millersville Metrics,"Mar 31, 2023"
10,"Holland, Myron",JR-3,Elizabethtown,52.01,York College Twilight Meet,"Apr 5, 2023"

1,"Robinson, Crystal",SR-4,Moravian,58.30,Lehigh Games 2023,"Apr 7, 2023"
2,"Gonzalez, Noelle",SR-4,Scranton,59.12,Muhlenberg Outdoor Invitational,"Apr 1, 2023"
3,"Giamoni, Abby",SO-2,Moravian,59.45,Muhlenberg Outdoor Invitational,"Apr 1, 2023"
4,"Byrne, Rachel",SR-4,Moravian,59.78,Muhlenberg Outdoor Invitational,"Apr 1, 2023"
5,"Marsh, Clare",SO-2,Catholic,59.83,2023 Towson Spring Open,"Mar 31, 2023"
6,"Thornton-Fillyaw, Tanise",FR-1,Goucher,59.96,2023 Towson Spring Open,"Mar 31, 2023"
7,"Yoder, Chloe",JR-3,Susquehanna,1:01.48,2023 Jim Taylor Invite,"Mar 24, 2023"
8,"Bixenman, Ellie",JR-3,Catholic,1:02.40,2023 Towson Spring Open,"Mar 31, 2023"
9,"Miller, Olivia",FR-1,Scranton,1:02.65,Muhlenberg Outdoor Invitational,"Apr 1, 2023"
10,"Alderfer, Hannah",SO-2,Susquehanna,1:02.91,2023 Jim Taylor Invite,"Mar 24, 2023"

1,"DuPree, Kendrick",FR-1,Catholic,1:57.19,2023 Towson Spring Open,"Mar 31, 2023"
2,"Kleinberg, Geoffrey",SO-2,Moravian,1:57.94,Lehigh Games 2023,"Apr 7, 2023"
3,"Baxter, Brandon",JR-3,Elizabethtown,1:58.07,2023 Jim Taylor Invite,"Mar 24, 2023"
4,"Frank, Casey",JR-3,Moravian,1:58.12,Lehigh Games 2023,"Apr 7, 2023"
5,"Reice, Andrew",SO-2,Elizabethtown,1:58.55,York College Twilight Meet,"Apr 5, 2023"
6,"Petre, Paul",JR-3,Moravian,1:58.74,Lehigh Games 2023,"Apr 7, 2023"
7,"Myers, Daniel",SO-2,Elizabethtown,1:59.45,York College Twilight Meet,"Apr 5, 2023"
8,"Ward, Brendon",JR-3,Moravian,2:00.35,Muhlenberg Outdoor Invitational,"Apr 1, 2023"
9,"Lanahan, Timothy",JR-3,Scranton,2:00.53,2023 Jim Taylor Invite,"Mar 24, 2023"
10,"Kerchner, Bryan",FR-1,Moravian,2:00.95,Muhlenberg Outdoor Invitational,"Apr 1, 2023"

1,"Thornton-Fillyaw, Tanise",FR-1,Goucher,2:17.84,George Mason Ebanks Invitational,"Apr 7, 2023"
2,"Hoffmann, Samantha",SO-2,Scranton,2:21.87,2023 Jim Taylor Invite,"Mar 24, 2023"
3,"Carter, Kallan",SR-4,Susquehanna,2:21.99,2023 Danny Curran Invitational,"Mar 30, 2023"
4,"Inglis, Kate",SO-2,Catholic,2:23.11,2023 Towson Spring Open,"Mar 31, 2023"
5,"Moehringer, Emily",SO-2,Catholic,2:23.51,2023 Fred Hardy Invitational,"Mar 17, 2023"
6,"Gaspers, Apolline",SO-2,Catholic,2:24.08,2023 Towson Spring Open,"Mar 31, 2023"
7,"Levin, Liza",SO-2,Susquehanna,2:24.63,2023 Danny Curran Invitational,"Mar 30, 2023"
8,"Murphy, Rylie",SO-2,Moravian,2:26.99,Muhlenberg Outdoor Invitational,"Apr 1, 2023"
9,"Byrne, Rachel",SR-4,Moravian,2:27.09,2023 Lafayette Open,"Mar 25, 2023"
10,"Tullman, Olivia",JR-3,Scranton,2:27.31,2023 Jim Taylor Invite,"Mar 24, 2023"

1,"O'Rourke, John",SR-4,Catholic,3:57.45,2023 Towson Spring Open,"Mar 31, 2023"
