Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Hadasz, Andrew",JR-3,Utica,11.01,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,Empire 8 Outdoor Performance List,Men
2,"Welch, Mike",SR-4,Nazareth,11.13,Geneseo Early Season Invitational,"Apr 2, 2023",1.8,100 Meters,Empire 8 Outdoor Performance List,Men
3,"Spicer, Alex",FR,Alfred,11.16,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,Empire 8 Outdoor Performance List,Men
4,"Cuvilly, Curtis",SR-4,St. John Fisher,11.17,Geneseo Early Season Invitational,"Apr 2, 2023",1.7,100 Meters,Empire 8 Outdoor Performance List,Men
5,"Flynn, Nolan",FR-1,Utica,11.20,Wesleyan Swanson Invite,"Mar 26, 2023",2.7,100 Meters,Empire 8 Outdoor Performance List,Men
6,"Bishop, Brady",SO-2,St. John Fisher,11.23,Geneseo Early Season Invitational,"Apr 2, 2023",1.8,100 Meters,Empire 8 Outdoor Performance List,Men
7,"Kurtz, Evan",SO-2,Houghton,11.34,Geneseo Early Season Invitational,"Apr 2, 2023",1.7,100 Meters,Empire 8 Outdoor Performance List,Men
8,"Peters, Neil",SO-2,Alfred,11.35,Geneseo Early Season Invitational,"Apr 2, 2023",1.2,100 Meters,Empire 8 Outdoor Performance List,Men
9,"Trimboli, Timothy",FR,Alfred,11.37,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,Empire 8 Outdoor Performance List,Men
9,"Pomykaj, Jack",FR-1,Nazareth,11.37,Brockport Multi & Invitational,"Apr 14, 2023",1.1,100 Meters,Empire 8 Outdoor Performance List,Men
1,"Lettsome, Zhane",FR-1,St. John Fisher,12.49,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,Empire 8 Outdoor Performance List,Women
2,"Franz, Ciarra",SO-2,St. John Fisher,12.53,Utica Pioneer Spring Invite,"Apr 7, 2023",+0.0,100 Meters,Empire 8 Outdoor Performance List,Women
3,"Johnson, Brenna",SR-4,Nazareth,12.54,RIT Invitational,"Apr 8, 2023",+0.0,100 Meters,Empire 8 Outdoor Performance List,Women
