Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Gerzon, Luke",SR-4,Rhodes,10.47,Wash U Invite,"Mar 31, 2023",3.2,100 Meters,SAA Outdoor Performance List,Men
2,"Jones, Jahari",SO-2,Berry,10.48,Berry Field Day Invitational,"Apr 14, 2023",1.5,100 Meters,SAA Outdoor Performance List,Men
3,"Clayton, TJ",JR-3,Rhodes,10.54,Wash U Invite,"Mar 31, 2023",3.2,100 Meters,SAA Outdoor Performance List,Men
4,"Vaught, JP",SR-4,Centre,10.59,55th Annual Centre College Track & Field Invitational,"Apr 1, 2023",-0.2,100 Meters,SAA Outdoor Performance List,Men
5,"Almona, David",FR-1,Centre,10.68,Mountaineer Open,"Mar 25, 2023",5.8,100 Meters,SAA Outdoor Performance List,Men
6,"Butler, Chris",JR-3,Millsaps,10.97,Belhaven University Invitational,"Mar 25, 2023",1.9,100 Meters,SAA Outdoor Performance List,Men
7,"Wilson, Deiondre",SO-2,Berry,11.12,Berry Field Day Invitational,"Apr 14, 2023",1.6,100 Meters,SAA Outdoor Performance List,Men
8,"Olliges, Jeremy",JR-3,Centre,11.21,55th Annual Centre College Track & Field Invitational,"Apr 1, 2023",1.4,100 Meters,SAA Outdoor Performance List,Men
9,"Weatherspoon, Ethan",FR-1,Centre,11.26,Victor Ice Breaker Duals 2023,"Mar 4, 2023",1.2,100 Meters,SAA Outdoor Performance List,Men
10,"Rivera, Christian",JR-3,Berry,11.38,Berry Field Day Invitational,"Apr 14, 2023",2.2,100 Meters,SAA Outdoor Performance List,Men
11,"Cook, Jeremiah",JR-3,Rhodes,11.39,Rhodes Invitational,"Mar 25, 2023",2.1,100 Meters,SAA Outdoor Performance List,Men
12,"Brown, Kearon",FR-1,Hendrix,11.42,Richard Martin Invitational,"Mar 17, 2023",2.2,100 Meters,SAA Outdoor Performance List,Men
13,"McQueen, Jordan",FR-1,Oglethorpe,11.49,UWG Legends Invitational,"Apr 1, 2023",-0.4,100 Meters,SAA Outdoor Performance List,Men
14,"Knowles, Zacchaeus",JR-3,Hendrix,11.53,2023 MC Spring Cleaning Classic,"Mar 4, 2023",-0.7,100 Meters,SAA Outdoor Performance List,Men
14,"Byrd, Evan",JR-3,Rhodes,11.53,Rhodes 7 Way Meet,"Apr 15, 2023",0.1,100 Meters,SAA Outdoor Performance List,Men
14,"Tezzo, Moise",JR-3,Millsaps,11.53,2023 MC Spring Cleaning Classic,"Mar 4, 2023",0.9,100 Meters,SAA Outdoor Performance List,Men
