Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Ward, Lance",SO-2,Harvard,10.31,UCONN Northeast Challenge,"Apr 14, 2023",3.7,100 Meters,NEICAAA Outdoor Performance List,Men
2,"Popelka, Logan",FR-1,Boston University,10.36,UCONN Northeast Challenge,"Apr 14, 2023",3.7,100 Meters,NEICAAA Outdoor Performance List,Men
2,"Sweeney, Noah",SR-4,Northeastern,10.36,UCONN Northeast Challenge,"Apr 14, 2023",3.2,100 Meters,NEICAAA Outdoor Performance List,Men
4,"Exilhomme, Ethan",SO-2,Northeastern,10.40,Hurricane Alumni Invitational,"Apr 7, 2023",-0.6,100 Meters,NEICAAA Outdoor Performance List,Men
5,"Fullen, Collin",FR-1,Harvard,10.43,Kirk Baptiste Spring Break Invitational,"Mar 16, 2023",6.0,100 Meters,NEICAAA Outdoor Performance List,Men
6,"Howard, Tristen",SO-2,Rhode Island,10.48,UCONN Northeast Challenge,"Apr 14, 2023",3.2,100 Meters,NEICAAA Outdoor Performance List,Men
7,"Acheampong, Jaeschel",SO-2,Harvard,10.50,Hurricane Collegiate Invitational,"Mar 25, 2023",-0.3,100 Meters,NEICAAA Outdoor Performance List,Men
8,"O'Brien, Joseph",JR-3,Connecticut,10.52,UCONN Northeast Challenge,"Apr 14, 2023",3.7,100 Meters,NEICAAA Outdoor Performance List,Men
9,"Christian , Leon",SO-2,Boston University,10.54,Pepsi Florida Relays,"Mar 31, 2023",0.7,100 Meters,NEICAAA Outdoor Performance List,Men
10,"Onilogbo, Michael",FR-1,Boston University,10.56,UCONN Northeast Challenge,"Apr 14, 2023",3.7,100 Meters,NEICAAA Outdoor Performance List,Men
11,"Anderson, Jackson",JR-3,Williams,10.57,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NEICAAA Outdoor Performance List,Men
12,"Love, Zachary",JR-3,Brown,10.58,Hurricane Alumni Invitational,"Apr 7, 2023",2.1,100 Meters,NEICAAA Outdoor Performance List,Men
13,"Botsford, Luke",JR-3,Tufts,10.63,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NEICAAA Outdoor Performance List,Men
14,"Martin, Cole",FR-1,Maine,10.64,UMASS Flagship Opener T&F,"Apr 8, 2023",3.1,100 Meters,NEICAAA Outdoor Performance List,Men
15,"Clarke, Jonas",FR-1,Harvard,10.65,Hurricane Collegiate Invitational,"Mar 25, 2023",-1.0,100 Meters,NEICAAA Outdoor Performance List,Men
16,"Sarisky, Daniel",SO-2,Brown,10.66,2023 Colonial Relays,"Mar 30, 2023",1.8,100 Meters,NEICAAA Outdoor Performance List,Men
17,"Kao, Jacob",SO-2,Yale,10.71,Harvard/Yale vs. Oxford/Cambridge,"Apr 8, 2023",1.2,100 Meters,NEICAAA Outdoor Performance List,Men
17,"Epstein, Myles",SO-2,Dartmouth,10.71,UCONN Northeast Challenge,"Apr 14, 2023",3.2,100 Meters,NEICAAA Outdoor Performance List,Men
19,"Lorent, Jason",SO-2,New Haven,10.73,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",1.7,100 Meters,NEICAAA Outdoor Performance List,Men
