Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Blaskowski, Sam",SO-2,Wis.-La Crosse,10.20,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
2,"Smith, Ryder",FR-1,Wis.-La Crosse,10.45,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
3,"Grant, Jaylen",JR-3,Wis.-Oshkosh,10.56,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
4,"Klechefski, Stefan",JR-3,Wis.-Eau Claire,10.63,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
5,"Williams, Ja'siah",FR-1,Wis.-Oshkosh,10.71,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
6,"Thomas, Denzel",SR-4,Wis.-Oshkosh,10.72,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
7,"Reichart, Spencer",JR-3,Wis.-La Crosse,10.73,Ashton May Invitational,"Apr 7, 2023",3.5,100 Meters,WIAC Outdoor Performance List,Men
8,"Cullison, Keegan",SO-2,Wis.-Oshkosh,10.75,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
9,"McClowry, Colin",SO-2,Wis.-Eau Claire,10.78,Ashton May Invitational,"Apr 7, 2023",3.5,100 Meters,WIAC Outdoor Performance List,Men
9,"Clavijo, Brett",SO-2,Wis.-Oshkosh,10.78,Ashton May Invitational,"Apr 7, 2023",0.8,100 Meters,WIAC Outdoor Performance List,Men
11,"Hughes, Cam",FR-1,Wis.-Whitewater,10.79,Rex Foster Twilight,"Apr 7, 2023",2.2,100 Meters,WIAC Outdoor Performance List,Men
12,"Turner, Derrick",SO-2,Wis.-Platteville,10.80,UW-Platteville Opener,"Apr 1, 2023",1.9,100 Meters,WIAC Outdoor Performance List,Men
