Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Felix, Nate",SR-4,Fitchburg St.,11.17,Jim Sheehan Memorial Track Meet,"Apr 8, 2023",+0.0,100 Meters,MASCAC Outdoor Performance List,Men
1,"Matias, Mason",SR-4,Bridgewater St.,11.17,Springfield College Classic,"Apr 8, 2023",1.5,100 Meters,MASCAC Outdoor Performance List,Men
3,"Jacques, Brodie",SO-2,Worcester State,11.23,Jim Sheehan Memorial Track Meet,"Apr 8, 2023",-1.3,100 Meters,MASCAC Outdoor Performance List,Men
4,"Candido, Nathan",SO-2,Bridgewater St.,11.28,Springfield College Classic,"Apr 8, 2023",1.5,100 Meters,MASCAC Outdoor Performance List,Men
5,"Kerwin, Blake",SR-4,Bridgewater St.,11.29,Springfield College Classic,"Apr 8, 2023",1.2,100 Meters,MASCAC Outdoor Performance List,Men
5,"DeAndrade, Jacob",SR-4,Bridgewater St.,11.29,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,MASCAC Outdoor Performance List,Men
7,"Young, Michael",JR-3,Bridgewater St.,11.34,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,MASCAC Outdoor Performance List,Men
8,"Barinelli, Thomas",SO-2,Bridgewater St.,11.37,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5,100 Meters,MASCAC Outdoor Performance List,Men
9,"DeBarber, Brendan",JR-3,Westfield State,11.45,Jerry Gravel Classic,"Apr 15, 2023",2.1,100 Meters,MASCAC Outdoor Performance List,Men
10,"Velez, Elvis",FR-1,Worcester State,11.63,Jim Sheehan Memorial Track Meet,"Apr 8, 2023",-0.8,100 Meters,MASCAC Outdoor Performance List,Men
11,"Foley, Michael",JR-3,Westfield State,11.66,Jerry Gravel Classic,"Apr 15, 2023",2.1,100 Meters,MASCAC Outdoor Performance List,Men
12,"Auston, Shaki",JR-3,Fitchburg St.,11.67,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,MASCAC Outdoor Performance List,Men
13,"Craft, Myles",FR-1,Westfield State,11.71,Jerry Gravel Classic,"Apr 15, 2023",1.6,100 Meters,MASCAC Outdoor Performance List,Men
14,"Mcknight, Elijah",SO-2,Fitchburg St.,11.74,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.5,100 Meters,MASCAC Outdoor Performance List,Men
15,"Polanco, Nicholas",SO-2,Fitchburg St.,11.77,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.6,100 Meters,MASCAC Outdoor Performance List,Men
16,"Correia, Michael",FR-1,Bridgewater St.,11.86,Springfield College Classic,"Apr 8, 2023",1.2,100 Meters,MASCAC Outdoor Performance List,Men
16,"Epps, Javon",FR-1,Bridgewater St.,11.86,Springfield College Classic,"Apr 8, 2023",-0.7,100 Meters,MASCAC Outdoor Performance List,Men
18,"Margeson, Max",SO-2,Westfield State,11.88,Jerry Gravel Classic,"Apr 15, 2023",2.1,100 Meters,MASCAC Outdoor Performance List,Men
19,"Austin, Jaiden",FR-1,Westfield State,11.93,Jerry Gravel Classic,"Apr 15, 2023",1.6,100 Meters,MASCAC Outdoor Performance List,Men
20,"Swinehart, Jacob",JR-3,Westfield State,11.95,Jerry Gravel Classic,"Apr 15, 2023",-0.9,100 Meters,MASCAC Outdoor Performance List,Men
21,"Boozer, Demetri",SO-2,Mass. Maritime,12.02,Regis Spring Classic - 2023,"Apr 6, 2023",0.6,100 Meters,MASCAC Outdoor Performance List,Men
22,"McFarlane, Matthew",SO-2,Mass. Maritime,12.10,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.3,100 Meters,MASCAC Outdoor Performance List,Men
23,"Casiano, Giovanni",SO-2,Worcester State,12.17,Jim Sheehan Memorial Track Meet,"Apr 8, 2023",-0.8,100 Meters,MASCAC Outdoor Performance List,Men
24,"Bourassa, Liam",FR-1,Fitchburg St.,12.20,Tufts Snowflake Classic,"Apr 1, 2023",-0.2,100 Meters,MASCAC Outdoor Performance List,Men
25,"Gibson, Sean",JR-3,Mass. Maritime,12.27,Regis Spring Classic - 2023,"Apr 6, 2023",0.6,100 Meters,MASCAC Outdoor Performance List,Men
26,"Soares, Jason",FR-1,Mass. Maritime,12.29,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.3,100 Meters,MASCAC Outdoor Performance List,Men
27,"Michaelidis, Paul",FR-1,Fitchburg St.,12.44,BSU Invite,"Mar 25, 2023",1.6,100 Meters,MASCAC Outdoor Performance List,Men
28,"Barlage, Edward",FR-1,Mass. Maritime,12.53,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.8,100 Meters,MASCAC Outdoor Performance List,Men
29,"Mucciarone, Caleb",FR-1,Mass. Maritime,12.55,Regis Spring Classic - 2023,"Apr 6, 2023",0.6,100 Meters,MASCAC Outdoor Performance List,Men
30,"Cochran, Zachary",SR-4,Mass. Maritime,12.61,Regis Spring Classic - 2023,"Apr 6, 2023",+0.0,100 Meters,MASCAC Outdoor Performance List,Men
1,"McDonough, Alison",SR-4,Bridgewater St.,12.32,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,MASCAC Outdoor Performance List,Women
