Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Clanton, Kyle",SR-4,Bridgewater (Va.),10.49,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.4,100 Meters,ODAC Outdoor Performance List,Men
2,"Fowler, Brady",SO-2,Roanoke,10.50,Vertklasse,"Mar 31, 2023",3.9,100 Meters,ODAC Outdoor Performance List,Men
3,"Moore, Miles",JR-3,Shenandoah,10.53,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.4,100 Meters,ODAC Outdoor Performance List,Men
4,"Crowder, William",SO-2,Shenandoah,10.60,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4,100 Meters,ODAC Outdoor Performance List,Men
5,"Jones, Jaylen",SO-2,Lynchburg,10.75,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.4,100 Meters,ODAC Outdoor Performance List,Men
6,"Jackson, Andre",SO-2,Shenandoah,10.80,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.5,100 Meters,ODAC Outdoor Performance List,Men
7,"Clark, Isaiah",SO-2,Ferrum,10.81,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.4,100 Meters,ODAC Outdoor Performance List,Men
8,"Alexander, Trevel",SR-4,Guilford,10.91,Vertklasse,"Mar 31, 2023",2.2,100 Meters,ODAC Outdoor Performance List,Men
9,"Raya, Nekolas",JR-3,Lynchburg,10.95,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.9,100 Meters,ODAC Outdoor Performance List,Men
10,"Johnson, Alijah",SR-4,Eastern Mennonite,10.96,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.3,100 Meters,ODAC Outdoor Performance List,Men
11,"Morgan, Damon",SO-2,Eastern Mennonite,10.99,Doc Jopson Track & Field Invitational,"Mar 25, 2023",2.6,100 Meters,ODAC Outdoor Performance List,Men
12,"Jacobs, Zachary",JR-3,Lynchburg,11.03,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.5,100 Meters,ODAC Outdoor Performance List,Men
13,"Hunter, Bryson",SR-4,Eastern Mennonite,11.05,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.8,100 Meters,ODAC Outdoor Performance List,Men
14,"Cornish, Isaiah",SR-4,Lynchburg,11.06,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.3,100 Meters,ODAC Outdoor Performance List,Men
15,"Eldridge, Joseph",FR-1,Roanoke,11.08,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.8,100 Meters,ODAC Outdoor Performance List,Men
16,"Newcome, Wyatt",FR-1,Shenandoah,11.12,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.8,100 Meters,ODAC Outdoor Performance List,Men
17,"Hamm, Michael",SO-2,Ferrum,11.13,Virginia Beach Spring Break Invitational,"Mar 17, 2023",+0.0,100 Meters,ODAC Outdoor Performance List,Men
18,"Moon, Aaron",SO-2,Bridgewater (Va.),11.15,North River Meet,"Apr 8, 2023",-0.8,100 Meters,ODAC Outdoor Performance List,Men
19,"Heffinger, Brandon",FR-1,Roanoke,11.17,Doc Jopson Track & Field Invitational,"Mar 25, 2023",2.6,100 Meters,ODAC Outdoor Performance List,Men
20,"McPherson, DaMauri",JR-3,Ferrum,11.23,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.8,100 Meters,ODAC Outdoor Performance List,Men
