Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Agwomoh, Marvin",SR-4,Benedictine (Ill.),10.58,Wheaton Invitational 2023,"Apr 14, 2023",0.1,100 Meters,NACC Outdoor Performance List,Men
2,"Ploeckelman, Evan",SO-2,MSOE,10.69,Green & White Invite,"Apr 15, 2023",2.7,100 Meters,NACC Outdoor Performance List,Men
3,"Hunter, Isaac",SR-4,MSOE,10.70,Green & White Invite,"Apr 15, 2023",2.7,100 Meters,NACC Outdoor Performance List,Men
4,"Blanchard, Amir",SR-4,Benedictine (Ill.),10.91,Wheaton Invitational 2023,"Apr 14, 2023",2.0,100 Meters,NACC Outdoor Performance List,Men
5,"Retzlaff, Blake",SO-2,St. Norbert,11.10,Wisconsin Private College Championships,"Apr 2, 2023",2.0,100 Meters,NACC Outdoor Performance List,Men
6,"Nash, Luke",SO-2,St. Norbert,11.15,Wisconsin Private College Championships,"Apr 2, 2023",1.6,100 Meters,NACC Outdoor Performance List,Men
7,"Whitehead, Malik",SR-4,Aurora,11.22,Wheaton Invitational 2023,"Apr 14, 2023",2.0,100 Meters,NACC Outdoor Performance List,Men
8,"Salinas, Anthony",FR-1,Aurora,11.29,Gibson Invitational & Multis,"Apr 13, 2023",1.5,100 Meters,NACC Outdoor Performance List,Men
9,"Nelson, Stewart",SO-2,Illinois Tech,11.32,Wheaton Invitational 2023,"Apr 14, 2023",3.7,100 Meters,NACC Outdoor Performance List,Men
10,"Ayala, Ray Ray",FR-1,Aurora,11.33,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",-0.7,100 Meters,NACC Outdoor Performance List,Men
11,"Schermacher, Ezra",FR-1,St. Norbert,11.37,Beloit Relays,"Apr 15, 2023",3.1,100 Meters,NACC Outdoor Performance List,Men
12,"Nennig, Camden",FR-1,MSOE,11.38,Green & White Invite,"Apr 15, 2023",1.4,100 Meters,NACC Outdoor Performance List,Men
13,"Coonen, Joe",JR-3,St. Norbert,11.41,St. Norbert Twilight,"Apr 6, 2023",0.8,100 Meters,NACC Outdoor Performance List,Men
14,"Thiel, Gabriel",FR-1,St. Norbert,11.43,Beloit Relays,"Apr 15, 2023",1.8,100 Meters,NACC Outdoor Performance List,Men
15,"Osuala, Abuchi",FR-1,Wisconsin Lutheran,11.44,Rhodes Invitational,"Mar 25, 2023",2.1,100 Meters,NACC Outdoor Performance List,Men
16,"Rimpel, Jahrel",FR-1,Aurora,11.47,Wheaton Invitational 2023,"Apr 14, 2023",2.0,100 Meters,NACC Outdoor Performance List,Men
17,"Heckman, Zach",SR-4,Edgewood,11.49,Good Friday Open,"Apr 7, 2023",3.1,100 Meters,NACC Outdoor Performance List,Men
17,"Welsch, Austin",FR-1,St. Norbert,11.49,Beloit Relays,"Apr 15, 2023",2.4,100 Meters,NACC Outdoor Performance List,Men
19,"Abdi, Muse",SO-2,Lakeland,11.53,Green & White Invite,"Apr 15, 2023",3.1,100 Meters,NACC Outdoor Performance List,Men
20,"Wiesen, Jordan",JR-3,Wisconsin Lutheran,11.57,Warrior Invitational,"Apr 6, 2023",2.1,100 Meters,NACC Outdoor Performance List,Men
20,"Tischendorf, Dane",SR-4,Concordia (Wis.),11.57,Wisconsin Private College Championships,"Apr 2, 2023",2.7,100 Meters,NACC Outdoor Performance List,Men
20,"James, Noah",JR-3,St. Norbert,11.57,St. Norbert Twilight,"Apr 6, 2023",3.5,100 Meters,NACC Outdoor Performance List,Men
23,"Allen, Christian",SO-2,Illinois Tech,11.60,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",1.4,100 Meters,NACC Outdoor Performance List,Men
23,"Taylor, Ethan",FR-1,Aurora,11.60,Wheaton Invitational 2023,"Apr 14, 2023",1.3,100 Meters,NACC Outdoor Performance List,Men
25,"Scarnato, Vincent",FR-1,Concordia Univ. Chicago,11.61,Wisconsin Private College Championships,"Apr 2, 2023",2.7,100 Meters,NACC Outdoor Performance List,Men
1,"Korger-Mitchell, Grace",SO-2,Edgewood,12.68,Good Friday Open,"Apr 7, 2023",1.4,100 Meters,NACC Outdoor Performance List,Women
2,"Makope, Nicole",SO-2,St. Norbert,12.70,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.1,100 Meters,NACC Outdoor Performance List,Women
3,"Bliefernicht, Lauren",SO-2,Aurora,12.75,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",-0.5,100 Meters,NACC Outdoor Performance List,Women
4,"Moore, Sabrina",JR-3,Concordia (Wis.),12.87,Beloit Relays,"Apr 15, 2023",2.1,100 Meters,NACC Outdoor Performance List,Women
5,"Zahorik, Jenna",JR-3,Concordia (Wis.),12.88,Beloit Relays,"Apr 15, 2023",0.5,100 Meters,NACC Outdoor Performance List,Women
6,"Wilson, Daisia",SO-2,Concordia Univ. Chicago,12.91,Green & White Invite,"Apr 15, 2023",3.2,100 Meters,NACC Outdoor Performance List,Women
7,"McDaniel, Gillian",FR-1,MSOE,13.07,Rex Foster Twilight,"Apr 7, 2023",1.9,100 Meters,NACC Outdoor Performance List,Women
8,"Jameson, Olivia",FR-1,Illinois Tech,13.13,2023 Millikin Alumni Invite,"Apr 1, 2023",3.2,100 Meters,NACC Outdoor Performance List,Women
9,"Marquardt, Kennedy",SO-2,St. Norbert,13.16,Beloit Relays,"Apr 15, 2023",0.5,100 Meters,NACC Outdoor Performance List,Women
10,"Turner, Zoe",FR-1,Illinois Tech,13.17,2023 Millikin Alumni Invite,"Apr 1, 2023",3.2,100 Meters,NACC Outdoor Performance List,Women
11,"Staehling, Ellie",SO-2,St. Norbert,13.29,Beloit Relays,"Apr 15, 2023",3.1,100 Meters,NACC Outdoor Performance List,Women
12,"Wolfe, Gracie",FR-1,St. Norbert,13.40,Beloit Relays,"Apr 15, 2023",0.5,100 Meters,NACC Outdoor Performance List,Women
13,"Tranel, Nikki",SO-2,St. Norbert,13.46,Wisconsin Private College Championships,"Apr 2, 2023",1.7,100 Meters,NACC Outdoor Performance List,Women
14,"Clark, Hannah",FR-1,Edgewood,13.47,Good Friday Open,"Apr 7, 2023",3.4,100 Meters,NACC Outdoor Performance List,Women
15,"Lorenz, Marissa",SO-2,St. Norbert,13.55,Beloit Relays,"Apr 15, 2023",1.4,100 Meters,NACC Outdoor Performance List,Women
16,"Burg, Trinity",SR-4,Edgewood,13.61,Good Friday Open,"Apr 7, 2023",2.0,100 Meters,NACC Outdoor Performance List,Women
17,"Nemitz, Lauren",JR-3,Concordia (Wis.),13.68,Beloit Relays,"Apr 15, 2023",1.4,100 Meters,NACC Outdoor Performance List,Women
18,"Schultz, Katie",FR-1,St. Norbert,13.69,Wisconsin Private College Championships,"Apr 2, 2023",2.2,100 Meters,NACC Outdoor Performance List,Women
19,"Schroer, Sydney",FR-1,Wisconsin Lutheran,13.73,Rhodes Invitational,"Mar 25, 2023",1.4,100 Meters,NACC Outdoor Performance List,Women
20,"Ebel, Hannah",JR-3,Concordia (Wis.),13.74,Wisconsin Private College Championships,"Apr 2, 2023",2.0,100 Meters,NACC Outdoor Performance List,Women
21,"Kerkman, Kayla",FR-1,Edgewood,13.84,Good Friday Open,"Apr 7, 2023",3.7,100 Meters,NACC Outdoor Performance List,Women
