Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Summers, Cameron",SR-4,Stevenson,10.84,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3,100 Meters,Middle Atlantic Conference Outdoor List,Men
2,"Cipriano, Jarod",SR-4,Misericordia,10.95,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,Middle Atlantic Conference Outdoor List,Men
3,"Provan, Brendan",SR-4,Messiah,10.96,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,Middle Atlantic Conference Outdoor List,Men
4,"Mins, Jamel",SO-2,Hood,10.98,Bison Outdoor Classic,"Apr 14, 2023",0.3,100 Meters,Middle Atlantic Conference Outdoor List,Men
5,"Edoukou, Emmanuel",SO,King's (Pa.),11.06,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,Middle Atlantic Conference Outdoor List,Men
6,"Dunbar, Kyle",JR-3,DeSales,11.09,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,Middle Atlantic Conference Outdoor List,Men
7,"Knowles, Samuel",SO-2,Widener,11.10,WCU Bill Butler Invitational,"Apr 15, 2023",-1.0,100 Meters,Middle Atlantic Conference Outdoor List,Men
8,"Ellington, Evan",JR-3,Hood,11.13,Bison Outdoor Classic,"Apr 14, 2023",1.4,100 Meters,Middle Atlantic Conference Outdoor List,Men
9,"Short, Jack",SO-2,Alvernia,11.16,Bison Outdoor Classic,"Apr 14, 2023",0.5,100 Meters,Middle Atlantic Conference Outdoor List,Men
9,"Buhr, Owen",FR,Lebanon Valley,11.16,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,100 Meters,Middle Atlantic Conference Outdoor List,Men
11,"Wilson, Vajon",JR-3,DeSales,11.19,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,Middle Atlantic Conference Outdoor List,Men
12,"Okuseinde, Tofunmi",FR-1,Hood,11.20,40th Millersville Metrics,"Mar 31, 2023",2.0,100 Meters,Middle Atlantic Conference Outdoor List,Men
12,"Linder, Owen",SO-2,Lebanon Valley,11.20,40th Millersville Metrics,"Mar 31, 2023",1.7,100 Meters,Middle Atlantic Conference Outdoor List,Men
14,"Grauer, Logan",FR,Lebanon Valley,11.22,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.5,100 Meters,Middle Atlantic Conference Outdoor List,Men
15,"Avery, Brendan",SO-2,King's (Pa.),11.26,Cortland Upstate Alternative,"Apr 15, 2023",2.4,100 Meters,Middle Atlantic Conference Outdoor List,Men
16,"Isaac, Kip",FR-1,Misericordia,11.30,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,Middle Atlantic Conference Outdoor List,Men
16,"Sams, Myles",JR-3,Arcadia,11.30,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,Middle Atlantic Conference Outdoor List,Men
18,"Berner, Logan",JR-3,DeSales,11.31,2023 Messiah Multi/Invitational,"Apr 13, 2023",+0.0,100 Meters,Middle Atlantic Conference Outdoor List,Men
19,"McCulloch, Tyler",FR-1,DeSales,11.36,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,Middle Atlantic Conference Outdoor List,Men
20,"Sabo, Alex",SO-2,Lebanon Valley,11.37,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,Middle Atlantic Conference Outdoor List,Men
20,"Eldridge, Christian",FR-1,Stevenson,11.37,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.9,100 Meters,Middle Atlantic Conference Outdoor List,Men
22,"Battle, Jeremiah",JR-3,Stevenson,11.38,2023 Messiah Multi/Invitational,"Apr 13, 2023",-0.7,100 Meters,Middle Atlantic Conference Outdoor List,Men
23,"Mayro, Zach",SO-2,Messiah,11.43,2023 Danny Curran Invitational,"Mar 30, 2023",-0.6,100 Meters,Middle Atlantic Conference Outdoor List,Men
24,"Koehler, Chandler",SO-2,Eastern,11.45,WCU Bill Butler Invitational,"Apr 15, 2023",-0.3,100 Meters,Middle Atlantic Conference Outdoor List,Men
25,"Wiedorfer, Sam",JR,York (Pa.),11.47,2023 Messiah Multi/Invitational,"Apr 13, 2023",0.7,100 Meters,Middle Atlantic Conference Outdoor List,Men
1,"Mathews, Laura",JR-3,Stevens,12.13,Vassar April Invitational 2023,"Apr 7, 2023",0.6,100 Meters,Middle Atlantic Conference Outdoor List,Women
2,"Gore, Jayla",FR-1,Widener,12.16,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,Middle Atlantic Conference Outdoor List,Women
3,"Muzzarelli, Maria",SO-2,Widener,12.25,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,Middle Atlantic Conference Outdoor List,Women
4,"Wiederrecht, Kathryn",SO,Messiah,12.44,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,Middle Atlantic Conference Outdoor List,Women
5,"Diffenderfer, Alyssa",JR,Lebanon Valley,12.51,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,Middle Atlantic Conference Outdoor List,Women
6,"Roper, Breyanna",JR-3,DeSales,12.69,Muhlenberg Outdoor Invitational,"Apr 1, 2023",3.9,100 Meters,Middle Atlantic Conference Outdoor List,Women
7,"Kuzma, Ellen",SR,King's (Pa.),12.71,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,Middle Atlantic Conference Outdoor List,Women
8,"Jennett, Halle",SO-2,Messiah,12.77,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,100 Meters,Middle Atlantic Conference Outdoor List,Women
9,"Radcliffe, Abigail",JR-3,DeSales,12.88,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.8,100 Meters,Middle Atlantic Conference Outdoor List,Women
10,"Springer, Abigail",SO-2,King's (Pa.),12.91,Muhlenberg Outdoor Invitational,"Apr 1, 2023",3.9,100 Meters,Middle Atlantic Conference Outdoor List,Women
11,"Wiederrecht, Taylor",JR,Messiah,12.94,2023 Messiah Multi/Invitational,"Apr 13, 2023",0.9,100 Meters,Middle Atlantic Conference Outdoor List,Women
12,"Barr, Kelly",FR-1,Widener,12.95,WCU Bill Butler Invitational,"Apr 15, 2023",-0.2,100 Meters,Middle Atlantic Conference Outdoor List,Women
13,"Hunyara, Tori",FR-1,Lebanon Valley,12.96,40th Millersville Metrics,"Mar 31, 2023",3.1,100 Meters,Middle Atlantic Conference Outdoor List,Women
14,"Lynch, Savannah",JR,King's (Pa.),12.98,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,Middle Atlantic Conference Outdoor List,Women
15,"Brady, Juliet",SO-2,King's (Pa.),13.04,Cortland Upstate Alternative,"Apr 15, 2023",2.6,100 Meters,Middle Atlantic Conference Outdoor List,Women
16,"Kepler, Hannah",FR-1,Stevenson,13.05,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.3,100 Meters,Middle Atlantic Conference Outdoor List,Women
16,"Berkheimer, Darrian",SO-2,Lebanon Valley,13.05,40th Millersville Metrics,"Mar 31, 2023",3.1,100 Meters,Middle Atlantic Conference Outdoor List,Women
18,"Gruenwald, Arwyn",FR-1,Messiah,13.16,2023 Messiah Multi/Invitational,"Apr 13, 2023",+0.0,100 Meters,Middle Atlantic Conference Outdoor List,Women
18,"Pena, Julia",JR-3,York (Pa.),13.16,York College Twilight Meet,"Apr 5, 2023",-2.6,100 Meters,Middle Atlantic Conference Outdoor List,Women
20,"Wilson, Jasmine",JR-3,Stevenson,13.17,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.3,100 Meters,Middle Atlantic Conference Outdoor List,Women
21,"Bednarek, Lindsay",FR-1,DeSales,13.19,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.8,100 Meters,Middle Atlantic Conference Outdoor List,Women
