Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Elfahim, Ayoub",SO-2,Queensborough CC,11.38,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
2,"Gado, Habibu",JR-3,CCNY,11.45,Coach O Invitational,"Apr 2, 2023",1.3,100 Meters,CUNYAC Outdoor Performance List,Men
3,"Adekoya, David",FR-1,Queensborough CC,11.58,Coach O Invitational,"Apr 2, 2023",1.3,100 Meters,CUNYAC Outdoor Performance List,Men
4,"Barry, Ismael",SO-2,Lehman,11.82,Middlesex College Invitational,"Apr 15, 2023",0.5,100 Meters,CUNYAC Outdoor Performance List,Men
5,"Wilson-Hill, Tahkwai",JR-3,York (N.Y.),11.94,The Big Hurt,"Apr 1, 2023",1.0,100 Meters,CUNYAC Outdoor Performance List,Men
6,"Lahens, Ryan",JR-3,York (N.Y.),11.97,2023 TCNJ Invitational,"Apr 8, 2023",1.1,100 Meters,CUNYAC Outdoor Performance List,Men
7,"Mondesir, Marvin",SR-4,York (N.Y.),11.99,The Big Hurt,"Apr 1, 2023",0.9,100 Meters,CUNYAC Outdoor Performance List,Men
8,"Garcia , Elias",SR-4,Hunter,12.01,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
9,"Taylor , Dontay",SO-2,Kingsborough CC,12.08,Queens College Season Opener,"Mar 25, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
10,"Eweka, Justin",FR-1,Queensborough CC,12.09,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
11,"Washington, Dontay",SO-2,Lehman,12.17,Springfield College Classic,"Apr 8, 2023",0.6,100 Meters,CUNYAC Outdoor Performance List,Men
12,"Cassin, Andrew",FR-1,Lehman,12.23,Middlesex College Invitational,"Apr 15, 2023",-0.7,100 Meters,CUNYAC Outdoor Performance List,Men
13,"Njoku II, Obinna",SO-2,Lehman,12.26,Middlesex College Invitational,"Apr 15, 2023",0.5,100 Meters,CUNYAC Outdoor Performance List,Men
14,"Douglas, Paul",SO-2,Queensborough CC,12.35,Osprey Open and Multi,"Apr 7, 2023",-0.6,100 Meters,CUNYAC Outdoor Performance List,Men
15,"Nicolas, Chrisnel",SO-2,Queensborough CC,12.46,Middlesex College Invitational,"Apr 15, 2023",1.3,100 Meters,CUNYAC Outdoor Performance List,Men
16,"Brown, Kal-El",FR-1,Lehman,12.49,Middlesex College Invitational,"Apr 15, 2023",1.3,100 Meters,CUNYAC Outdoor Performance List,Men
17,"Fontus, Lesny",FR-1,Kingsborough CC,12.53,Coach O Invitational,"Apr 2, 2023",-0.8,100 Meters,CUNYAC Outdoor Performance List,Men
18,"Mondesir, Kervin",SR-4,York (N.Y.),12.54,The Big Hurt,"Apr 1, 2023",0.5,100 Meters,CUNYAC Outdoor Performance List,Men
19,"Byron, Kyle",SO-2,CCNY,12.55,Coach O Invitational,"Apr 2, 2023",-2.9,100 Meters,CUNYAC Outdoor Performance List,Men
20,"Kalala, Kamunga",FR-1,CCNY,12.57,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
21,"Richards, Christopher",FR-1,Medgar Evers,12.61,Middlesex College Invitational,"Apr 15, 2023",1.3,100 Meters,CUNYAC Outdoor Performance List,Men
22,"Cruz, Brian",FR-1,Queensborough CC,12.76,Queens College Season Opener,"Mar 25, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
23,"Elsherbiny, Hamza",JR-3,Hunter,12.77,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
24,"Fernandes, Anthony",FR-1,Hunter,12.82,MSMC 2022 Track Invite,"Mar 25, 2023",+0.0,100 Meters,CUNYAC Outdoor Performance List,Men
25,"Douglass Vasquez, Evan",FR-1,Hostos CC,12.84,Queens College Season Opener,"Mar 25, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Men
1,"Neptune, Zaria",FR-1,York (N.Y.),13.89,The Big Hurt,"Apr 1, 2023",1.2,100 Meters,CUNYAC Outdoor Performance List,Women
1,"Williams, Althea",FR-1,Hunter,13.89,Ramapo College Track & Field Invitational,"Mar 31, 2023",-0.8,100 Meters,CUNYAC Outdoor Performance List,Women
3,"Sissoko, Aminata",SO-2,Lehman,13.99,Middlesex College Invitational,"Apr 15, 2023",-0.2,100 Meters,CUNYAC Outdoor Performance List,Women
4,"Woodberry, Bianca",FR-1,Medgar Evers,14.01,Coach O Invitational,"Apr 2, 2023",2.6,100 Meters,CUNYAC Outdoor Performance List,Women
5,"Orwa, Ayayo",FR-1,Hunter,14.05,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,CUNYAC Outdoor Performance List,Women
