Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Zeigler, Noah",SO-2,Marywood,11.14,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,Atlantic East Outdoor Performance List,Men
2,"Soubik, Branden",SO-2,Gwynedd-Mercy,11.26,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,Atlantic East Outdoor Performance List,Men
3,"Easy, Kahil",JR-3,Marymount (Va.),11.36,Battleground Relays,"Apr 1, 2023",1.9,100 Meters,Atlantic East Outdoor Performance List,Men
4,"Struggs, Samuel",FR-1,Marymount (Va.),11.43,Battleground Relays,"Apr 1, 2023",1.2,100 Meters,Atlantic East Outdoor Performance List,Men
5,"Valente, Cole",SR-4,Marymount (Va.),11.46,Battleground Relays,"Apr 1, 2023",0.2,100 Meters,Atlantic East Outdoor Performance List,Men
6,"Curtis, Darian",FR-1,Marymount (Va.),11.79,George Mason Ebanks Invitational,"Apr 7, 2023",-0.3,100 Meters,Atlantic East Outdoor Performance List,Men
7,"Williams, Malachi",SO-2,Marymount (Va.),11.89,Battleground Relays,"Apr 1, 2023",1.6,100 Meters,Atlantic East Outdoor Performance List,Men
8,"Smith, Radelson",FR-1,Gwynedd-Mercy,12.19,Ursinus College Outdoor Invitational,"Mar 25, 2023",-0.8,100 Meters,Atlantic East Outdoor Performance List,Men
9,"Vallade, Dylan",SR-4,Marymount (Va.),12.30,2023 Lloyd Sigler Spring Meet,"Mar 4, 2023",1.6,100 Meters,Atlantic East Outdoor Performance List,Men
10,"Pichany, Dominic",FR-1,Marywood,12.38,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,Atlantic East Outdoor Performance List,Men
1,"Signou, Agnes",JR-3,Marymount (Va.),12.90,Battleground Relays,"Apr 1, 2023",+0.0,100 Meters,Atlantic East Outdoor Performance List,Women
2,"Noel, Destiny",SO-2,Marymount (Va.),13.43,Battleground Relays,"Apr 1, 2023",+0.0,100 Meters,Atlantic East Outdoor Performance List,Women
3,"Kavleski, Alyssa",FR-1,Marywood,13.59,Misericordia Twilight 2023,"Apr 4, 2023",0.9,100 Meters,Atlantic East Outdoor Performance List,Women
4,"Goldsmith , Janell",SO-2,Neumann,13.78,2023 Messiah Multi/Invitational,"Apr 13, 2023",-0.5,100 Meters,Atlantic East Outdoor Performance List,Women
5,"Clarency, Jenna",SO-2,Gwynedd-Mercy,13.92,Muhlenberg Outdoor Invitational,"Apr 1, 2023",1.9,100 Meters,Atlantic East Outdoor Performance List,Women
6,"Pietrewicz, Adriana",SO-2,Cabrini,14.06,Middlesex College Invitational,"Apr 15, 2023",-0.1,100 Meters,Atlantic East Outdoor Performance List,Women
7,"Hays, Peyton",JR-3,Immaculata,14.22,40th Millersville Metrics,"Mar 31, 2023",2.6,100 Meters,Atlantic East Outdoor Performance List,Women
7,"Mills, Caitlin",JR-3,Marywood,14.22,2023 Danny Curran Invitational,"Mar 30, 2023",-0.6,100 Meters,Atlantic East Outdoor Performance List,Women
9,"O'Neill, Natalie",SO-2,Gwynedd-Mercy,14.94,Ursinus College Outdoor Invitational,"Mar 25, 2023",-1.8,100 Meters,Atlantic East Outdoor Performance List,Women
10,"Konake, Djeneba",JR-3,Neumann,15.06,2023 Messiah Multi/Invitational,"Apr 13, 2023",-0.3,100 Meters,Atlantic East Outdoor Performance List,Women
1,"Soubik, Branden",SO-2,Gwynedd-Mercy,22.60,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.7,200 Meters,Atlantic East Outdoor Performance List,Men
2,"Zeigler, Noah",SO-2,Marywood,23.06,Misericordia Twilight 2023,"Apr 4, 2023",0.1,200 Meters,Atlantic East Outdoor Performance List,Men
3,"Struggs, Samuel",FR-1,Marymount (Va.),23.19,Battleground Relays,"Apr 1, 2023",1.8,200 Meters,Atlantic East Outdoor Performance List,Men
4,"Valente, Cole",SR-4,Marymount (Va.),23.41,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.3,200 Meters,Atlantic East Outdoor Performance List,Men
5,"Johnson, Montaz",SO-2,Neumann,23.87,2023 Danny Curran Invitational,"Mar 30, 2023",-0.6,200 Meters,Atlantic East Outdoor Performance List,Men
6,"Curtis, Darian",FR-1,Marymount (Va.),24.36,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.5,200 Meters,Atlantic East Outdoor Performance List,Men
7,"Vallade, Dylan",SR-4,Marymount (Va.),24.58,Battleground Relays,"Apr 1, 2023",1.8,200 Meters,Atlantic East Outdoor Performance List,Men
8,"Williams, Malachi",SO-2,Marymount (Va.),24.67,Battleground Relays,"Apr 1, 2023",2.0,200 Meters,Atlantic East Outdoor Performance List,Men
9,"Hoysan, Tyler",FR-1,Marywood,24.83,2023 Danny Curran Invitational,"Mar 30, 2023",-0.7,200 Meters,Atlantic East Outdoor Performance List,Men
10,"Ricciardi, Matt",FR-1,Neumann,24.87,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.3,200 Meters,Atlantic East Outdoor Performance List,Men
1,"Signou, Agnes",JR-3,Marymount (Va.),26.68,Battleground Relays,"Apr 1, 2023",0.1,200 Meters,Atlantic East Outdoor Performance List,Women
2,"Noel, Destiny",SO-2,Marymount (Va.),27.26,Battleground Relays,"Apr 1, 2023",0.9,200 Meters,Atlantic East Outdoor Performance List,Women
3,"Goldsmith , Janell",SO-2,Neumann,28.85,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.5,200 Meters,Atlantic East Outdoor Performance List,Women
4,"Kavleski, Alyssa",FR-1,Marywood,28.91,Misericordia Twilight 2023,"Apr 4, 2023",NWI,200 Meters,Atlantic East Outdoor Performance List,Women
5,"Alvarez, Kimberly",FR-1,Immaculata,29.10,Ursinus College Outdoor Invitational,"Mar 25, 2023",+0.0,200 Meters,Atlantic East Outdoor Performance List,Women
6,"Mills, Caitlin",JR-3,Marywood,29.49,Misericordia Twilight 2023,"Apr 4, 2023",-0.1,200 Meters,Atlantic East Outdoor Performance List,Women
