Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Hines, Solo",SO-2,Whitworth,10.72,Pacific Open 23,"Apr 1, 2023",1.6,100 Meters,Northwest Conference Outdoor Performance List,Men
2,"Sanchez, Keola",JR-3,Pacific Lutheran,10.86,2023 PLU Open,"Mar 10, 2023",0.6,100 Meters,Northwest Conference Outdoor Performance List,Men
3,"Meade, Kellen",SO-2,Pacific Lutheran,10.95,2023 PLU Open,"Mar 10, 2023",0.6,100 Meters,Northwest Conference Outdoor Performance List,Men
4,"Lahusky, Jordan",FR-1,Lewis & Clark,10.97,John Knight Invitational,"Apr 7, 2023",-0.8,100 Meters,Northwest Conference Outdoor Performance List,Men
5,"Jackson, Dylan",SO-2,Linfield,11.03,Pacific Open 23,"Apr 1, 2023",1.6,100 Meters,Northwest Conference Outdoor Performance List,Men
6,"Dahl, Lucas",FR-1,Pacific (Ore.),11.12,LCC Open Track and Field Meet,"Mar 11, 2023",-0.5,100 Meters,Northwest Conference Outdoor Performance List,Men
7,"Olson, Daniel",SO-2,Linfield,11.14,2023 Willamette T&F Invitational,"Mar 25, 2023",2.5,100 Meters,Northwest Conference Outdoor Performance List,Men
8,"Baker, Davis",FR-1,George Fox,11.16,L&C Larry Byerly Invite,"Apr 14, 2023",0.2,100 Meters,Northwest Conference Outdoor Performance List,Men
9,"Phillips, Tayler",SR-4,George Fox,11.18,2023 NWC Multi Events Championship,"Apr 10, 2023",0.4,100 Meters,Northwest Conference Outdoor Performance List,Men
9,"Moreland, Romel",SO-2,Pacific (Ore.),11.18,L&C Spring Break Open,"Mar 17, 2023",0.1,100 Meters,Northwest Conference Outdoor Performance List,Men
11,"Howmiller, Jacob",FR-1,Puget Sound,11.21,Peyton-Shotwell Invitational 2023,"Mar 24, 2023",1.6,100 Meters,Northwest Conference Outdoor Performance List,Men
12,"Ojukwu, John",SR-4,George Fox,11.23,GFU Rich Allen Classic,"Mar 18, 2023",1.7,100 Meters,Northwest Conference Outdoor Performance List,Men
12,"Morris, Byron",SR-4,George Fox,11.23,L&C Larry Byerly Invite,"Apr 14, 2023",-0.1,100 Meters,Northwest Conference Outdoor Performance List,Men
14,"Pratt, Dylan",FR-1,Whitworth,11.27,17th Sam Adams Classic,"Mar 18, 2023",0.4,100 Meters,Northwest Conference Outdoor Performance List,Men
14,"Fritz, Jonathan",FR-1,Lewis & Clark,11.27,Pacific Multi Meet,"Mar 30, 2023",-0.8,100 Meters,Northwest Conference Outdoor Performance List,Men
16,"Morris, Chandler",SR-4,Linfield,11.29,L&C Larry Byerly Invite,"Apr 14, 2023",-0.4,100 Meters,Northwest Conference Outdoor Performance List,Men
17,"Bantolina, Brody",FR-1,Pacific (Ore.),11.30,L&C Larry Byerly Invite,"Apr 14, 2023",0.3,100 Meters,Northwest Conference Outdoor Performance List,Men
17,"Wisenbaker, Garet",SR-4,George Fox,11.30,L&C Larry Byerly Invite,"Apr 14, 2023",-0.1,100 Meters,Northwest Conference Outdoor Performance List,Men
17,"Seymour, Cameron",JR-3,George Fox,11.30,GFU Rich Allen Classic,"Mar 18, 2023",0.7,100 Meters,Northwest Conference Outdoor Performance List,Men
20,"Vargas, Tyler",SR-4,Pacific (Ore.),11.31,L&C Spring Break Open,"Mar 17, 2023",0.1,100 Meters,Northwest Conference Outdoor Performance List,Men
21,"Anderson, Oliver",JR-3,Willamette,11.33,Pacific Open 23,"Apr 1, 2023",1.0,100 Meters,Northwest Conference Outdoor Performance List,Men
21,"Lemma, Grady",SO-2,Pacific Lutheran,11.33,2023 NWC Multi Events Championship,"Apr 10, 2023",0.9,100 Meters,Northwest Conference Outdoor Performance List,Men
23,"Booker, Zion",SO-2,Pacific (Ore.),11.36,L&C Larry Byerly Invite,"Apr 14, 2023",-0.4,100 Meters,Northwest Conference Outdoor Performance List,Men
24,"Fisette, Evan",FR-1,Linfield,11.37,GFU Rich Allen Classic,"Mar 18, 2023",1.3,100 Meters,Northwest Conference Outdoor Performance List,Men
25,"Stokes, Dante",SO-2,Whitworth,11.39,2023 Whitworth Peace Meet,"Apr 7, 2023",0.5,100 Meters,Northwest Conference Outdoor Performance List,Men
25,"Penaloza, Lucio",FR-1,Pacific Lutheran,11.39,Doris Heritage Track Festival,"Mar 18, 2023",0.4,100 Meters,Northwest Conference Outdoor Performance List,Men
27,"Krutzikowsky, Ronan",SR-4,Linfield,11.42,2023 NWC Multi Events Championship,"Apr 10, 2023",0.9,100 Meters,Northwest Conference Outdoor Performance List,Men
