Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Anderson, CJ",SO-2,Greenville,10.47,Wash U 5 Way,"Mar 25, 2023",3.0,100 Meters,SLIAC Outdoor Performance List,Men
2,"Rantanen, Carson",JR-3,Greenville,10.49,Greenville College Select Meet,"Apr 15, 2023",2.9,100 Meters,SLIAC Outdoor Performance List,Men
3,"LaTouche, Chase",SO-2,Greenville,10.62,Wash U Invite,"Mar 31, 2023",4.3,100 Meters,SLIAC Outdoor Performance List,Men
4,"Perez, Elijah",SR-4,Webster,10.64,2023 CMU Invite,"Mar 31, 2023",6.6,100 Meters,SLIAC Outdoor Performance List,Men
5,"Hamilton, Tyshawn",SO-2,Greenville,10.79,Illinois College True Blue Invite,"Apr 7, 2023",1.6,100 Meters,SLIAC Outdoor Performance List,Men
6,"Harris, Kourtland",FR-1,Greenville,10.92,Wash U 5 Way,"Mar 25, 2023",3.0,100 Meters,SLIAC Outdoor Performance List,Men
7,"Trevino, Claudio",SO-2,Greenville,11.06,Greenville College Select Meet,"Apr 15, 2023",2.5,100 Meters,SLIAC Outdoor Performance List,Men
8,"Teal, Elijah",JR-3,Westminster (Mo.),11.07,Greenville College Select Meet,"Apr 15, 2023",2.5,100 Meters,SLIAC Outdoor Performance List,Men
9,"Garrett, Marcus",FR-1,Greenville,11.08,Greenville College Select Meet,"Apr 15, 2023",3.0,100 Meters,SLIAC Outdoor Performance List,Men
10,"Merrit, Austin",FR-1,Webster,11.16,Cougar Classic,"Apr 15, 2023",2.0,100 Meters,SLIAC Outdoor Performance List,Men
11,"Aubuchon, Steven",SO-2,Webster,11.28,2023 CMU Invite,"Mar 31, 2023",2.0,100 Meters,SLIAC Outdoor Performance List,Men
12,"Garrett, Paul",SO-2,Greenville,11.47,Greenville College Select Meet,"Apr 15, 2023",2.5,100 Meters,SLIAC Outdoor Performance List,Men
12,"Feess, Dominic",JR-3,Greenville,11.47,Wash U Invite,"Mar 31, 2023",4.3,100 Meters,SLIAC Outdoor Performance List,Men
14,"Grant, Malik",SO-2,Greenville,11.53,Wash U 5 Way,"Mar 25, 2023",1.7,100 Meters,SLIAC Outdoor Performance List,Men
15,"Webb, Andre",JR-3,Fontbonne,11.57,Greenville College Select Meet,"Apr 15, 2023",2.4,100 Meters,SLIAC Outdoor Performance List,Men
16,"Exume, Walentz",SO-2,Greenville,11.62,Wash U 5 Way,"Mar 25, 2023",1.4,100 Meters,SLIAC Outdoor Performance List,Men
