Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Montville, Brexton",JR-3,Plattsburgh St.,10.70,Saints Ice Broken Open,"Apr 1, 2023",3.7,100 Meters,SUNYAC Outdoor Performance List,Men
2,"Jensen, Lance",SO-2,SUNY Geneseo,10.85,RIT Invitational,"Apr 8, 2023",1.2,100 Meters,SUNYAC Outdoor Performance List,Men
3,"Ottenwalder, Aaron",FR-1,Brockport St.,10.94,Geneseo Early Season Invitational,"Apr 2, 2023",1.3,100 Meters,SUNYAC Outdoor Performance List,Men
4,"Jones, Aaron",SR-4,Cortland St.,10.95,Cortland Red Dragon Open,"Apr 8, 2023",0.4,100 Meters,SUNYAC Outdoor Performance List,Men
4,"McGrath, Tyler",FR-1,Buffalo State,10.95,Vertklasse,"Mar 31, 2023",3.7,100 Meters,SUNYAC Outdoor Performance List,Men
6,"Sands, Cameron",FR-1,Oneonta,11.02,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,SUNYAC Outdoor Performance List,Men
6,"Abdo, Nick",SR-4,Fredonia,11.02,Bison Outdoor Classic,"Apr 14, 2023",-0.1,100 Meters,SUNYAC Outdoor Performance List,Men
8,"Williams, Jordan",FR-1,Plattsburgh St.,11.06,Saints Ice Broken Open,"Apr 1, 2023",3.7,100 Meters,SUNYAC Outdoor Performance List,Men
9,"Morse, Brett",SR-4,Cortland St.,11.08,Cortland Red Dragon Open,"Apr 8, 2023",0.4,100 Meters,SUNYAC Outdoor Performance List,Men
10,"Winn, Jacob",FR-1,Fredonia,11.09,Bison Outdoor Classic,"Apr 14, 2023",0.7,100 Meters,SUNYAC Outdoor Performance List,Men
11,"Nix, Howard",FR-1,Brockport St.,11.14,Geneseo Early Season Invitational,"Apr 2, 2023",1.3,100 Meters,SUNYAC Outdoor Performance List,Men
12,"Goring, Coltrane",SR-4,Cortland St.,11.17,2023 Danny Curran Invitational,"Mar 30, 2023",-0.5,100 Meters,SUNYAC Outdoor Performance List,Men
12,"Polk, Jarrod",SO-2,Buffalo State,11.17,Bison Outdoor Classic,"Apr 14, 2023",1.2,100 Meters,SUNYAC Outdoor Performance List,Men
14,"Schaffert, Matthew",FR-1,Cortland St.,11.20,Bison Outdoor Classic,"Apr 14, 2023",1.2,100 Meters,SUNYAC Outdoor Performance List,Men
15,"Jacobs, Bryan",SO-2,SUNY Geneseo,11.22,Brockport Multi & Invitational,"Apr 14, 2023",0.5,100 Meters,SUNYAC Outdoor Performance List,Men
15,"Manente, Eddie",FR-1,Cortland St.,11.22,Bison Outdoor Classic,"Apr 14, 2023",0.7,100 Meters,SUNYAC Outdoor Performance List,Men
17,"Higgins, Zaire",FR-1,Cortland St.,11.26,Cortland Upstate Alternative,"Apr 15, 2023",2.4,100 Meters,SUNYAC Outdoor Performance List,Men
18,"Frost, Evan",FR-1,SUNY Geneseo,11.27,Geneseo Early Season Invitational,"Apr 2, 2023",1.7,100 Meters,SUNYAC Outdoor Performance List,Men
18,"Gavalas, Harrison",FR-1,Cortland St.,11.27,2023 Danny Curran Invitational,"Mar 30, 2023",0.2,100 Meters,SUNYAC Outdoor Performance List,Men
