Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Hobbs, Jailen",JR-3,Rose-Hulman,10.45,Pacesetter Sports Invitational,"Apr 1, 2023",3.7,100 Meters,HCAC Outdoor Performance List,Men
2,"Till, Corbin",FR-1,Manchester,11.16,2023 Millikin Alumni Invite,"Apr 1, 2023",3.1,100 Meters,HCAC Outdoor Performance List,Men
2,"Lloyd, Anthony",FR-1,Hanover,11.16,Indiana DIII Track and Field Meet,"Apr 15, 2023",2.5,100 Meters,HCAC Outdoor Performance List,Men
4,"Melvin, Gabriel",SR-4,Manchester,11.17,Manchester University Invitational,"Apr 8, 2023",0.6,100 Meters,HCAC Outdoor Performance List,Men
5,"Moore, Andre",FR-1,Anderson (Ind.),11.18,Indiana DIII Track and Field Meet,"Apr 15, 2023",2.5,100 Meters,HCAC Outdoor Performance List,Men
5,"Janvier, Ja' Qway",SR-4,Defiance,11.18,Indiana Tech Good Friday meet,"Apr 7, 2023",2.7,100 Meters,HCAC Outdoor Performance List,Men
7,"Youndt, Timothy",SR-4,Rose-Hulman,11.19,Wabash College Huntsman Family Invite 2023,"Apr 8, 2023",1.9,100 Meters,HCAC Outdoor Performance List,Men
7,"Cox, Jack",SO-2,Rose-Hulman,11.19,Indiana DIII Track and Field Meet,"Apr 15, 2023",0.9,100 Meters,HCAC Outdoor Performance List,Men
9,"Miller, Tyce",SR-4,Rose-Hulman,11.21,Indiana DIII Track and Field Meet,"Apr 15, 2023",2.5,100 Meters,HCAC Outdoor Performance List,Men
10,"Moss Jr, Duriel",SO-2,Manchester,11.22,2023 Millikin Alumni Invite,"Apr 1, 2023",3.1,100 Meters,HCAC Outdoor Performance List,Men
11,"Perkins, Erik",SO-2,Hanover,11.23,Indiana DIII Track and Field Meet,"Apr 15, 2023",0.9,100 Meters,HCAC Outdoor Performance List,Men
12,"Gist, Desmond",JR-3,Bluffton,11.24,Manchester University Invitational,"Apr 8, 2023",-0.8,100 Meters,HCAC Outdoor Performance List,Men
13,"Adair, Layden",FR-1,Hanover,11.33,Wabash College Huntsman Family Invite 2023,"Apr 8, 2023",1.5,100 Meters,HCAC Outdoor Performance List,Men
