Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Traore, Cheickna",SR-4,Ramapo,10.46,Hurricane Invitational,"Mar 17, 2023",2.1,100 Meters,NJAC Outdoor Performance List,Men
2,"Beasley, Jah'mere",SO-2,Rowan,10.72,Oscar Moore Invitational 2023,"Apr 8, 2023",0.4,100 Meters,NJAC Outdoor Performance List,Men
3,"Corcoran, Evan",FR-1,Rowan,10.79,Oscar Moore Invitational 2023,"Apr 8, 2023",0.9,100 Meters,NJAC Outdoor Performance List,Men
4,"Schmitt, Raymond",JR-3,TCNJ,10.80,2023 95th Clyde Littlefield Texas Relays,"Mar 29, 2023",3.2,100 Meters,NJAC Outdoor Performance List,Men
5,"Love, Shamar",SO-2,Rowan,10.96,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3,100 Meters,NJAC Outdoor Performance List,Men
5,"Gomez, Justin",JR-3,TCNJ,10.96,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2,100 Meters,NJAC Outdoor Performance List,Men
5,"Latham, Carson",SO-2,Stockton,10.96,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,NJAC Outdoor Performance List,Men
8,"Etienne, Dave",SR-4,New Jersey City,10.98,2023 TCNJ Invitational,"Apr 8, 2023",0.4,100 Meters,NJAC Outdoor Performance List,Men
9,"Byrd, Masai",FR-1,Rowan,10.99,Oscar Moore Invitational 2023,"Apr 8, 2023",0.4,100 Meters,NJAC Outdoor Performance List,Men
10,"Lodge, Andrew",SR-4,TCNJ,11.07,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2,100 Meters,NJAC Outdoor Performance List,Men
11,"Engler, Jason",SR-4,TCNJ,11.10,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,NJAC Outdoor Performance List,Men
12,"McKinney, Robert",SO-2,Rowan,11.13,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3,100 Meters,NJAC Outdoor Performance List,Men
13,"Gentile, Anthony",FR-1,Stockton,11.25,Stockton Invite,"Mar 25, 2023",2.1,100 Meters,NJAC Outdoor Performance List,Men
14,"Fenderson, Kenyon",SR-4,Ramapo,11.28,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0,100 Meters,NJAC Outdoor Performance List,Men
15,"Garcia, Jason",JR-3,New Jersey City,11.30,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.7,100 Meters,NJAC Outdoor Performance List,Men
16,"Balcacer, Brandon",SO-2,Montclair State,11.31,2023 Danny Curran Invitational,"Mar 30, 2023",-0.6,100 Meters,NJAC Outdoor Performance List,Men
16,"Amilcar, Rendys",JR-3,Rutgers-Newark,11.31,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.2,100 Meters,NJAC Outdoor Performance List,Men
18,"Wright, Connor",FR-1,Stockton,11.32,Ramapo College Track & Field Invitational,"Mar 31, 2023",-0.7,100 Meters,NJAC Outdoor Performance List,Men
19,"Fisher, Ryan",JR-3,Stockton,11.33,WCU Bill Butler Invitational,"Apr 15, 2023",-0.6,100 Meters,NJAC Outdoor Performance List,Men
20,"Cruz, Juan",FR-1,New Jersey City,11.39,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.1,100 Meters,NJAC Outdoor Performance List,Men
21,"Pereira, Kevin",SO-2,Montclair State,11.48,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,NJAC Outdoor Performance List,Men
21,"Folarin, Timothy",JR-3,Farmingdale St.,11.48,The Big Hurt,"Apr 1, 2023",1.3,100 Meters,NJAC Outdoor Performance List,Men
23,"Turner, Dontay",SO-2,Stockton,11.49,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,NJAC Outdoor Performance List,Men
24,"Jackson, Tyneil",SR-4,New Jersey City,11.50,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.7,100 Meters,NJAC Outdoor Performance List,Men
25,"Philippe, Jovany",SO-2,Farmingdale St.,11.58,The Big Hurt,"Apr 1, 2023",1.3,100 Meters,NJAC Outdoor Performance List,Men
1,"Dwah, Gbarper",SO-2,Ramapo,12.03,Ramapo College Track & Field Invitational,"Mar 31, 2023",0.1,100 Meters,NJAC Outdoor Performance List,Women
2,"Riggins, Valandra",SR-4,TCNJ,12.24,2023 TCNJ Invitational,"Apr 8, 2023",2.0,100 Meters,NJAC Outdoor Performance List,Women
3,"Gray, Leah",JR-3,PSU-Harrisburg,12.28,40th Millersville Metrics,"Mar 31, 2023",3.4,100 Meters,NJAC Outdoor Performance List,Women
4,"Morrison, Ashanae",SO-2,Stockton,12.55,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,NJAC Outdoor Performance List,Women
5,"MacLure, Ashlyn",SR-4,TCNJ,12.65,2023 95th Clyde Littlefield Texas Relays,"Mar 29, 2023",3.1,100 Meters,NJAC Outdoor Performance List,Women
6,"Yaskovic, Meredith",SO-2,Ramapo,12.70,Mets Outdoor Track & Field Championships,"Apr 8, 2023",-0.8,100 Meters,NJAC Outdoor Performance List,Women
7,"Buquicchio, Erin",SR-4,TCNJ,12.72,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.4,100 Meters,NJAC Outdoor Performance List,Women
8,"Fadahunsi, Promise",SR-4,Rowan,12.73,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,100 Meters,NJAC Outdoor Performance List,Women
9,"McNeil, Alexxis",JR-3,Farmingdale St.,12.88,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,NJAC Outdoor Performance List,Women
10,"Itoua, Michelle",FR-1,Montclair State,12.89,WCU Bill Butler Invitational,"Apr 15, 2023",-0.2,100 Meters,NJAC Outdoor Performance List,Women
11,"Igwe, Chidimma",JR-3,Rutgers-Newark,12.91,Stockton Invite,"Mar 25, 2023",0.7,100 Meters,NJAC Outdoor Performance List,Women
12,"Broadway, Jasmine",SO-2,Rowan,12.93,Oscar Moore Invitational 2023,"Apr 8, 2023",-1.2,100 Meters,NJAC Outdoor Performance List,Women
13,"Gomez-Matos, Karla",SR-4,TCNJ,12.95,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.8,100 Meters,NJAC Outdoor Performance List,Women
14,"Picklo, Erin",FR-1,TCNJ,13.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.4,100 Meters,NJAC Outdoor Performance List,Women
15,"Lorjuste, Nevaeh",SO-2,Rowan,13.04,Oscar Moore Invitational 2023,"Apr 8, 2023",-1.2,100 Meters,NJAC Outdoor Performance List,Women
16,"Justice, Jalynn",SO-2,Rowan,13.10,Washington & Lee Carnival,"Mar 17, 2023",0.2,100 Meters,NJAC Outdoor Performance List,Women
17,"Young, Lamya",JR-3,New Jersey City,13.11,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.5,100 Meters,NJAC Outdoor Performance List,Women
18,"Moore, Paris",FR-1,Rowan,13.12,Washington & Lee Carnival,"Mar 17, 2023",0.2,100 Meters,NJAC Outdoor Performance List,Women
19,"Byrd, Brya",SO-2,Rutgers-Newark,13.16,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.4,100 Meters,NJAC Outdoor Performance List,Women
20,"Gresham, Sophia",SR-4,Rowan,13.17,Oscar Moore Invitational 2023,"Apr 8, 2023",1.7,100 Meters,NJAC Outdoor Performance List,Women
21,"Eloy, Samantha",JR-3,Rowan,13.20,Oscar Moore Invitational 2023,"Apr 8, 2023",1.7,100 Meters,NJAC Outdoor Performance List,Women
22,"Brodie, Sanaa",FR-1,Rutgers-Newark,13.25,Middlesex College Invitational,"Apr 15, 2023",-0.2,100 Meters,NJAC Outdoor Performance List,Women
23,"Apple, Kaylee",SR-4,Stockton,13.32,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,NJAC Outdoor Performance List,Women
24,"Germain, Layla",SO-2,PSU-Harrisburg,13.37,40th Millersville Metrics,"Mar 31, 2023",2.6,100 Meters,NJAC Outdoor Performance List,Women
25,"Whetstone, Sidney",SO-2,Montclair State,13.51,2023 Danny Curran Invitational,"Mar 30, 2023",-0.2,100 Meters,NJAC Outdoor Performance List,Women
1,"Traore, Cheickna",SR-4,Ramapo,20.49,Hurricane Invitational,"Mar 17, 2023",1.8,200 Meters,NJAC Outdoor Performance List,Men
2,"Beasley, Jah'mere",SO-2,Rowan,21.39,2023 Danny Curran Invitational,"Mar 30, 2023",-0.8,200 Meters,NJAC Outdoor Performance List,Men
3,"Etienne, Dave",SR-4,New Jersey City,21.47,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.3,200 Meters,NJAC Outdoor Performance List,Men
4,"Conte, Amara",SO-2,Rowan,21.84,Oscar Moore Invitational 2023,"Apr 8, 2023",+0.0,200 Meters,NJAC Outdoor Performance List,Men
5,"Corcoran, Evan",FR-1,Rowan,21.96,2023 Danny Curran Invitational,"Mar 30, 2023",-0.8,200 Meters,NJAC Outdoor Performance List,Men
6,"Agyemang, Nana",SO-2,Rowan,21.99,Oscar Moore Invitational 2023,"Apr 8, 2023",+0.0,200 Meters,NJAC Outdoor Performance List,Men
7,"Lodge, Andrew",SR-4,TCNJ,22.03,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",4.5,200 Meters,NJAC Outdoor Performance List,Men
8,"Latham, Carson",SO-2,Stockton,22.08,Osprey Open and Multi,"Apr 7, 2023",2.6,200 Meters,NJAC Outdoor Performance List,Men
9,"Agyemang, Jason",FR-1,Rowan,22.22,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,NJAC Outdoor Performance List,Men
10,"Love, Shamar",SO-2,Rowan,22.25,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,NJAC Outdoor Performance List,Men
10,"McKinney, Robert",SO-2,Rowan,22.25,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,NJAC Outdoor Performance List,Men
12,"Young, Marquise",JR-3,Rowan,22.31,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,NJAC Outdoor Performance List,Men
13,"Gomez, Justin",JR-3,TCNJ,22.32,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.3,200 Meters,NJAC Outdoor Performance List,Men
14,"Fisher, Ryan",JR-3,Stockton,22.46,Stockton Invite,"Mar 25, 2023",2.1,200 Meters,NJAC Outdoor Performance List,Men
15,"Schmitt, Raymond",JR-3,TCNJ,22.50,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.3,200 Meters,NJAC Outdoor Performance List,Men
16,"Byrd, Masai",FR-1,Rowan,22.51,2023 Danny Curran Invitational,"Mar 30, 2023",-1.0,200 Meters,NJAC Outdoor Performance List,Men
17,"Gentile, Anthony",FR-1,Stockton,22.64,Stockton Invite,"Mar 25, 2023",2.1,200 Meters,NJAC Outdoor Performance List,Men
17,"Milevoix, Samael",SO-2,Montclair State,22.64,2023 Danny Curran Invitational,"Mar 30, 2023",+0.0,200 Meters,NJAC Outdoor Performance List,Men
19,"Nkrumah, Kwaku",FR-1,Rowan,22.70,2023 Danny Curran Invitational,"Mar 30, 2023",-1.0,200 Meters,NJAC Outdoor Performance List,Men
20,"Fenderson, Kenyon",SR-4,Ramapo,22.80,Ramapo College Track & Field Invitational,"Mar 31, 2023",0.1,200 Meters,NJAC Outdoor Performance List,Men
21,"Lockett, Terrell",SO-2,Ramapo,22.82,Stockton Invite,"Mar 25, 2023",2.1,200 Meters,NJAC Outdoor Performance List,Men
22,"Lordi, Greg",SO-2,Stockton,23.14,Stockton Invite,"Mar 25, 2023",2.1,200 Meters,NJAC Outdoor Performance List,Men
23,"Folarin, Timothy",JR-3,Farmingdale St.,23.15,The Big Hurt,"Apr 1, 2023",1.7,200 Meters,NJAC Outdoor Performance List,Men
24,"Lawrence, Michael",FR-1,Rowan,23.21,Washington & Lee Carnival,"Mar 17, 2023",-1.7,200 Meters,NJAC Outdoor Performance List,Men
24,"Cruz, Juan",FR-1,New Jersey City,23.21,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.6,200 Meters,NJAC Outdoor Performance List,Men
1,"Broadway, Jasmine",SO-2,Rowan,24.85,2023 Danny Curran Invitational,"Mar 30, 2023",-1.1,200 Meters,NJAC Outdoor Performance List,Women
2,"Dwah, Gbarper",SO-2,Ramapo,25.16,Mets Outdoor Track & Field Championships,"Apr 8, 2023",-1.6,200 Meters,NJAC Outdoor Performance List,Women
3,"Bruncaj, Eliza",SO-2,TCNJ,25.33,2023 Messiah Multi/Invitational,"Apr 13, 2023",0.6,200 Meters,NJAC Outdoor Performance List,Women
4,"Igwe, Chidimma",JR-3,Rutgers-Newark,25.90,2023 TCNJ Invitational,"Apr 8, 2023",0.6,200 Meters,NJAC Outdoor Performance List,Women
5,"Lorjuste, Nevaeh",SO-2,Rowan,25.99,2023 Danny Curran Invitational,"Mar 30, 2023",-1.1,200 Meters,NJAC Outdoor Performance List,Women
6,"MacLure, Ashlyn",SR-4,TCNJ,26.03,2023 TCNJ Invitational,"Apr 8, 2023",-0.8,200 Meters,NJAC Outdoor Performance List,Women
7,"Gray, Leah",JR-3,PSU-Harrisburg,26.10,2023 Messiah Multi/Invitational,"Apr 13, 2023",2.2,200 Meters,NJAC Outdoor Performance List,Women
8,"Yaskovic, Meredith",SO-2,Ramapo,26.18,Mets Outdoor Track & Field Championships,"Apr 8, 2023",-0.1,200 Meters,NJAC Outdoor Performance List,Women
9,"Riggins, Valandra",SR-4,TCNJ,26.25,2023 TCNJ Invitational,"Apr 8, 2023",-0.8,200 Meters,NJAC Outdoor Performance List,Women
10,"Buquicchio, Erin",SR-4,TCNJ,26.33,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.2,200 Meters,NJAC Outdoor Performance List,Women
11,"McNeil, Alexxis",JR-3,Farmingdale St.,26.38,The Big Hurt,"Apr 1, 2023",1.0,200 Meters,NJAC Outdoor Performance List,Women
12,"Moore, Paris",FR-1,Rowan,26.50,Washington & Lee Carnival,"Mar 17, 2023",2.9,200 Meters,NJAC Outdoor Performance List,Women
13,"Pedersen, Kathleen",SR-4,Rowan,26.53,Oscar Moore Invitational 2023,"Apr 8, 2023",-1.2,200 Meters,NJAC Outdoor Performance List,Women
14,"Kneppel, Rebecca",SO-2,Ramapo,26.62,Stockton Invite,"Mar 25, 2023",1.5,200 Meters,NJAC Outdoor Performance List,Women
15,"Picklo, Erin",FR-1,TCNJ,26.68,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",3.1,200 Meters,NJAC Outdoor Performance List,Women
16,"Sosa Caceres, Amanthy",SR-4,Rowan,26.72,Oscar Moore Invitational 2023,"Apr 8, 2023",-1.2,200 Meters,NJAC Outdoor Performance List,Women
16,"Fadahunsi, Promise",SR-4,Rowan,26.72,2023 Danny Curran Invitational,"Mar 30, 2023",-0.6,200 Meters,NJAC Outdoor Performance List,Women
18,"Itoua, Michelle",FR-1,Montclair State,26.93,Osprey Open and Multi,"Apr 7, 2023",1.0,200 Meters,NJAC Outdoor Performance List,Women
19,"Exilus, Barbara",SO-2,Ramapo,27.11,Mets Outdoor Track & Field Championships,"Apr 8, 2023",1.4,200 Meters,NJAC Outdoor Performance List,Women
20,"Justice, Jalynn",SO-2,Rowan,27.16,Washington & Lee Carnival,"Mar 17, 2023",1.0,200 Meters,NJAC Outdoor Performance List,Women
20,"Young, Ayriana",FR-1,New Jersey City,27.16,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.3,200 Meters,NJAC Outdoor Performance List,Women
22,"Morrison, Ashanae",SO-2,Stockton,27.56,Ramapo College Track & Field Invitational,"Mar 31, 2023",-1.8,200 Meters,NJAC Outdoor Performance List,Women
23,"Washington, Khristina",JR-3,Stockton,27.57,Ramapo College Track & Field Invitational,"Mar 31, 2023",-0.4,200 Meters,NJAC Outdoor Performance List,Women
