Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Campbell, Christian",JR-3,Claremont-Mudd-Scripps,10.50,"SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",1.0,100 Meters,SCIAC Outdoor Performance List,Men
2,"Raymond-Hill, Markelle",SO-2,Redlands,10.67,"SCIAC Multi-Dual #2 (UR, WC, ULV, CLU)","Apr 1, 2023",1.5,100 Meters,SCIAC Outdoor Performance List,Men
3,"Thomas, Tyler",FR-1,La Verne,10.69,Whittier Twilight,"Apr 7, 2023",2.0,100 Meters,SCIAC Outdoor Performance List,Men
4,"Megas, Cristian",SR-4,Redlands,10.76,"SCIAC Multi-Dual #2 (UR, WC, ULV, CLU)","Apr 1, 2023",1.5,100 Meters,SCIAC Outdoor Performance List,Men
4,"Taylor, Chris",SO-2,Pomona-Pitzer,10.76,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,SCIAC Outdoor Performance List,Men
6,"Fara, Mason",FR-1,Chapman,10.83,Team 4 Titus and Ely Invitational,"Mar 25, 2023",2.3,100 Meters,SCIAC Outdoor Performance List,Men
7,"Williams, Quincey",JR-3,Claremont-Mudd-Scripps,10.85,"SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",1.0,100 Meters,SCIAC Outdoor Performance List,Men
8,"Burton, Nick",FR-1,Chapman,10.90,Team 4 Titus and Ely Invitational,"Mar 25, 2023",2.7,100 Meters,SCIAC Outdoor Performance List,Men
9,"Malerstein, Cooper",SR-4,Redlands,10.93,"SCIAC Multi-Dual #2 (UR, WC, ULV, CLU)","Apr 1, 2023",1.5,100 Meters,SCIAC Outdoor Performance List,Men
10,"Cockburn, Jamie",SR-4,Claremont-Mudd-Scripps,10.95,2023 Triton Invite (College/University),"Apr 7, 2023",0.2,100 Meters,SCIAC Outdoor Performance List,Men
10,"Teresi , Nicholas",SO-2,Claremont-Mudd-Scripps,10.95,"SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",1.0,100 Meters,SCIAC Outdoor Performance List,Men
12,"Carter, Dante",JR-3,La Verne,10.98,"SCIAC Multi-Dual #2 (UR, WC, ULV, CLU)","Apr 1, 2023",1.5,100 Meters,SCIAC Outdoor Performance List,Men
13,"Gomez, Mateo",SO-2,Whittier,11.03,SCIAC Multi Dual #3 CMS/CIT/ULV/WCU,"Apr 15, 2023",+0.0,100 Meters,SCIAC Outdoor Performance List,Men
13,"Cole, Ayodele",SR-4,Pomona-Pitzer,11.03,PLNU Invitational,"Mar 25, 2023",3.5,100 Meters,SCIAC Outdoor Performance List,Men
15,"Haliburton, Christopher",SO-2,Occidental,11.08,"SCIAC Multi Dual 3 - UR, CLU, OXY, PP,CU","Apr 15, 2023",-0.1,100 Meters,SCIAC Outdoor Performance List,Men
16,"Bond, Hunter",FR-1,La Verne,11.12,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,SCIAC Outdoor Performance List,Men
17,"Spencer, Jack",SO-2,Occidental,11.13,"SCIAC Multi Dual 3 - UR, CLU, OXY, PP,CU","Apr 15, 2023",1.5,100 Meters,SCIAC Outdoor Performance List,Men
18,"Lam, Kirby",SR-4,Pomona-Pitzer,11.14,2023 SCIAC 5-Way (PP-OXY-CHAP-ULV-WH),"Mar 4, 2023",0.5,100 Meters,SCIAC Outdoor Performance List,Men
19,"Lopez, Gustavo",SO-2,Whittier,11.17,SCIAC Multi Dual #3 CMS/CIT/ULV/WCU,"Apr 15, 2023",+0.0,100 Meters,SCIAC Outdoor Performance List,Men
20,"Meunier, Gabriel",FR-1,Redlands,11.18,"SCIAC Multi Dual 3 - UR, CLU, OXY, PP,CU","Apr 15, 2023",1.5,100 Meters,SCIAC Outdoor Performance List,Men
21,"Estrada, Ivan",SO-2,La Verne,11.22,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,SCIAC Outdoor Performance List,Men
22,"Brown, Harrison",FR-1,Pomona-Pitzer,11.25,PLNU Invitational,"Mar 25, 2023",2.8,100 Meters,SCIAC Outdoor Performance List,Men
22,"Rizzo, Ryan",FR-1,Whittier,11.25,"SCIAC Multi-Dual #2 (UR, WC, ULV, CLU)","Apr 1, 2023",1.5,100 Meters,SCIAC Outdoor Performance List,Men
24,"Roberts, Keoni",SO-2,Whittier,11.26,Whittier Twilight,"Apr 7, 2023",1.2,100 Meters,SCIAC Outdoor Performance List,Men
25,"Huset, Jacob",SO-2,Redlands,11.29,Jim Click Shootout 2023 Multi,"Apr 6, 2023",1.8,100 Meters,SCIAC Outdoor Performance List,Men
1,"Crawford, Jasmyn",SR-4,Whittier,11.85,Pacific Coast Invitational 2023,"Apr 13, 2023",2.4,100 Meters,SCIAC Outdoor Performance List,Women
2,"Harness, Sydney",JR-3,Redlands,12.07,"SCIAC Multi-Dual #2 (UR, WC, ULV, CLU)","Apr 1, 2023",1.1,100 Meters,SCIAC Outdoor Performance List,Women
3,"Leach, Rhe Nae",SO-2,Whittier,12.10,PLNU Invitational,"Mar 25, 2023",2.3,100 Meters,SCIAC Outdoor Performance List,Women
4,"Ackerman, Alexandra",SR-4,Redlands,12.23,"SCIAC Multi-Dual #2 (UR, WC, ULV, CLU)","Apr 1, 2023",1.1,100 Meters,SCIAC Outdoor Performance List,Women
5,"Lizarde, Makenna",FR-1,Chapman,12.39,"SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",1.8,100 Meters,SCIAC Outdoor Performance List,Women
6,"Smith, Kaylee",SO-2,Chapman,12.48,Team 4 Titus and Ely Invitational,"Mar 25, 2023",2.1,100 Meters,SCIAC Outdoor Performance List,Women
