Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Beard, Ryan",SR-4,Westminster (Pa.),10.75,Dave Labor Invitational,"Mar 31, 2023",5.5,100 Meters,Presidents AC Outdoor Performance List,Men
2,"Mathews, Isaiah",SR-4,Waynesburg,10.82,Tomcat Invitational,"Apr 15, 2023",0.6,100 Meters,Presidents AC Outdoor Performance List,Men
3,"Cestaro, Anthony",FR-1,Washington & Jefferson,11.12,Bison Outdoor Classic,"Apr 14, 2023",-0.1,100 Meters,Presidents AC Outdoor Performance List,Men
4,"Rohde, Joseph",SO-2,Franciscan (Ohio),11.14,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.5,100 Meters,Presidents AC Outdoor Performance List,Men
5,"Blessing, Josh",JR-3,Geneva,11.19,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",2.4,100 Meters,Presidents AC Outdoor Performance List,Men
6,"Armstrong, Elijah",FR-1,Bethany (W.V.),11.23,Bethany Invitational,"Mar 25, 2023",-0.8,100 Meters,Presidents AC Outdoor Performance List,Men
7,"Mitchell, Alexander",FR-1,Grove City,11.25,Tomcat Invitational,"Apr 15, 2023",0.3,100 Meters,Presidents AC Outdoor Performance List,Men
8,"Lewis, Dez",SO-2,Geneva,11.37,Tomcat Invitational,"Apr 15, 2023",0.6,100 Meters,Presidents AC Outdoor Performance List,Men
8,"Dunlap, Gabe",JR-3,Grove City,11.37,Bison Outdoor Classic,"Apr 14, 2023",1.4,100 Meters,Presidents AC Outdoor Performance List,Men
10,"McGlothin, Qujuan",JR-3,Bethany (W.V.),11.39,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",1.8,100 Meters,Presidents AC Outdoor Performance List,Men
11,"Williams, Tyriek",FR-1,Waynesburg,11.40,Tomcat Invitational,"Apr 15, 2023",0.3,100 Meters,Presidents AC Outdoor Performance List,Men
12,"Garvin, Jack",JR-3,Geneva,11.42,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",0.8,100 Meters,Presidents AC Outdoor Performance List,Men
13,"Trexler, Gabe",SO-2,Geneva,11.43,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",1.8,100 Meters,Presidents AC Outdoor Performance List,Men
13,"Fofang, Tsi",SO-2,Bethany (W.V.),11.43,Bethany Invitational,"Mar 25, 2023",-0.8,100 Meters,Presidents AC Outdoor Performance List,Men
15,"Cullinan, Stephen",SR-4,Allegheny,11.52,Bison Outdoor Classic,"Apr 14, 2023",-1.5,100 Meters,Presidents AC Outdoor Performance List,Men
15,"Haines, Josh",JR-3,Geneva,11.52,Bethany Invitational,"Mar 25, 2023",0.9,100 Meters,Presidents AC Outdoor Performance List,Men
15,"Andrews, Amari",SO-2,Geneva,11.52,Bethany Invitational,"Mar 25, 2023",0.9,100 Meters,Presidents AC Outdoor Performance List,Men
18,"Eagan, Tyler",SO-2,Grove City,11.53,Bethany Invitational,"Mar 25, 2023",1.7,100 Meters,Presidents AC Outdoor Performance List,Men
19,"McKeever, Deondre",SR-4,Westminster (Pa.),11.61,Dave Labor Invitational,"Mar 31, 2023",6.4,100 Meters,Presidents AC Outdoor Performance List,Men
19,"Wilson, Gregory",FR-1,Grove City,11.61,Dave Labor Invitational,"Mar 31, 2023",4.1,100 Meters,Presidents AC Outdoor Performance List,Men
21,"Maedke, John",FR-1,Franciscan (Ohio),11.64,Bethany Invitational,"Mar 25, 2023",1.7,100 Meters,Presidents AC Outdoor Performance List,Men
21,"Jones, Hunter",SR-4,Grove City,11.64,Bethany Invitational,"Mar 25, 2023",1.7,100 Meters,Presidents AC Outdoor Performance List,Men
23,"Kline, Karson",FR-1,Washington & Jefferson,11.67,Tomcat Invitational,"Apr 15, 2023",0.3,100 Meters,Presidents AC Outdoor Performance List,Men
24,"Clutter, Brent",JR-3,Chatham,11.75,Tomcat Invitational,"Apr 15, 2023",0.3,100 Meters,Presidents AC Outdoor Performance List,Men
25,"Santoro, Antonio",FR-1,Franciscan (Ohio),11.77,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.5,100 Meters,Presidents AC Outdoor Performance List,Men
1,"Rudolph, Emma",SR-4,Westminster (Pa.),12.39,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.9,100 Meters,Presidents AC Outdoor Performance List,Women
2,"Fatigati, Jessica",JR-3,Westminster (Pa.),12.48,Bethany Invitational,"Mar 25, 2023",2.6,100 Meters,Presidents AC Outdoor Performance List,Women
3,"Vezzosi, Emma",SR-4,Grove City,12.61,Dave Labor Invitational,"Mar 31, 2023",2.8,100 Meters,Presidents AC Outdoor Performance List,Women
4,"Toader, Mihaela",SR-4,Allegheny,12.74,Westminster Invitational 2023,"Apr 8, 2023",-0.8,100 Meters,Presidents AC Outdoor Performance List,Women
5,"Mangino, Melina",SR-4,Allegheny,12.97,Bison Outdoor Classic,"Apr 14, 2023",0.9,100 Meters,Presidents AC Outdoor Performance List,Women
6,"Conley, Madison",JR-3,Westminster (Pa.),13.04,Bethany Invitational,"Mar 25, 2023",-1.0,100 Meters,Presidents AC Outdoor Performance List,Women
7,"Rose, Michaela",JR-3,Waynesburg,13.07,Tomcat Invitational,"Apr 15, 2023",1.1,100 Meters,Presidents AC Outdoor Performance List,Women
8,"Stroup, Anna",SO-2,Washington & Jefferson,13.22,Bison Outdoor Classic,"Apr 14, 2023",-0.7,100 Meters,Presidents AC Outdoor Performance List,Women
9,"Davis, Breannda",JR-3,Westminster (Pa.),13.23,Bethany Invitational,"Mar 25, 2023",-1.0,100 Meters,Presidents AC Outdoor Performance List,Women
10,"Colteryahn, Carolyn",SO-2,Grove City,13.33,Tomcat Invitational,"Apr 15, 2023",0.4,100 Meters,Presidents AC Outdoor Performance List,Women
11,"Lagerquist, Britta",FR-1,Grove City,13.37,Dave Labor Invitational,"Mar 31, 2023",5.7,100 Meters,Presidents AC Outdoor Performance List,Women
12,"Gumby, Anna",FR-1,Westminster (Pa.),13.43,Alan Connie Shamrock Invitational,"Mar 16, 2023",1.9,100 Meters,Presidents AC Outdoor Performance List,Women
