Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Moore, Matt",SR-4,Washington U.,10.71,Wash U 5 Way,"Mar 25, 2023",3.0,100 Meters,UAA Outdoor Performance List,Men
2,"Price, Jackson",SO-2,Emory,10.81,Berry Field Day Invitational,"Apr 14, 2023",1.5,100 Meters,UAA Outdoor Performance List,Men
3,"Perez, Juan",SR-4,Case Western,10.85,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.2,100 Meters,UAA Outdoor Performance List,Men
4,"Callow, Brett",SO-2,Case Western,10.89,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.3,100 Meters,UAA Outdoor Performance List,Men
5,"Ryba, Sam",SO-2,Emory,10.92,Berry Field Day Invitational,"Apr 14, 2023",1.6,100 Meters,UAA Outdoor Performance List,Men
6,"Asare, Jason",SO-2,U. of Chicago,10.94,Wheaton Invitational 2023,"Apr 14, 2023",2.0,100 Meters,UAA Outdoor Performance List,Men
7,"Brandstadter, Henry",FR-1,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1,100 Meters,UAA Outdoor Performance List,Men
8,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2,100 Meters,UAA Outdoor Performance List,Men
8,"Page, Carson",FR-1,Washington U.,11.02,Wash U Invite,"Mar 31, 2023",4.3,100 Meters,UAA Outdoor Performance List,Men
10,"Pan, Samuel",FR-1,Washington U.,11.04,Greenville College Select Meet,"Apr 15, 2023",2.9,100 Meters,UAA Outdoor Performance List,Men
11,"Mills, Harry",SR-4,Washington U.,11.05,Wash U 5 Way,"Mar 25, 2023",3.0,100 Meters,UAA Outdoor Performance List,Men
12,"Agrinya, Jonathan",FR-1,Case Western,11.11,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.2,100 Meters,UAA Outdoor Performance List,Men
13,"Martin, Kamden",SR-4,NYU,11.19,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0,100 Meters,UAA Outdoor Performance List,Men
14,"Diaz, Aden",FR-1,Emory,11.20,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5,100 Meters,UAA Outdoor Performance List,Men
15,"Cartwright, Keith",SR-4,Case Western,11.21,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",0.9,100 Meters,UAA Outdoor Performance List,Men
16,"Bunch, Caleb",FR-1,Emory,11.23,Berry Field Day Invitational,"Apr 14, 2023",-0.6,100 Meters,UAA Outdoor Performance List,Men
