Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Gregory, Eric",JR-3,Gallaudet,10.58,Galludet Bison Classic,"Apr 8, 2023",1.2,100 Meters,CSAC Outdoor Performance List,Men
2,"Florczak, Nicholas",FR-1,Alfred State,11.06,Brockport Multi & Invitational,"Apr 14, 2023",0.5,100 Meters,CSAC Outdoor Performance List,Men
3,"Walter, Derek",JR-3,Alfred State,11.29,2023 Susquehanna Easter Invite,"Apr 8, 2023",3.0,100 Meters,CSAC Outdoor Performance List,Men
4,"Ashton, Gareth",SO-2,Gallaudet,11.31,Blue & Silver Challenge,"Mar 25, 2023",-1.6,100 Meters,CSAC Outdoor Performance List,Men
5,"Stello, Antonio",JR-3,PSU-Behrend,11.33,Behrend Track and Field Invite 2023,"Apr 16, 2023",0.4,100 Meters,CSAC Outdoor Performance List,Men
6,"Johnson, Trey",FR-1,Gallaudet,11.38,Galludet Bison Classic,"Apr 8, 2023",2.2,100 Meters,CSAC Outdoor Performance List,Men
7,"Hetrick, Samuel",SO-2,PSU-Behrend,11.39,2023 Mount Union John Homon Open,"Apr 6, 2023",2.8,100 Meters,CSAC Outdoor Performance List,Men
8,"Douglas, Walter",SO-2,Gallaudet,11.49,Galludet Bison Classic,"Apr 8, 2023",2.1,100 Meters,CSAC Outdoor Performance List,Men
9,"Bhambhwani, Anand",SO-2,PSU-Behrend,11.50,Behrend Track and Field Invite 2023,"Apr 16, 2023",+0.0,100 Meters,CSAC Outdoor Performance List,Men
10,"Brumfield, Esaias",JR-3,Alfred State,11.56,2023 Susquehanna Easter Invite,"Apr 8, 2023",0.4,100 Meters,CSAC Outdoor Performance List,Men
11,"Nock, Marshall",FR-1,PSU-Behrend,11.63,Behrend Track and Field Invite 2023,"Apr 16, 2023",0.4,100 Meters,CSAC Outdoor Performance List,Men
12,"Stevens, Jacob",SO-2,Gallaudet,11.69,Galludet Bison Classic,"Apr 8, 2023",2.1,100 Meters,CSAC Outdoor Performance List,Men
12,"Bourne, Joshua",SO-2,Gallaudet,11.69,Galludet Bison Classic,"Apr 8, 2023",0.4,100 Meters,CSAC Outdoor Performance List,Men
14,"Luce, Brendan",FR-1,PSU-Behrend,11.72,Behrend Track and Field Invite 2023,"Apr 16, 2023",+0.0,100 Meters,CSAC Outdoor Performance List,Men
15,"Buhl, Josh",SO-2,PSU-Behrend,11.73,Behrend Track and Field Invite 2023,"Apr 16, 2023",0.4,100 Meters,CSAC Outdoor Performance List,Men
16,"Louisaint, Joland",FR-1,Alfred State,11.90,Brockport Multi & Invitational,"Apr 14, 2023",3.0,100 Meters,CSAC Outdoor Performance List,Men
17,"Hunt, Elijah",FR-1,PSU-Behrend,12.21,Behrend Track and Field Invite 2023,"Apr 16, 2023",+0.0,100 Meters,CSAC Outdoor Performance List,Men
18,"Nash, Marquize",FR-1,Gallaudet,13.85,Galludet Bison Classic,"Apr 8, 2023",2.9,100 Meters,CSAC Outdoor Performance List,Men
1,"Kappeler, Madison",SO-2,PSU-Behrend,13.05,2023 Mount Union John Homon Open,"Apr 6, 2023",3.2,100 Meters,CSAC Outdoor Performance List,Women
2,"Edwards, Lawery",FR-1,Alfred State,13.15,Brockport Multi & Invitational,"Apr 14, 2023",2.3,100 Meters,CSAC Outdoor Performance List,Women
3,"Cole, Madeline",JR-3,Alfred State,13.19,Brockport Multi & Invitational,"Apr 14, 2023",2.3,100 Meters,CSAC Outdoor Performance List,Women
