Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Frank, Andy",SR-4,Ithaca,10.76,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,Liberty League Outdoor Performance List,Men
2,"Jantzi, Justin",JR-3,RIT,10.95,Bison Outdoor Classic,"Apr 14, 2023",1.2,100 Meters,Liberty League Outdoor Performance List,Men
2,"London, P.J.",SO-2,Rochester,10.95,Brockport Multi & Invitational,"Apr 14, 2023",0.5,100 Meters,Liberty League Outdoor Performance List,Men
4,"Ihegihu, Josh",FR-1,RPI,11.05,RPI Under the Lights Invite 2023,"Apr 14, 2023",1.9,100 Meters,Liberty League Outdoor Performance List,Men
5,"Myrick, Donovan",FR-1,RPI,11.10,Wesleyan Swanson Invite,"Mar 26, 2023",1.2,100 Meters,Liberty League Outdoor Performance List,Men
6,"Hauf, William",SO-2,St. Lawrence,11.11,Saints Ice Broken Open,"Apr 1, 2023",4.7,100 Meters,Liberty League Outdoor Performance List,Men
7,"Ahern, Sam",SO-2,Union (N.Y.),11.21,RPI Under the Lights Invite 2023,"Apr 14, 2023",1.3,100 Meters,Liberty League Outdoor Performance List,Men
8,"D'Adetta, Anthony",SR-4,Ithaca,11.25,Bison Outdoor Classic,"Apr 14, 2023",1.4,100 Meters,Liberty League Outdoor Performance List,Men
9,"Egbe, Bate",SR-4,RPI,11.28,2023 Hamilton College Continental Invitational,"Apr 1, 2023",0.1,100 Meters,Liberty League Outdoor Performance List,Men
10,"Eribo, Manny",SO-2,Rochester,11.30,Geneseo Early Season Invitational,"Apr 2, 2023",1.2,100 Meters,Liberty League Outdoor Performance List,Men
11,"Liu, Max",SO-2,RPI,11.36,RPI Under the Lights Invite 2023,"Apr 14, 2023",1.8,100 Meters,Liberty League Outdoor Performance List,Men
11,"Garrett, Cortez",FR-1,RPI,11.36,2023 Hamilton College Continental Invitational,"Apr 1, 2023",0.1,100 Meters,Liberty League Outdoor Performance List,Men
11,"Worley, Darnell",JR-3,Vassar,11.36,Vassar April Invitational 2023,"Apr 7, 2023",0.4,100 Meters,Liberty League Outdoor Performance List,Men
14,"Lundy, Gabe",SR-4,Rochester,11.40,Geneseo Early Season Invitational,"Apr 2, 2023",1.2,100 Meters,Liberty League Outdoor Performance List,Men
14,"Chen, Kensei",SO-2,RPI,11.40,RPI Under the Lights Invite 2023,"Apr 14, 2023",1.9,100 Meters,Liberty League Outdoor Performance List,Men
