Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Say, Conrad",JR-3,Johns Hopkins,10.82,Bison Outdoor Classic,"Apr 14, 2023",0.9,100 Meters,Centennial Conference Outdoor Performance List,Men
2,"Coulter, Elliot",SO-2,Franklin & Marshall,10.90,40th Millersville Metrics,"Mar 31, 2023",2.9,100 Meters,Centennial Conference Outdoor Performance List,Men
3,"Neuwirth, Russell",SR-4,Muhlenberg,10.99,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,Centennial Conference Outdoor Performance List,Men
4,"Coleman, Oral-Anthony",SO-2,McDaniel,11.01,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.4,100 Meters,Centennial Conference Outdoor Performance List,Men
5,"Elmogi, Ahmed",SO-2,Johns Hopkins,11.08,2023 Towson Spring Open,"Mar 31, 2023",0.6,100 Meters,Centennial Conference Outdoor Performance List,Men
6,"Tabor, Daniel",JR-3,Ursinus,11.20,Ursinus College Outdoor Invitational,"Mar 25, 2023",-0.2,100 Meters,Centennial Conference Outdoor Performance List,Men
7,"Tobin, Aiden",FR-1,Ursinus,11.26,Ursinus College Outdoor Invitational,"Mar 25, 2023",-0.2,100 Meters,Centennial Conference Outdoor Performance List,Men
8,"Roney, Zachary",SO-2,Johns Hopkins,11.30,2023 Towson Spring Open,"Mar 31, 2023",3.6,100 Meters,Centennial Conference Outdoor Performance List,Men
8,"Kiernan , Aidan",SO-2,Gettysburg,11.30,Little 3 Championships,"Mar 25, 2023",NWI,100 Meters,Centennial Conference Outdoor Performance List,Men
10,"Hitchcock, Trevor",JR-3,Muhlenberg,11.32,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,Centennial Conference Outdoor Performance List,Men
11,"Neves, Corey",JR-3,Franklin & Marshall,11.36,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,Centennial Conference Outdoor Performance List,Men
12,"Castro, Joshua",SO-2,Muhlenberg,11.38,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,Centennial Conference Outdoor Performance List,Men
13,"Proctor, Tyren",SO-2,McDaniel,11.42,2023 Colonial Relays,"Mar 30, 2023",2.8,100 Meters,Centennial Conference Outdoor Performance List,Men
13,"Keegan, Arthur",JR-3,Gettysburg,11.42,40th Millersville Metrics,"Mar 31, 2023",2.0,100 Meters,Centennial Conference Outdoor Performance List,Men
15,"Reichard, Alex",SR-4,Haverford,11.43,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,Centennial Conference Outdoor Performance List,Men
16,"Fernandez, Elijah",SO,Gettysburg,11.48,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,100 Meters,Centennial Conference Outdoor Performance List,Men
17,"Nye, JP",SR-4,Muhlenberg,11.49,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,Centennial Conference Outdoor Performance List,Men
18,"Hines, Gabe",FR-1,Swarthmore,11.50,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",1.1,100 Meters,Centennial Conference Outdoor Performance List,Men
19,"Brown, Alex",FR-1,McDaniel,11.54,Blue & Gold Goucher Classic,"Mar 24, 2023",0.5,100 Meters,Centennial Conference Outdoor Performance List,Men
20,"O'Connor, William",SO-2,Dickinson,11.55,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,Centennial Conference Outdoor Performance List,Men
21,"Motill, Colin",SO,Gettysburg,11.61,2023 Messiah Multi/Invitational,"Apr 13, 2023",0.7,100 Meters,Centennial Conference Outdoor Performance List,Men
22,"Tella, Rishi",FR-1,Swarthmore,11.64,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3,100 Meters,Centennial Conference Outdoor Performance List,Men
23,"Krill, John",SR-4,Johns Hopkins,11.68,2023 Towson Spring Open,"Mar 31, 2023",0.5,100 Meters,Centennial Conference Outdoor Performance List,Men
24,"Jolivette, Mason",SO-2,Ursinus,11.71,Ursinus College Outdoor Invitational,"Mar 25, 2023",-0.8,100 Meters,Centennial Conference Outdoor Performance List,Men
25,"Agbeye, Michael",JR-3,Ursinus,11.73,Ursinus College Outdoor Invitational,"Mar 25, 2023",+0.0,100 Meters,Centennial Conference Outdoor Performance List,Men
1,"Phillips, Lauren",SO-2,Johns Hopkins,12.14,2023 Towson Spring Open,"Mar 31, 2023",0.1,100 Meters,Centennial Conference Outdoor Performance List,Women
2,"Penuela, Sara",JR-3,Dickinson,12.31,Muhlenberg Outdoor Invitational,"Apr 1, 2023",3.9,100 Meters,Centennial Conference Outdoor Performance List,Women
3,"Olsavsky, Erin",FR-1,Dickinson,12.35,Muhlenberg Outdoor Invitational,"Apr 1, 2023",3.9,100 Meters,Centennial Conference Outdoor Performance List,Women
4,"Boadi, Krystle",SR-4,Swarthmore,12.44,Oscar Moore Invitational 2023,"Apr 8, 2023",1.7,100 Meters,Centennial Conference Outdoor Performance List,Women
5,"Kadiri, Victoria",SO-2,Johns Hopkins,12.65,Bison Outdoor Classic,"Apr 14, 2023",0.4,100 Meters,Centennial Conference Outdoor Performance List,Women
6,"Gerdes, Abigail",JR-3,Johns Hopkins,12.68,George Mason Ebanks Invitational,"Apr 7, 2023",3.1,100 Meters,Centennial Conference Outdoor Performance List,Women
6,"Moses, Jahsaiah",SR-4,Haverford,12.68,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,Centennial Conference Outdoor Performance List,Women
8,"Thompson, Naji",SR,Dickinson,12.75,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,Centennial Conference Outdoor Performance List,Women
9,"Lienhard, Abby",SR-4,Franklin & Marshall,12.80,40th Millersville Metrics,"Mar 31, 2023",3.5,100 Meters,Centennial Conference Outdoor Performance List,Women
9,"Klimov, Mirra",FR-1,Johns Hopkins,12.80,Bison Outdoor Classic,"Apr 14, 2023",0.5,100 Meters,Centennial Conference Outdoor Performance List,Women
11,"Tang, Ashley",JR-3,Johns Hopkins,12.89,George Mason Ebanks Invitational,"Apr 7, 2023",2.5,100 Meters,Centennial Conference Outdoor Performance List,Women
12,"Zaeske, Anna",SO-2,Johns Hopkins,12.92,2023 Towson Spring Open,"Mar 31, 2023",1.8,100 Meters,Centennial Conference Outdoor Performance List,Women
13,"Penuela, Mariana",JR-3,Dickinson,12.96,Muhlenberg Outdoor Invitational,"Apr 1, 2023",3.9,100 Meters,Centennial Conference Outdoor Performance List,Women
14,"Massillon, Grace",SO-2,Johns Hopkins,12.98,2023 Towson Spring Open,"Mar 31, 2023",0.7,100 Meters,Centennial Conference Outdoor Performance List,Women
14,"D'Aulerio, Olivia",FR-1,Haverford,12.98,WCU Bill Butler Invitational,"Apr 15, 2023",-0.5,100 Meters,Centennial Conference Outdoor Performance List,Women
16,"Landau, Ally",JR-3,Haverford,13.03,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,Centennial Conference Outdoor Performance List,Women
17,"Morgan, Katie",SO-2,McDaniel,13.04,2023 Messiah Multi/Invitational,"Apr 13, 2023",-0.5,100 Meters,Centennial Conference Outdoor Performance List,Women
18,"Robinson, Kayla",SR-4,Haverford,13.07,WCU Bill Butler Invitational,"Apr 15, 2023",-0.5,100 Meters,Centennial Conference Outdoor Performance List,Women
19,"Rando, Anna",FR-1,McDaniel,13.10,Galludet Bison Classic,"Apr 8, 2023",2.6,100 Meters,Centennial Conference Outdoor Performance List,Women
20,"Wang, Claire",FR-1,Johns Hopkins,13.11,George Mason Ebanks Invitational,"Apr 7, 2023",2.5,100 Meters,Centennial Conference Outdoor Performance List,Women
21,"Bidgell, Angel",JR-3,McDaniel,13.15,40th Millersville Metrics,"Mar 31, 2023",3.1,100 Meters,Centennial Conference Outdoor Performance List,Women
21,"Evans, Tatum",JR-3,Franklin & Marshall,13.15,40th Millersville Metrics,"Mar 31, 2023",3.1,100 Meters,Centennial Conference Outdoor Performance List,Women
23,"Hsu, Marissa",JR-3,Johns Hopkins,13.23,Bison Outdoor Classic,"Apr 14, 2023",-0.7,100 Meters,Centennial Conference Outdoor Performance List,Women
23,"Garrou, Hannah",FR-1,Swarthmore,13.23,2023 Danny Curran Invitational,"Mar 30, 2023",-0.4,100 Meters,Centennial Conference Outdoor Performance List,Women
25,"Collins, Gabrielle",SR-4,McDaniel,13.29,Galludet Bison Classic,"Apr 8, 2023",0.9,100 Meters,Centennial Conference Outdoor Performance List,Women
1,"Coleman, Oral-Anthony",SO-2,McDaniel,22.20,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,200 Meters,Centennial Conference Outdoor Performance List,Men
