Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Nash, Aaron",SO-2,Methodist,10.78,Alan Connie Shamrock Invitational,"Mar 16, 2023",3.0,100 Meters,USA South Outdoor Performance List,Men
2,"Santiago, Steven",SR-4,Mary Baldwin,11.06,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.8,100 Meters,USA South Outdoor Performance List,Men
3,"Taylor, Reginald",SO-2,Brevard,11.07,Electric City Invitational,"Apr 14, 2023",2.9,100 Meters,USA South Outdoor Performance List,Men
4,"Matthews, Anthony",JR-3,Methodist,11.11,The Trojan Relays,"Apr 14, 2023",3.0,100 Meters,USA South Outdoor Performance List,Men
5,"Smith, Donovan",FR-1,North Carolina Wesleyan,11.13,The Trojan Relays,"Apr 14, 2023",1.2,100 Meters,USA South Outdoor Performance List,Men
6,"Prince, Milton",FR-1,William Peace,11.14,UNCW Seahawk Invitational,"Mar 3, 2023",1.5,100 Meters,USA South Outdoor Performance List,Men
6,"Scott, Miles",FR-1,William Peace,11.14,6th Annual adidas Trojan Challenge,"Mar 24, 2023",2.5,100 Meters,USA South Outdoor Performance List,Men
8,"Kirksey, Christopher",SO-2,Mary Baldwin,11.25,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",+0.0,100 Meters,USA South Outdoor Performance List,Men
9,"de la Cruz, Daniel",SR-4,Southern Virginia,11.29,Washington & Lee Carnival,"Mar 17, 2023",-1.1,100 Meters,USA South Outdoor Performance List,Men
10,"Campbell, Keyshawn",SR-4,Pfeiffer,11.34,Dennis Craddock Coaches Classic,"Apr 14, 2023",+0.0,100 Meters,USA South Outdoor Performance List,Men
11,"Maura, Demetrius",FR-1,Pfeiffer,11.35,Webb Davidson Meet,"Mar 17, 2023",4.3,100 Meters,USA South Outdoor Performance List,Men
12,"Woods, Josiyah",FR-1,Methodist,11.36,Alan Connie Shamrock Invitational,"Mar 16, 2023",0.7,100 Meters,USA South Outdoor Performance List,Men
13,"Nicholas, Nakeem",SR-4,Pfeiffer,11.39,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.7,100 Meters,USA South Outdoor Performance List,Men
14,"Mack, Danorie",FR-1,Methodist,11.43,6th Annual adidas Trojan Challenge,"Mar 24, 2023",1.2,100 Meters,USA South Outdoor Performance List,Men
15,"Artis , Jo'Sean",JR-3,William Peace,11.47,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",1.7,100 Meters,USA South Outdoor Performance List,Men
16,"Archibald, Max",FR-1,Southern Virginia,11.49,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.1,100 Meters,USA South Outdoor Performance List,Men
17,"Kam, Parker",SO-2,Southern Virginia,11.52,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.2,100 Meters,USA South Outdoor Performance List,Men
18,"Sarden-Pete, Keyshaun",JR-3,Methodist,11.53,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.2,100 Meters,USA South Outdoor Performance List,Men
19,"Nwaneri, Elvis",SO-2,Southern Virginia,11.54,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.2,100 Meters,USA South Outdoor Performance List,Men
20,"Bryant, D'Andre",SR-4,Pfeiffer,11.59,Webb Davidson Meet,"Mar 17, 2023",-0.5,100 Meters,USA South Outdoor Performance List,Men
21,"Ashford, Brooks",JR-3,Brevard,11.61,Electric City Invitational,"Apr 14, 2023",3.4,100 Meters,USA South Outdoor Performance List,Men
22,"Alvarez, Luis",JR-3,Brevard,11.66,Trojan Opener,"Mar 17, 2023",1.9,100 Meters,USA South Outdoor Performance List,Men
23,"Akogo, Komla",SO-2,Methodist,11.69,Alan Connie Shamrock Invitational,"Mar 16, 2023",-0.8,100 Meters,USA South Outdoor Performance List,Men
24,"Williams, Joseph",SO-2,William Peace,11.73,The Trojan Relays,"Apr 14, 2023",1.0,100 Meters,USA South Outdoor Performance List,Men
25,"James, Ari",SO-2,Southern Virginia,11.81,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.1,100 Meters,USA South Outdoor Performance List,Men
1,"Cherry, Ahnia",FR-1,North Carolina Wesleyan,11.78,South Florida Invitational,"Apr 7, 2023",1.8,100 Meters,USA South Outdoor Performance List,Women
2,"Brooks, Mariah",,North Carolina Wesleyan,12.00,South Florida Invitational,"Apr 7, 2023",1.8,100 Meters,USA South Outdoor Performance List,Women
3,"Brooks, Mariah",SO-2,North Carolina Wesleyan,12.06,6th Annual adidas Trojan Challenge,"Mar 24, 2023",1.6,100 Meters,USA South Outdoor Performance List,Women
4,"Street, Makayla",FR-1,Brevard,12.70,Trojan Opener,"Mar 17, 2023",3.5,100 Meters,USA South Outdoor Performance List,Women
5,"Bellamy, Teanna",SR-4,North Carolina Wesleyan,12.85,The Trojan Relays,"Apr 14, 2023",1.9,100 Meters,USA South Outdoor Performance List,Women
6,"Gardner, Brandi",FR-1,Methodist,12.90,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.1,100 Meters,USA South Outdoor Performance List,Women
7,"Olufemi-Ajayi, Grace",SR-4,Meredith,12.97,Vertklasse,"Mar 31, 2023",2.6,100 Meters,USA South Outdoor Performance List,Women
8,"Lucas, Anyla",FR-1,Meredith,13.18,6th Annual adidas Trojan Challenge,"Mar 24, 2023",1.0,100 Meters,USA South Outdoor Performance List,Women
9,"Hawkins, Quierra",SO-2,Mary Baldwin,13.29,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.4,100 Meters,USA South Outdoor Performance List,Women
10,"Neal, Erykalyn",FR-1,Methodist,13.34,6th Annual adidas Trojan Challenge,"Mar 24, 2023",2.4,100 Meters,USA South Outdoor Performance List,Women
11,"Cunningham, Davina",FR-1,Meredith,13.47,UNCW Seahawk Invitational,"Mar 3, 2023",1.8,100 Meters,USA South Outdoor Performance List,Women
12,"Heward, Riley",SO-2,Southern Virginia,13.50,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.3,100 Meters,USA South Outdoor Performance List,Women
12,"Sterling, Emily",SO-2,Southern Virginia,13.50,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.4,100 Meters,USA South Outdoor Performance List,Women
14,"Allman, Shandrey",FR-1,Southern Virginia,13.62,Washington & Lee Carnival,"Mar 17, 2023",0.7,100 Meters,USA South Outdoor Performance List,Women
15,"Singleton, Imani",FR-1,Brevard,13.65,Electric City Invitational,"Apr 14, 2023",1.4,100 Meters,USA South Outdoor Performance List,Women
16,"Castle, Kamree",SO-2,Southern Virginia,13.79,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.4,100 Meters,USA South Outdoor Performance List,Women
17,"Blodgett, Emma",JR-3,Southern Virginia,13.88,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.5,100 Meters,USA South Outdoor Performance List,Women
18,"Tarpley , Lanadia",JR-3,Mary Baldwin,14.63,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.6,100 Meters,USA South Outdoor Performance List,Women
19,"Morgan, De'Ja",SO-2,Meredith,14.74,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.4,100 Meters,USA South Outdoor Performance List,Women
20,"Knight, Imari",FR-1,Mary Baldwin,14.75,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",1.4,100 Meters,USA South Outdoor Performance List,Women
21,"Shepard, Lexi",FR-1,Brevard,14.99,Trojan Opener,"Mar 17, 2023",3.5,100 Meters,USA South Outdoor Performance List,Women
1,"Santiago, Steven",SR-4,Mary Baldwin,22.12,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.6,200 Meters,USA South Outdoor Performance List,Men
2,"Holmes, Shyheim",SO-2,Mary Baldwin,22.22,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.6,200 Meters,USA South Outdoor Performance List,Men
2,"Leavitt, Aaron",SO-2,Southern Virginia,22.22,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.8,200 Meters,USA South Outdoor Performance List,Men
4,"Kirksey, Christopher",SO-2,Mary Baldwin,22.26,Battleground Relays,"Apr 1, 2023",-0.1,200 Meters,USA South Outdoor Performance List,Men
5,"Scott, Miles",FR-1,William Peace,22.39,The Trojan Relays,"Apr 14, 2023",0.8,200 Meters,USA South Outdoor Performance List,Men
6,"Smith, Donovan",FR-1,North Carolina Wesleyan,22.45,6th Annual adidas Trojan Challenge,"Mar 24, 2023",4.5,200 Meters,USA South Outdoor Performance List,Men
7,"Matthews, Anthony",JR-3,Methodist,22.55,The Trojan Relays,"Apr 14, 2023",1.0,200 Meters,USA South Outdoor Performance List,Men
