Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Collins, Craig",FR-1,McMurry,10.49,2023 War Hawk Classic,"Apr 14, 2023",4.2,100 Meters,American Southwest Outdoor Performance List,Men
2,"Lewis, Detaveon",SR-4,East Texas Baptist,10.63,D3 Challenge,"Mar 25, 2023",1.3,100 Meters,American Southwest Outdoor Performance List,Men
3,"Bingham, Justin",FR-1,Hardin-Simmons,10.69,2023 War Hawk Classic,"Apr 14, 2023",2.4,100 Meters,American Southwest Outdoor Performance List,Men
4,"Powell, Brandon",JR-3,East Texas Baptist,10.72,Ice Breaker Classic,"Mar 17, 2023",0.8,100 Meters,American Southwest Outdoor Performance List,Men
5,"Quinn, Kameron",JR-3,UT-Dallas,10.76,David Noble Relays,"Apr 7, 2023",1.3,100 Meters,American Southwest Outdoor Performance List,Men
6,"Turner, Tamarian",SO-2,McMurry,10.84,2023 War Hawk Classic,"Apr 14, 2023",2.4,100 Meters,American Southwest Outdoor Performance List,Men
7,"Miller, Chance",SO-2,Concordia (Tex.),10.86,2023 War Hawk Classic,"Apr 14, 2023",3.5,100 Meters,American Southwest Outdoor Performance List,Men
8,"Henry, Jackson",SO-2,Concordia (Tex.),10.89,2023 War Hawk Classic,"Apr 14, 2023",2.5,100 Meters,American Southwest Outdoor Performance List,Men
8,"Land, Jacob",SO-2,Concordia (Tex.),10.89,2023 War Hawk Classic,"Apr 14, 2023",2.5,100 Meters,American Southwest Outdoor Performance List,Men
10,"Dominguez, Gilbert",FR-1,East Texas Baptist,10.90,Carl Kight Invitational & Multis,"Apr 13, 2023",4.6,100 Meters,American Southwest Outdoor Performance List,Men
11,"Kwiatkowski, Caleb",SO-2,McMurry,10.91,2023 War Hawk Classic,"Apr 14, 2023",2.4,100 Meters,American Southwest Outdoor Performance List,Men
12,"Torres-Izquierdo, Carlos",JR-3,East Texas Baptist,10.96,D3 Challenge,"Mar 25, 2023",2.1,100 Meters,American Southwest Outdoor Performance List,Men
12,"Williams, Braylon",FR-1,McMurry,10.96,2023 War Hawk Classic,"Apr 14, 2023",3.5,100 Meters,American Southwest Outdoor Performance List,Men
14,"Jones, De'Leon",SO-2,East Texas Baptist,10.97,Carl Kight Invitational & Multis,"Apr 13, 2023",4.6,100 Meters,American Southwest Outdoor Performance List,Men
15,"Chappell, Jordon",FR-1,Concordia (Tex.),10.98,2023 War Hawk Classic,"Apr 14, 2023",2.5,100 Meters,American Southwest Outdoor Performance List,Men
16,"White, Jacob",SR-4,LeTourneau,10.99,2023 95th Clyde Littlefield Texas Relays,"Mar 29, 2023",2.3,100 Meters,American Southwest Outdoor Performance List,Men
17,"Brandon, Caster",JR-3,East Texas Baptist,11.01,D3 Challenge,"Mar 25, 2023",1.3,100 Meters,American Southwest Outdoor Performance List,Men
18,"Colbert, Jacorian",SO-2,McMurry,11.03,2023 War Hawk Classic,"Apr 14, 2023",2.5,100 Meters,American Southwest Outdoor Performance List,Men
19,"Belcha, Javarian",SO-2,Hardin-Simmons,11.06,2023 War Hawk Classic,"Apr 14, 2023",2.4,100 Meters,American Southwest Outdoor Performance List,Men
20,"Oyadiran, Dami",SO-2,UT-Dallas,11.10,2023 War Hawk Classic,"Apr 14, 2023",3.5,100 Meters,American Southwest Outdoor Performance List,Men
21,"Shanklin, Bain",FR-1,Hardin-Simmons,11.11,2023 War Hawk Classic,"Apr 14, 2023",3.5,100 Meters,American Southwest Outdoor Performance List,Men
22,"Cooper, Malik",SO-2,East Texas Baptist,11.13,D3 Challenge,"Mar 25, 2023",1.4,100 Meters,American Southwest Outdoor Performance List,Men
23,"Ejikeme, Chiemeka",FR-1,UT-Dallas,11.14,David Noble Relays,"Apr 7, 2023",1.3,100 Meters,American Southwest Outdoor Performance List,Men
24,"Miller, Rangel",JR-3,East Texas Baptist,11.18,Harding Bison Open,"Apr 6, 2023",0.6,100 Meters,American Southwest Outdoor Performance List,Men
25,"Miller, Shepherd",SO-2,McMurry,11.20,David Noble Relays,"Apr 7, 2023",3.0,100 Meters,American Southwest Outdoor Performance List,Men
26,"Habbas, Rami",SO-2,UT-Dallas,11.22,2023 War Hawk Classic,"Apr 14, 2023",3.5,100 Meters,American Southwest Outdoor Performance List,Men
27,"Fouts, Harrison",FR-1,McMurry,11.26,D3 Challenge,"Mar 25, 2023",2.1,100 Meters,American Southwest Outdoor Performance List,Men
27,"Doherty, Karson",FR-1,East Texas Baptist,11.26,D3 Challenge,"Mar 25, 2023",0.6,100 Meters,American Southwest Outdoor Performance List,Men
29,"Joiner, John",FR-1,McMurry,11.32,David Noble Relays,"Apr 7, 2023",0.7,100 Meters,American Southwest Outdoor Performance List,Men
30,"Park, Raphael",SO-2,UT-Dallas,11.37,2023 War Hawk Classic,"Apr 14, 2023",3.3,100 Meters,American Southwest Outdoor Performance List,Men
1,"Morris, Jada",SO-2,McMurry,12.42,2023 War Hawk Classic,"Apr 14, 2023",2.9,100 Meters,American Southwest Outdoor Performance List,Women
2,"Yanez, Brynn",FR-1,McMurry,12.44,2023 War Hawk Classic,"Apr 14, 2023",2.9,100 Meters,American Southwest Outdoor Performance List,Women
3,"Aldridge, Jayla",SO-2,Concordia (Tex.),12.52,2023 War Hawk Classic,"Apr 14, 2023",2.9,100 Meters,American Southwest Outdoor Performance List,Women
4,"Webb-Barber, Losuria",SO-2,McMurry,12.78,2023 War Hawk Classic,"Apr 14, 2023",2.9,100 Meters,American Southwest Outdoor Performance List,Women
5,"Mugofwa, Pendo",JR-3,Concordia (Tex.),12.82,D3 Challenge,"Mar 25, 2023",3.5,100 Meters,American Southwest Outdoor Performance List,Women
6,"Billingsly, Tia",FR-1,UT-Dallas,13.04,2023 OBU Invite,"Mar 24, 2023",2.8,100 Meters,American Southwest Outdoor Performance List,Women
6,"Clark, Payton",SO-2,East Texas Baptist,13.04,Harding Bison Open,"Apr 6, 2023",1.8,100 Meters,American Southwest Outdoor Performance List,Women
8,"Knott, Honor",FR-1,Hardin-Simmons,13.07,2023 War Hawk Classic,"Apr 14, 2023",2.4,100 Meters,American Southwest Outdoor Performance List,Women
9,"Sauls, Danielle",JR-3,Hardin-Simmons,13.10,Wes Kittley Invitational,"Mar 17, 2023",2.7,100 Meters,American Southwest Outdoor Performance List,Women
10,"Tolbert, Nakiah",SO-2,Hardin-Simmons,13.12,Wes Kittley Invitational,"Mar 17, 2023",4.5,100 Meters,American Southwest Outdoor Performance List,Women
11,"McCalister, Rachel",FR-1,McMurry,13.17,2023 Trinity Invitational,"Mar 3, 2023",0.8,100 Meters,American Southwest Outdoor Performance List,Women
