Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Doss , Steven",FR-1,RIC,10.77,CGA Spring Invite,"Apr 8, 2023",2.0,100 Meters,Little East Outdoor Performance List,Men
2,"Bazile, Flordan",FR-1,UMass Dartmouth,10.81,Jerry Gravel Classic,"Apr 15, 2023",-0.9,100 Meters,Little East Outdoor Performance List,Men
3,"Shain, Ethan",SO-2,Southern Maine,11.09,Penmen Relays,"Apr 15, 2023",0.9,100 Meters,Little East Outdoor Performance List,Men
4,"Yasuda, Kaito",JR-3,Eastern Conn. St.,11.16,CGA Spring Invite,"Apr 8, 2023",2.0,100 Meters,Little East Outdoor Performance List,Men
5,"Manuel, Xavier",SO-2,UMass Dartmouth,11.20,Jerry Gravel Classic,"Apr 15, 2023",-0.9,100 Meters,Little East Outdoor Performance List,Men
6,"Obidike, Bryan",SO-2,UMass Dartmouth,11.21,CGA Spring Invite,"Apr 8, 2023",2.0,100 Meters,Little East Outdoor Performance List,Men
7,"Lundy, Edward",JR-3,UMass Dartmouth,11.24,Jerry Gravel Classic,"Apr 15, 2023",-0.9,100 Meters,Little East Outdoor Performance List,Men
8,"Jacques, Jayden",JR-3,Southern Maine,11.25,Penmen Relays,"Apr 15, 2023",2.5,100 Meters,Little East Outdoor Performance List,Men
9,"Phongsa, Eric",SO-2,Eastern Conn. St.,11.26,CGA Spring Invite,"Apr 8, 2023",2.0,100 Meters,Little East Outdoor Performance List,Men
10,"Perry, Macalyster",FR-1,Castleton,11.28,2023 Hamilton College Continental Invitational,"Apr 1, 2023",2.3,100 Meters,Little East Outdoor Performance List,Men
11,"Griffiths, Ian",SR-4,Plymouth State,11.31,SNHU Spring Twilight Invitational,"Mar 31, 2023",3.7,100 Meters,Little East Outdoor Performance List,Men
12,"Klein, Sam",FR-1,Eastern Conn. St.,11.32,Wesleyan Swanson Invite,"Mar 26, 2023",1.2,100 Meters,Little East Outdoor Performance List,Men
13,"Evans, DeAnthony",FR-1,Southern Maine,11.40,Penmen Relays,"Apr 15, 2023",0.9,100 Meters,Little East Outdoor Performance List,Men
14,"Grace, Antoine",SR-4,Southern Maine,11.45,Jim Sheehan Memorial Track Meet,"Apr 8, 2023",0.2,100 Meters,Little East Outdoor Performance List,Men
15,"Govan, Charles",FR-1,Castleton,11.46,2023 Hamilton College Continental Invitational,"Apr 1, 2023",2.3,100 Meters,Little East Outdoor Performance List,Men
16,"LeBlanc, Alex",FR-1,Keene State,11.49,Penmen Relays,"Apr 15, 2023",0.9,100 Meters,Little East Outdoor Performance List,Men
17,"Hennessy, Aidan",JR-3,Eastern Conn. St.,11.50,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.5,100 Meters,Little East Outdoor Performance List,Men
18,"Fogg, Nathan",FR-1,Southern Maine,11.51,Penmen Relays,"Apr 15, 2023",0.9,100 Meters,Little East Outdoor Performance List,Men
19,"Schimmelpfennig, Adam",SO-2,Eastern Conn. St.,11.52,CGA Spring Invite,"Apr 8, 2023",2.0,100 Meters,Little East Outdoor Performance List,Men
19,"Matrille, Albert",FR-1,Southern Maine,11.52,Penmen Relays,"Apr 15, 2023",2.4,100 Meters,Little East Outdoor Performance List,Men
21,"Hatcher, Jyaire",JR-3,Plymouth State,11.53,Jonathan Tymann Invitational,"Apr 8, 2023",0.4,100 Meters,Little East Outdoor Performance List,Men
22,"Winslow, Nolan",FR-1,Southern Maine,11.54,Penmen Relays,"Apr 15, 2023",-0.4,100 Meters,Little East Outdoor Performance List,Men
23,"Castillo, Jalen",FR-1,UMass Dartmouth,11.55,Jerry Gravel Classic,"Apr 15, 2023",-0.9,100 Meters,Little East Outdoor Performance List,Men
