Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Bailey, Jonathan",FR-1,Knox,10.71,Greenville College Select Meet,"Apr 15, 2023",2.9,100 Meters,Midwest Conference Outdoor Performance List,Men
2,"Fadden, Lucas",FR-1,Grinnell,10.90,D3 Challenge,"Mar 25, 2023",1.4,100 Meters,Midwest Conference Outdoor Performance List,Men
3,"Douglas, Jack",SO-2,Illinois College,10.95,Greenville College Select Meet,"Apr 15, 2023",3.0,100 Meters,Midwest Conference Outdoor Performance List,Men
4,"Pierce, Tyrell",JR-3,Knox,10.98,2023 Millikin Alumni Invite,"Apr 1, 2023",4.2,100 Meters,Midwest Conference Outdoor Performance List,Men
5,"Ditsworth, Luke",SR-4,Monmouth (Ill.),11.03,Illinois College True Blue Invite,"Apr 7, 2023",1.6,100 Meters,Midwest Conference Outdoor Performance List,Men
6,"Geggie, Trevor",SR-4,Knox,11.06,Greenville College Select Meet,"Apr 15, 2023",2.5,100 Meters,Midwest Conference Outdoor Performance List,Men
7,"Davies, Jacob",SO-2,Ripon,11.09,Beloit Relays,"Apr 15, 2023",2.3,100 Meters,Midwest Conference Outdoor Performance List,Men
8,"Hiser, Alexander",JR-3,Grinnell,11.13,D3 Challenge,"Mar 25, 2023",1.2,100 Meters,Midwest Conference Outdoor Performance List,Men
9,"Gray, Cade",SO-2,Ripon,11.17,St. Norbert Twilight,"Apr 6, 2023",3.5,100 Meters,Midwest Conference Outdoor Performance List,Men
9,"Joseph, Ajani",SR-4,Beloit,11.17,Alan Connie Shamrock Invitational,"Mar 16, 2023",3.0,100 Meters,Midwest Conference Outdoor Performance List,Men
11,"Vander Galien, Logan",SO-2,Ripon,11.19,St. Norbert Twilight,"Apr 6, 2023",3.5,100 Meters,Midwest Conference Outdoor Performance List,Men
12,"Jachimiec, Luke",FR-1,Monmouth (Ill.),11.20,Beloit Relays,"Apr 15, 2023",2.1,100 Meters,Midwest Conference Outdoor Performance List,Men
13,"Fisher, Ben",SO-2,Ripon,11.22,Beloit Relays,"Apr 15, 2023",2.1,100 Meters,Midwest Conference Outdoor Performance List,Men
13,"Ballman, Kendall",JR-3,Knox,11.22,Greenville College Select Meet,"Apr 15, 2023",2.5,100 Meters,Midwest Conference Outdoor Performance List,Men
15,"Walker, Dameco",SO-2,Ripon,11.27,St. Norbert Twilight,"Apr 6, 2023",3.5,100 Meters,Midwest Conference Outdoor Performance List,Men
16,"Ganiyu, Azeez",SO-2,Beloit,11.30,Beloit Relays,"Apr 15, 2023",3.1,100 Meters,Midwest Conference Outdoor Performance List,Men
17,"Slater, Tracy",SR-4,Illinois College,11.32,Illinois College True Blue Invite,"Apr 7, 2023",3.0,100 Meters,Midwest Conference Outdoor Performance List,Men
18,"Bryant, Max",SO-2,Ripon,11.42,Wisconsin Private College Championships,"Apr 2, 2023",1.8,100 Meters,Midwest Conference Outdoor Performance List,Men
19,"Casseus, Raymond",FR-1,Illinois College,11.47,Greenville College Select Meet,"Apr 15, 2023",2.9,100 Meters,Midwest Conference Outdoor Performance List,Men
20,"York, Johnny",FR-1,Monmouth (Ill.),11.48,Illinois College True Blue Invite,"Apr 7, 2023",3.0,100 Meters,Midwest Conference Outdoor Performance List,Men
20,"Myles, Michael",JR-3,Beloit,11.48,Rex Foster Twilight,"Apr 7, 2023",2.1,100 Meters,Midwest Conference Outdoor Performance List,Men
22,"DeGeorge, Daniel",FR-1,Beloit,11.49,Beloit Relays,"Apr 15, 2023",2.4,100 Meters,Midwest Conference Outdoor Performance List,Men
22,"McGuire, Jaxin",FR-1,Cornell College,11.49,Cornell Invitational,"Apr 14, 2023",-1.4,100 Meters,Midwest Conference Outdoor Performance List,Men
24,"Grice, Lane",FR-1,Monmouth (Ill.),11.52,Illinois College True Blue Invite,"Apr 7, 2023",0.8,100 Meters,Midwest Conference Outdoor Performance List,Men
24,"Greiner, Doniel",SO-2,Cornell College,11.52,Mustang Open,"Apr 1, 2023",0.4,100 Meters,Midwest Conference Outdoor Performance List,Men
1,"Boyance, T'Aira",SR-4,Beloit,12.29,Beloit Relays,"Apr 15, 2023",2.1,100 Meters,Midwest Conference Outdoor Performance List,Women
2,"McDonald, Jordyn",SR-4,Beloit,12.37,Beloit Relays,"Apr 15, 2023",2.1,100 Meters,Midwest Conference Outdoor Performance List,Women
3,"Dockins, Allie",SO-2,Knox,12.68,Greenville College Select Meet,"Apr 15, 2023",2.3,100 Meters,Midwest Conference Outdoor Performance List,Women
4,"Nichols, Lakeida",SR-4,Illinois College,12.70,Wash U 5 Way,"Mar 25, 2023",3.5,100 Meters,Midwest Conference Outdoor Performance List,Women
5,"Osborn, Madison",JR-3,Cornell College,12.75,Cornell Invitational,"Apr 14, 2023",+0.0,100 Meters,Midwest Conference Outdoor Performance List,Women
