Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Regan, Seth",JR-3,Springfield,10.78,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NEWMAC Outdoor Performance List,Men
2,"Scott, Michael",SO-2,Springfield,10.80,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,NEWMAC Outdoor Performance List,Men
2,"Clement, Nolan",FR-1,MIT,10.80,UCONN Northeast Challenge,"Apr 14, 2023",3.3,100 Meters,NEWMAC Outdoor Performance List,Men
4,"Guobadia, Mozi",SR-4,MIT,10.81,UCONN Northeast Challenge,"Apr 14, 2023",2.4,100 Meters,NEWMAC Outdoor Performance List,Men
5,"Weber, Evan",JR-3,Springfield,10.84,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NEWMAC Outdoor Performance List,Men
6,"Nwogwugwu, Zac",FR-1,MIT,10.86,UCONN Northeast Challenge,"Apr 14, 2023",2.4,100 Meters,NEWMAC Outdoor Performance List,Men
7,"Liu, William",JR-3,MIT,10.87,UCONN Northeast Challenge,"Apr 14, 2023",3.3,100 Meters,NEWMAC Outdoor Performance List,Men
8,"Budiman, Jeremiah",SR-4,MIT,10.88,UCONN Northeast Challenge,"Apr 14, 2023",3.3,100 Meters,NEWMAC Outdoor Performance List,Men
9,"Agard, Michael",JR-3,Babson,10.89,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NEWMAC Outdoor Performance List,Men
10,"Peterson, Kelvin",SO-2,Wheaton (Mass.),10.92,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4,100 Meters,NEWMAC Outdoor Performance List,Men
11,"Penta, Anthony",JR-3,Springfield,10.99,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,NEWMAC Outdoor Performance List,Men
12,"Brown, Brenden",JR-3,Springfield,11.12,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,NEWMAC Outdoor Performance List,Men
13,"Dole, Anik",JR-3,Springfield,11.13,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NEWMAC Outdoor Performance List,Men
14,"Whitmore, Garrett",JR-3,MIT,11.19,Amherst College Spring Fling,"Apr 8, 2023",0.7,100 Meters,NEWMAC Outdoor Performance List,Men
15,"Polen, McKinley",SR-4,MIT,11.28,Amherst College Spring Fling,"Apr 8, 2023",0.8,100 Meters,NEWMAC Outdoor Performance List,Men
16,"Lingley, Dante",SO-2,Springfield,11.33,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,NEWMAC Outdoor Performance List,Men
17,"Wilson, Colby",SR-4,Springfield,11.34,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NEWMAC Outdoor Performance List,Men
