Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Davis , John",FR-1,Colby-Sawyer,11.33,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,Great Northeast Outdoor Performance List,Men
2,"Fallah , Gus",SO-2,Emmanuel (Mass.),11.50,Wesleyan Swanson Invite,"Mar 26, 2023",6.4,100 Meters,Great Northeast Outdoor Performance List,Men
3,"Branchaud, Joseph",JR-3,Colby-Sawyer,11.53,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,Great Northeast Outdoor Performance List,Men
4,"Lacroix, Mikel",FR-1,Emmanuel (Mass.),11.55,Monks Track & Field,"Apr 14, 2023",0.1,100 Meters,Great Northeast Outdoor Performance List,Men
5,"Abukar, Abdirizak",FR-1,St. Joseph's (Me.),11.57,Jim Sheehan Memorial Track Meet,"Apr 8, 2023",0.2,100 Meters,Great Northeast Outdoor Performance List,Men
6,"Grayson, Harry",FR-1,Regis (Mass.),11.58,Regis Spring Classic - 2023,"Apr 6, 2023",1.0,100 Meters,Great Northeast Outdoor Performance List,Men
6,"Farr, Ryan",JR-3,St. Joseph's (Me.),11.58,Jim Sheehan Memorial Track Meet,"Apr 8, 2023",0.2,100 Meters,Great Northeast Outdoor Performance List,Men
8,"Batoosingh, Noah",FR-1,St. Joseph's (Me.),11.66,Monks Track & Field,"Apr 14, 2023",0.1,100 Meters,Great Northeast Outdoor Performance List,Men
9,"Thuotte, Justin",FR-1,Regis (Mass.),11.67,2023 Carla Coffey Invitational,"Apr 14, 2023",0.6,100 Meters,Great Northeast Outdoor Performance List,Men
10,"Abely, Benjamin",SR-4,Lasell,11.82,Jonathan Tymann Invitational,"Apr 8, 2023",0.4,100 Meters,Great Northeast Outdoor Performance List,Men
11,"Kiesel, Brett",JR-3,Regis (Mass.),11.90,2023 Carla Coffey Invitational,"Apr 14, 2023",0.6,100 Meters,Great Northeast Outdoor Performance List,Men
12,"Ricker, Tyler",SO-2,St. Joseph's (Me.),11.99,Monks Track & Field,"Apr 14, 2023",+0.0,100 Meters,Great Northeast Outdoor Performance List,Men
13,"Kofos, Jordan",SO-2,Colby-Sawyer,12.00,Tufts Snowflake Classic,"Apr 1, 2023",-0.6,100 Meters,Great Northeast Outdoor Performance List,Men
14,"Ambroise	, Kadeem",SR-4,Lasell,12.01,Tufts Snowflake Classic,"Apr 1, 2023",+0.0,100 Meters,Great Northeast Outdoor Performance List,Men
15,"Miller, Dean",SR-4,Colby-Sawyer,12.02,Springfield College Classic,"Apr 8, 2023",-0.7,100 Meters,Great Northeast Outdoor Performance List,Men
16,"Platti, Jonathan",SO-2,Colby-Sawyer,12.11,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.3,100 Meters,Great Northeast Outdoor Performance List,Men
