Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Newby, Will",FR-1,Wabash,10.78,2023 EIU Big Blue,"Mar 24, 2023",1.2,100 Meters,North Coast AC Outdoor Performance List,Men
2,"Gono Phiri, Tapiwa",SO-2,Kenyon,10.84,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.3,100 Meters,North Coast AC Outdoor Performance List,Men
3,"Hunt, Grant",FR-1,DePauw,10.88,Wash U Invite,"Mar 31, 2023",4.3,100 Meters,North Coast AC Outdoor Performance List,Men
4,"Epps, Jaylin",SO-2,Denison,10.92,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.8,100 Meters,North Coast AC Outdoor Performance List,Men
5,"Laleye, Ayotunde",JR-3,DePauw,10.93,Wash U Invite,"Mar 31, 2023",4.3,100 Meters,North Coast AC Outdoor Performance List,Men
6,"Holley, Malik",SO-2,Denison,10.99,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.8,100 Meters,North Coast AC Outdoor Performance List,Men
7,"Hearns, Julius",SO-2,Wabash,11.01,Pacesetter Sports Invitational,"Apr 1, 2023",2.6,100 Meters,North Coast AC Outdoor Performance List,Men
8,"DeSantis, Daniel",SO-2,Denison,11.03,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.3,100 Meters,North Coast AC Outdoor Performance List,Men
9,"Fechner, Sam",SO-2,Oberlin,11.10,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",2.0,100 Meters,North Coast AC Outdoor Performance List,Men
10,"Williams, Sylvester",FR-1,Wabash,11.11,Pacesetter Sports Invitational,"Apr 1, 2023",2.6,100 Meters,North Coast AC Outdoor Performance List,Men
10,"O'Malley, Colin",FR-1,DePauw,11.11,Indiana DIII Track and Field Meet,"Apr 15, 2023",2.2,100 Meters,North Coast AC Outdoor Performance List,Men
12,"Bila, Joaquim",FR-1,Ohio Wesleyan,11.15,Amy Adams Memorial,"Mar 24, 2023",-1.9,100 Meters,North Coast AC Outdoor Performance List,Men
13,"Alsum, Rickey",JR-3,DePauw,11.16,Wabash College Huntsman Family Invite 2023,"Apr 8, 2023",2.1,100 Meters,North Coast AC Outdoor Performance List,Men
14,"Hyatt, Reese",SO-2,Oberlin,11.17,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",2.0,100 Meters,North Coast AC Outdoor Performance List,Men
15,"Weisenberger, Joshua",SO-2,Wittenberg,11.18,Yellow Jacket Collegiate Outdoor,"Mar 25, 2023",2.0,100 Meters,North Coast AC Outdoor Performance List,Men
16,"Hurt, Ethan",SR-4,Wabash,11.23,Wabash College Huntsman Family Invite 2023,"Apr 8, 2023",1.9,100 Meters,North Coast AC Outdoor Performance List,Men
16,"Acero, Seth",SO-2,Wabash,11.23,Indiana DIII Track and Field Meet,"Apr 15, 2023",2.5,100 Meters,North Coast AC Outdoor Performance List,Men
16,"Troupe, Christian",SO-2,DePauw,11.23,Wash U Invite,"Mar 31, 2023",4.3,100 Meters,North Coast AC Outdoor Performance List,Men
19,"Manderson , Khaleel",FR-1,Wooster,11.25,Wooster Vs Denison,"Apr 12, 2023",1.9,100 Meters,North Coast AC Outdoor Performance List,Men
20,"Thompson, Julius",SO-2,Kenyon,11.27,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",0.9,100 Meters,North Coast AC Outdoor Performance List,Men
21,"Drovdlic, Matthew",SO-2,Wittenberg,11.28,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.1,100 Meters,North Coast AC Outdoor Performance List,Men
22,"Oostman, Jake",SO-2,Wabash,11.29,Wabash College Huntsman Family Invite 2023,"Apr 8, 2023",2.1,100 Meters,North Coast AC Outdoor Performance List,Men
23,"Liggett, Dylan",SO-2,Ohio Wesleyan,11.33,DIII All-Ohio Outdoor Championships,"Apr 15, 2023",1.8,100 Meters,North Coast AC Outdoor Performance List,Men
24,"Freeman, Lorenzo",FR-1,Wooster,11.34,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.9,100 Meters,North Coast AC Outdoor Performance List,Men
25,"Scherson, Nick",SR-4,Wooster,11.40,Bob Kahn Invitational,"Mar 31, 2023",3.7,100 Meters,North Coast AC Outdoor Performance List,Men
25,"Skolnik, Ari",SO-2,Denison,11.40,55th Annual Centre College Track & Field Invitational,"Apr 1, 2023",1.4,100 Meters,North Coast AC Outdoor Performance List,Men
